"","MIR200","ZEB1","TGFB","CD24","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR340","MIR34","HA","CD44s","SNAIL1"
"ZEB1",-0.105203665289988,-0.093956292110281,-0.0698123402280283,-0.0113248442929244,-0.00758778891246515,-0.00758778891246515,-0.00758778891246515,-0.00758778891246515,-0.00758778891246515,0.00758778891246515,0.0107548891507017,0.0113248442929244,0.0113248442929244,0.193264740381198
"SNAIL1",-0.107404922426411,-0.0691651483235489,-0.0819011705634182,0.0714325027619283,0.0704837361585127,0.0704837361585127,0.0704837361585127,0.0704837361585127,0.0704837361585127,-0.0704837361585127,0.172972169433042,-0.0714325027619283,-0.0714325027619283,0.0757114366317301
"MIR200",0.207795095763336,-0.0265822335362274,0.278911462812491,0.0315418073341649,0.0294875756168272,0.0294875756168272,0.0294875756168272,0.0294875756168272,0.0294875756168272,-0.0294875756168272,-0.0889159534913389,-0.0315418073341649,-0.0315418073341649,-0.244712926443422
"MIR340",0.105664494783076,-0.00758778891246515,0.069488715632559,0.0120307266458656,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,-0.0113248442929244,-0.00643461265300585,-0.0120307266458656,-0.0120307266458656,-0.191410673395552
"HA",0.105664494783076,-0.00758778891246515,0.069488715632559,0.0120307266458656,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,-0.0113248442929244,-0.00643461265300585,-0.0120307266458656,-0.0120307266458656,-0.191410673395552
"CD44s",0.105664494783076,-0.00758778891246515,0.069488715632559,0.0120307266458656,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,0.0113248442929244,-0.0113248442929244,-0.00643461265300585,-0.0120307266458656,-0.0120307266458656,-0.191410673395552
"MIR1199",-0.105664494783076,0.00758778891246515,-0.069488715632559,-0.0120307266458656,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,0.0113248442929244,0.00643461265300585,0.0120307266458656,0.0120307266458656,0.191410673395552
"CD24",-0.105664494783076,0.00758778891246515,-0.069488715632559,-0.0120307266458656,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,-0.0113248442929244,0.0113248442929244,0.00643461265300585,0.0120307266458656,0.0120307266458656,0.191410673395552
"HAS2",-0.104674395773175,0.0113248442929244,-0.0669246130684565,-0.00708023159636063,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,0.0120307266458656,0.00453057609550395,-0.0929197684036394,0.00708023159636063,0.186054957967895
"ESRP1",-0.104674395773175,0.0113248442929244,-0.0669246130684565,-0.00708023159636063,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,-0.0120307266458656,0.0120307266458656,0.00453057609550395,0.00708023159636063,-0.0929197684036394,0.186054957967895
"GRHL2",0.00654070026807457,0.0311837114134589,-0.00802585144628675,0.0731449508363937,-0.0286763848097467,-0.0286763848097467,-0.0286763848097467,-0.0286763848097467,-0.0286763848097467,0.0286763848097467,-0.0448353720856783,0.0268550491636062,0.0268550491636062,-0.120433143119028
"TGFB",0.107575114500323,0.0704837361585127,0.0825376065220499,-0.070412094598663,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,0.0714325027619283,-0.174358019177754,0.070412094598663,0.070412094598663,-0.177481795761725
"MIR34",0.107575114500323,0.0704837361585127,0.0825376065220499,-0.070412094598663,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,-0.0714325027619283,0.0714325027619283,-0.174358019177754,0.070412094598663,0.070412094598663,-0.177481795761725
"MIR190",0.107966248789762,0.0714325027619283,0.185085377222687,-0.0652349828820417,-0.070412094598663,-0.070412094598663,-0.070412094598663,-0.070412094598663,-0.070412094598663,0.070412094598663,-0.173445372502395,0.0652349828820417,0.0652349828820417,-0.179646883718423
