"","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","SNAIL1","MIR200","MIR34","CD24"
"GRHL2",0.302975460934429,0.302975460934429,0.304970257118297,0.304970257118297,0.304970257118297,0.304970257118297,0.304970257118297,0.304970257118297,-0.0160334509833803,-0.304807443702471,-0.128792299912925,-0.246679821378953,-0.306777508264996,-0.402975460934429
"HAS2",0.27550041356493,0.17550041356493,0.173190182541827,0.173190182541827,0.173190182541827,0.173190182541827,0.173190182541827,0.173190182541827,-0.00929433353776081,-0.176719594306533,-0.112844676859349,-0.143531653942309,-0.169625348138112,-0.17550041356493
"MIR1199",0.173190182541827,0.173190182541827,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,-0.00596100020442748,-0.175143727579834,-0.104451391487646,-0.141475294460207,-0.176251395358218,-0.173190182541827
"HA",0.173190182541827,0.173190182541827,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,0.176719594306533,-0.00596100020442748,-0.175143727579834,-0.104451391487646,-0.141475294460207,-0.176251395358218,-0.173190182541827
"MIR34",0.149691808906427,0.149691808906427,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.144793849722753,0.0789514172973643,-0.149082274770192,0.0214855571987454,-0.151413315400974,-0.00171965972076165,-0.149691808906427
"SNAIL1",0.144793849722753,0.144793849722753,0.149082274770192,0.149082274770192,0.149082274770192,0.149082274770192,0.149082274770192,0.149082274770192,0.0841224594612466,-0.146289137098279,-0.0656666936864341,-0.14779065554199,-0.0108370922517609,-0.144793849722753
"MIR190",0.141244942421413,0.141244942421413,0.149691808906427,0.149691808906427,0.149691808906427,0.149691808906427,0.149691808906427,0.149691808906427,-0.013829899050831,-0.144793849722753,0.0392122148442123,-0.146067813445302,-0.0133233103074631,-0.141244942421413
"ZEB1",-0.176719594306533,-0.176719594306533,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.175143727579834,-0.175143727579834,0.00859622905324856,0.0768206327765794,0.110970530243627,0.143491423492465,0.172219137293702,0.176719594306533
"MIR200",-0.126942760249177,-0.126942760249177,-0.126860590980483,-0.126860590980483,-0.126860590980483,-0.126860590980483,-0.126860590980483,-0.126860590980483,0.00566596577293428,0.127266714067019,0.117149937119559,0.0107075813071146,0.226812463754365,0.126942760249177
"TGFB",-0.149691808906427,-0.149691808906427,-0.144793849722753,-0.144793849722753,-0.144793849722753,-0.144793849722753,-0.144793849722753,-0.144793849722753,-0.0789514172973643,0.149082274770192,-0.0214855571987454,0.151413315400974,0.00171965972076165,0.149691808906427
"MIR340",-0.173190182541827,-0.173190182541827,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,0.00596100020442748,0.175143727579834,0.104451391487646,0.141475294460207,0.176251395358218,0.173190182541827
"CD44s",-0.173190182541827,-0.173190182541827,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,0.00596100020442748,0.175143727579834,0.104451391487646,0.141475294460207,0.176251395358218,0.173190182541827
"CD24",-0.173190182541827,-0.173190182541827,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,-0.176719594306533,0.00596100020442748,0.175143727579834,0.104451391487646,0.141475294460207,0.176251395358218,0.173190182541827
"ESRP1",-0.17550041356493,-0.0755004135649297,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.173190182541827,-0.173190182541827,0.00929433353776081,0.176719594306533,0.112844676859349,0.143531653942309,0.169625348138112,0.17550041356493
