"","MIR34","MIR340","MIR190","MIR1199","GRHL2","HA","CD44s","CD24","SNAIL1","TGFB","ZEB1","HAS2","ESRP1","MIR200"
"MIR340",0.227525345904594,0.216738537844443,0.216738537844443,0.216738537844443,0.216738537844443,0.215797361373854,0.215797361373854,0.215797361373854,0.210402256879236,0.0340403052068458,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.227525345904594
"MIR1199",0.227525345904594,0.216738537844443,0.216738537844443,0.216738537844443,0.216738537844443,0.215797361373854,0.215797361373854,0.215797361373854,0.210402256879236,0.0340403052068458,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.227525345904594
"HA",0.227525345904594,0.216738537844443,0.216738537844443,0.216738537844443,0.216738537844443,0.215797361373854,0.215797361373854,0.215797361373854,0.210402256879236,0.0340403052068458,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.227525345904594
"CD44s",0.227525345904594,0.216738537844443,0.216738537844443,0.216738537844443,0.216738537844443,0.215797361373854,0.215797361373854,0.215797361373854,0.210402256879236,0.0340403052068458,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.227525345904594
"CD24",0.227525345904594,0.216738537844443,0.216738537844443,0.216738537844443,0.216738537844443,0.215797361373854,0.215797361373854,0.215797361373854,0.210402256879236,0.0340403052068458,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.227525345904594
"MIR200",0.356615079725965,0.212280680640254,0.212280680640254,0.212280680640254,0.212280680640254,0.210226448922916,0.210226448922916,0.210226448922916,0.358985763767431,0.0534148170329641,-0.214498737497486,-0.212280680640254,-0.212280680640254,-0.356615079725965
"SNAIL1",0.335143194203387,0.148365588615296,0.148365588615296,0.148365588615296,0.148365588615296,0.147416822011881,0.147416822011881,0.147416822011881,0.342814729784226,0.200927644207167,-0.14937225244629,-0.148365588615296,-0.148365588615296,-0.335143194203387
"MIR34",0.333465586617684,0.147416822011881,0.147416822011881,0.147416822011881,0.147416822011881,0.146804577113922,0.146804577113922,0.146804577113922,0.441297279101373,0.19997299026922,-0.148365588615296,-0.147416822011881,-0.147416822011881,-0.333465586617684
"MIR190",0.331509915170487,0.146804577113922,0.146804577113922,0.146804577113922,0.146804577113922,0.142172424525366,0.142172424525366,0.142172424525366,0.438320283160913,0.0984867906938484,-0.147416822011881,-0.146804577113922,-0.146804577113922,-0.331509915170487
"GRHL2",-0.0564911682829298,-0.0413249338952866,-0.0413249338952866,-0.0413249338952866,-0.0413249338952866,-0.0407178220132398,-0.0407178220132398,0.0592821779867602,-0.12786885717429,-0.0161731189246919,0.0431810068356969,0.0413249338952866,0.0413249338952866,0.0564911682829298
"ZEB1",-0.230405530236392,-0.219665147479742,-0.219665147479742,-0.219665147479742,-0.219665147479742,-0.216738537844443,-0.216738537844443,-0.216738537844443,-0.212196515252442,-0.0353810356737898,0.119814574675492,0.219665147479742,0.219665147479742,0.230405530236392
"TGFB",-0.333465586617684,-0.147416822011881,-0.147416822011881,-0.147416822011881,-0.147416822011881,-0.146804577113922,-0.146804577113922,-0.146804577113922,-0.441297279101373,-0.19997299026922,0.148365588615296,0.147416822011881,0.147416822011881,0.333465586617684
"HAS2",-0.224707371799492,-0.215797361373854,-0.215797361373854,-0.215797361373854,-0.215797361373854,-0.315467328370554,-0.215467328370554,-0.215467328370554,-0.207604495088669,-0.0325018436683842,0.216738537844443,0.215797361373854,0.215797361373854,0.224707371799492
"ESRP1",-0.224707371799492,-0.215797361373854,-0.215797361373854,-0.215797361373854,-0.215797361373854,-0.215467328370554,-0.315467328370554,-0.215467328370554,-0.207604495088669,-0.0325018436683842,0.216738537844443,0.215797361373854,0.215797361373854,0.224707371799492
