"","MIR34","HA","MIR190","MIR1199","GRHL2","ESRP1","MIR200","ZEB1","TGFB","MIR340","HAS2","CD44s","CD24","SNAIL1"
"MIR190",-0.0179539181603383,0.323149704326175,0.321242347377946,0.321242347377946,0.321242347377946,0.321242347377946,0.362009270546451,-0.316344388194273,0.0636594416491868,-0.321242347377946,-0.321242347377946,-0.323149704326175,-0.323149704326175,0.263584570390082
"SNAIL1",-0.019587147108777,0.316344388194273,0.313346285727479,0.313346285727479,0.313346285727479,0.313346285727479,0.353542872624132,-0.310950142242438,0.159255061591522,-0.313346285727479,-0.313346285727479,-0.316344388194273,-0.316344388194273,0.160506411070765
"MIR1199",0.149109810896934,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0407991625838682,-0.0694237922206167,-0.0319777109383692,-0.0720802532741962,-0.0720802532741962,-0.0709037826859609,-0.0709037826859609,-0.19535652478985
"HA",0.149109810896934,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0407991625838682,-0.0694237922206167,-0.0319777109383692,-0.0720802532741962,-0.0720802532741962,-0.0709037826859609,-0.0709037826859609,-0.19535652478985
"CD44s",0.149109810896934,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0407991625838682,-0.0694237922206167,-0.0319777109383692,-0.0720802532741962,-0.0720802532741962,-0.0709037826859609,-0.0709037826859609,-0.19535652478985
"CD24",0.149109810896934,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0407991625838682,-0.0694237922206167,-0.0319777109383692,-0.0720802532741962,-0.0720802532741962,-0.0709037826859609,-0.0709037826859609,-0.19535652478985
"ZEB1",-0.146056815505229,-0.0720802532741962,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0404535404640526,-0.0288993025826375,0.0319314788533021,0.0694237922206167,0.0694237922206167,0.0720802532741962,0.0720802532741962,0.194399586990807
"MIR200",0.211346490245624,-0.000507753401769262,0.000889124166020385,0.000889124166020385,0.000889124166020385,0.000889124166020385,-0.121817855058917,-0.000545481554336536,-0.0416525737991415,-0.000889124166020385,-0.000889124166020385,0.000507753401769262,0.000507753401769262,-0.288662235860639
"MIR340",-0.149109810896934,-0.0709037826859609,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0407991625838682,0.0694237922206167,0.0319777109383692,0.0720802532741962,0.0720802532741962,0.0709037826859609,0.0709037826859609,0.19535652478985
"HAS2",-0.148424357736233,-0.181794871794872,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0399613864985674,0.0720802532741962,0.0327469417075999,0.0709037826859609,0.0709037826859609,0.0817948717948718,0.0817948717948718,0.199113519194327
"ESRP1",-0.148424357736233,-0.0817948717948718,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0399613864985674,0.0720802532741962,0.0327469417075999,0.0709037826859609,0.0709037826859609,-0.0182051282051282,0.0817948717948718,0.199113519194327
"GRHL2",-0.280360422893613,-0.220268959217662,-0.218274163033794,-0.218274163033794,-0.218274163033794,-0.218274163033794,-0.158549765887788,0.216678591558704,0.0358565231661598,0.218274163033794,0.218274163033794,0.220268959217662,0.120268959217662,0.221071946125664
"TGFB",0.0187361867392171,-0.321242347377946,-0.316344388194273,-0.316344388194273,-0.316344388194273,-0.316344388194273,-0.356533390494299,0.313346285727479,-0.160687042498444,0.316344388194273,0.316344388194273,0.321242347377946,0.321242347377946,-0.260607574449621
"MIR34",0.0187361867392171,-0.321242347377946,-0.316344388194273,-0.316344388194273,-0.316344388194273,-0.316344388194273,-0.356533390494299,0.313346285727479,-0.160687042498444,0.316344388194273,0.316344388194273,0.321242347377946,0.321242347377946,-0.260607574449621
