"","SNAIL1","MIR200","MIR340","HAS2","GRHL2","ESRP1","ZEB1","TGFB","HA","CD44s","CD24","MIR190","MIR1199","MIR34"
"SNAIL1",0.615355656687687,0.549329986553624,0.356786321806564,0.356786321806564,0.356786321806564,0.356786321806564,-0.36343597443665,-0.256474039635584,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.356786321806564,-0.356786321806564,-0.549329986553624
"MIR190",0.673330280969773,0.516690354718799,0.336667048290706,0.336667048290706,0.336667048290706,0.336667048290706,-0.348095619719277,-0.340715155628065,-0.321680672268908,-0.321680672268908,-0.321680672268908,-0.336667048290706,-0.336667048290706,-0.516690354718799
"MIR200",0.438954993948296,0.385584165835639,0.21366563970675,0.21366563970675,0.21366563970675,0.21366563970675,-0.218695317932305,-0.265866959008696,-0.207174267479963,-0.207174267479963,-0.207174267479963,-0.21366563970675,-0.21366563970675,-0.385584165835639
"MIR340",0.213617106399996,0.178429443827406,0.128984909817795,0.128984909817795,0.128984909817795,0.128984909817795,-0.131191123235175,-0.0334918384790713,-0.126161380406031,-0.126161380406031,-0.126161380406031,-0.128984909817795,-0.128984909817795,-0.178429443827406
"MIR1199",0.213617106399996,0.178429443827406,0.128984909817795,0.128984909817795,0.128984909817795,0.128984909817795,-0.131191123235175,-0.0334918384790713,-0.126161380406031,-0.126161380406031,-0.126161380406031,-0.128984909817795,-0.128984909817795,-0.178429443827406
"HA",0.213617106399996,0.178429443827406,0.128984909817795,0.128984909817795,0.128984909817795,0.128984909817795,-0.131191123235175,-0.0334918384790713,-0.126161380406031,-0.126161380406031,-0.126161380406031,-0.128984909817795,-0.128984909817795,-0.178429443827406
"CD24",0.213617106399996,0.178429443827406,0.128984909817795,0.128984909817795,0.128984909817795,0.128984909817795,-0.131191123235175,-0.0334918384790713,-0.126161380406031,-0.126161380406031,-0.126161380406031,-0.128984909817795,-0.128984909817795,-0.178429443827406
"ESRP1",0.207621902563066,0.173783594627102,0.126161380406031,0.126161380406031,0.126161380406031,0.126161380406031,-0.128984909817795,-0.031184146171379,-0.122531017369727,-0.222531017369727,-0.122531017369727,-0.126161380406031,-0.126161380406031,-0.173783594627102
"ZEB1",-0.218222369557891,-0.182000872398835,-0.131191123235175,-0.131191123235175,-0.131191123235175,-0.131191123235175,0.0328680284319208,0.0352024256265517,0.128984909817795,0.128984909817795,0.128984909817795,0.131191123235175,0.131191123235175,0.182000872398835
"HAS2",-0.207621902563066,-0.173783594627102,-0.126161380406031,-0.126161380406031,-0.126161380406031,-0.126161380406031,0.128984909817795,0.031184146171379,0.022531017369727,0.122531017369727,0.122531017369727,0.126161380406031,0.126161380406031,0.173783594627102
"CD44s",-0.213617106399996,-0.178429443827406,-0.128984909817795,-0.128984909817795,-0.128984909817795,-0.128984909817795,0.131191123235175,0.0334918384790713,0.126161380406031,0.126161380406031,0.126161380406031,0.128984909817795,0.128984909817795,0.178429443827406
"GRHL2",-0.237526306395322,-0.283494732025283,-0.229346206044394,-0.229346206044394,-0.229346206044394,-0.229346206044394,0.231723281915446,0.0358183503988783,0.22631064663416,0.22631064663416,0.12631064663416,0.229346206044394,0.229346206044394,0.283494732025283
"TGFB",-0.697146248493454,-0.535204044418929,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.348095619719277,0.356786321806564,0.249632353080294,0.336667048290706,0.336667048290706,0.336667048290706,0.348095619719277,0.348095619719277,0.535204044418929
"MIR34",-0.697146248493454,-0.535204044418929,-0.348095619719277,-0.348095619719277,-0.348095619719277,-0.348095619719277,0.356786321806564,0.249632353080294,0.336667048290706,0.336667048290706,0.336667048290706,0.348095619719277,0.348095619719277,0.535204044418929
