"","MIR34","MIR200","HA","CD44s","CD24","MIR340","MIR190","MIR1199","ESRP1","TGFB","ZEB1","HAS2","GRHL2","SNAIL1"
"MIR340",0.143106514295732,0.143106514295732,0.104610798548838,0.104610798548838,0.104610798548838,0.119199033842955,0.119199033842955,0.119199033842955,0.119199033842955,-0.00323510747286045,-0.106907273374698,-0.119199033842955,-0.119199033842955,-0.0930059841943339
"HA",0.143106514295732,0.143106514295732,0.104610798548838,0.104610798548838,0.104610798548838,0.119199033842955,0.119199033842955,0.119199033842955,0.119199033842955,-0.00323510747286045,-0.106907273374698,-0.119199033842955,-0.119199033842955,-0.0930059841943339
"MIR200",0.0434004996790306,0.0434004996790306,0.0975248929019657,0.0975248929019657,0.0975248929019657,0.118971072030972,0.118971072030972,0.118971072030972,0.118971072030972,-0.00164729237851072,-0.100882974561431,-0.118971072030972,-0.118971072030972,0.0273843850908094
"SNAIL1",-0.0443034589779242,-0.0443034589779242,0.018623106523869,0.018623106523869,0.018623106523869,0.0445434101291821,0.0445434101291821,0.0445434101291821,0.0445434101291821,0.0899725630327717,-0.022949762036172,-0.0445434101291821,-0.0445434101291821,-0.0426608425853079
"GRHL2",-0.0371428143909668,-0.0371428143909668,-0.00824960547923811,-0.00824960547923811,-0.108249605479238,-0.0237743236058643,-0.0237743236058643,-0.0237743236058643,-0.0237743236058643,0.00253201691536915,0.0108469383893225,0.0237743236058643,0.0237743236058643,0.0669047204569848
"ZEB1",-0.129166422129833,-0.129166422129833,-0.119199033842955,-0.119199033842955,-0.119199033842955,-0.106907273374698,-0.106907273374698,-0.106907273374698,-0.106907273374698,0.00762715555422892,0.0170185136204223,0.106907273374698,0.106907273374698,0.107120816730219
"MIR190",0.0382993463462108,0.0382993463462108,-0.0125178960473078,-0.0125178960473078,-0.0125178960473078,-0.0498475963197874,-0.0498475963197874,-0.0498475963197874,-0.0498475963197874,0.00810900819383703,0.018623106523869,0.0498475963197874,0.0498475963197874,-0.0634235391716085
"TGFB",0.0738925666851938,0.0738925666851938,-0.0498475963197874,-0.0498475963197874,-0.0498475963197874,-0.018623106523869,-0.018623106523869,-0.018623106523869,-0.018623106523869,-0.0804260236532967,0.0445434101291821,0.018623106523869,0.018623106523869,-0.0272936338942066
"MIR34",0.0738925666851938,0.0738925666851938,-0.0498475963197874,-0.0498475963197874,-0.0498475963197874,-0.018623106523869,-0.018623106523869,-0.018623106523869,-0.018623106523869,-0.0804260236532967,0.0445434101291821,0.018623106523869,0.018623106523869,-0.0272936338942066
"MIR1199",-0.143106514295732,-0.143106514295732,-0.104610798548838,-0.104610798548838,-0.104610798548838,-0.119199033842955,-0.119199033842955,-0.119199033842955,-0.119199033842955,0.00323510747286045,0.106907273374698,0.119199033842955,0.119199033842955,0.0930059841943339
"CD44s",-0.143106514295732,-0.143106514295732,-0.104610798548838,-0.104610798548838,-0.104610798548838,-0.119199033842955,-0.119199033842955,-0.119199033842955,-0.119199033842955,0.00323510747286045,0.106907273374698,0.119199033842955,0.119199033842955,0.0930059841943339
"CD24",-0.143106514295732,-0.143106514295732,-0.104610798548838,-0.104610798548838,-0.104610798548838,-0.119199033842955,-0.119199033842955,-0.119199033842955,-0.119199033842955,0.00323510747286045,0.106907273374698,0.119199033842955,0.119199033842955,0.0930059841943339
"HAS2",-0.126427154052015,-0.126427154052015,-0.222762613730356,-0.122762613730356,-0.122762613730356,-0.104610798548838,-0.104610798548838,-0.104610798548838,-0.104610798548838,0.00861972285747583,0.119199033842955,0.104610798548838,0.104610798548838,0.109872490988898
"ESRP1",-0.126427154052015,-0.126427154052015,-0.122762613730356,-0.0227626137303557,-0.122762613730356,-0.104610798548838,-0.104610798548838,-0.104610798548838,-0.104610798548838,0.00861972285747583,0.119199033842955,0.104610798548838,0.104610798548838,0.109872490988898
