"","MIR340","MIR190","MIR1199","ESRP1","HA","CD44s","MIR34","ZEB1","TGFB","MIR200","CD24","HAS2","GRHL2","SNAIL1"
"GRHL2",0.201987489880418,0.201987489880418,0.201987489880418,0.201987489880418,0.202074220149282,0.202074220149282,0.160749218249387,-0.202020052563583,-0.0233231342011966,-0.160749218249387,-0.102074220149282,-0.201987489880418,-0.201987489880418,-0.16197711477689
"MIR340",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0660617356633884,-0.102279094324422,-0.0207799738667906,-0.0660617356633884,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.136206106878214
"MIR1199",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0660617356633884,-0.102279094324422,-0.0207799738667906,-0.0660617356633884,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.136206106878214
"HA",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0660617356633884,-0.102279094324422,-0.0207799738667906,-0.0660617356633884,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.136206106878214
"CD44s",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0660617356633884,-0.102279094324422,-0.0207799738667906,-0.0660617356633884,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.136206106878214
"CD24",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.0660617356633884,-0.102279094324422,-0.0207799738667906,-0.0660617356633884,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.136206106878214
"ESRP1",0.102234069560802,0.102234069560802,0.102234069560802,0.102234069560802,0.102564102564103,0.202564102564103,0.0661378971256885,-0.102234069560802,-0.0205235636103803,-0.0661378971256885,-0.102564102564103,-0.102234069560802,-0.102234069560802,-0.136286042929374
"SNAIL1",0.0879772002362028,0.0879772002362028,0.0879772002362028,0.0879772002362028,0.0879392495720662,0.0879392495720662,0.187262060613143,-0.0880197353276533,0.129579991185155,-0.187262060613143,-0.0879392495720662,-0.0879772002362028,-0.0879772002362028,0.0868464215357639
"TGFB",0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0879392495720662,0.0881433312047193,0.0881433312047193,0.187189121152895,-0.0879772002362028,0.129659545679984,-0.187189121152895,-0.0881433312047193,-0.0879392495720662,-0.0879392495720662,0.186745258156907
"MIR200",0.0845122093613147,0.0845122093613147,0.0845122093613147,0.0845122093613147,0.0844300400926212,0.0844300400926212,-0.0479829772423378,-0.0846059300735921,-0.221999405075113,0.0479829772423378,-0.0844300400926212,-0.0845122093613147,-0.0845122093613147,-0.216404033227571
"ZEB1",-0.102279094324422,-0.102279094324422,-0.102279094324422,-0.102279094324422,-0.102234069560802,-0.102234069560802,-0.0661193393500243,0.00229569734617218,0.0208262059518576,0.0661193393500243,0.102234069560802,0.102279094324422,0.102279094324422,0.136206106878214
"MIR190",-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.0881433312047193,-0.088415810768752,-0.088415810768752,-0.187449877345855,0.0879392495720662,-0.229871859905037,0.187449877345855,0.088415810768752,0.0881433312047193,0.0881433312047193,-0.186609940159613
"MIR34",-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0879392495720662,-0.0881433312047193,-0.0881433312047193,-0.187189121152895,0.0879772002362028,-0.129659545679984,0.187189121152895,0.0881433312047193,0.0879392495720662,0.0879392495720662,-0.186745258156907
"HAS2",-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.102234069560802,-0.202564102564103,-0.102564102564103,-0.0661378971256885,0.102234069560802,0.0205235636103803,0.0661378971256885,0.102564102564103,0.102234069560802,0.102234069560802,0.136286042929374
