"","TGFB","HA","CD44s","MIR34","MIR200","MIR340","MIR1199","GRHL2","ESRP1","ZEB1","SNAIL1","MIR190","HAS2","CD24"
"TGFB",0.361958594869349,0.332143310851437,0.332143310851437,0.322693984174596,0.322693984174596,0.329082086361641,0.329082086361641,0.329082086361641,0.329082086361641,-0.336558367196556,0.188721360251657,-0.329082086361641,-0.329082086361641,-0.332143310851437
"SNAIL1",0.36036750497277,0.329082086361641,0.329082086361641,0.327046038636059,0.327046038636059,0.336558367196556,0.336558367196556,0.336558367196556,0.336558367196556,-0.332971241150902,0.0907952095182225,-0.336558367196556,-0.336558367196556,-0.329082086361641
"MIR200",0.40989791294482,0.21651434522379,0.21651434522379,0.322963687419129,0.322963687419129,0.256366440540142,0.256366440540142,0.256366440540142,0.256366440540142,-0.225282404301466,0.122335084243138,-0.256366440540142,-0.256366440540142,-0.21651434522379
"HAS2",0.176174860960656,0.0717700578990902,0.17177005789909,0.143244607162476,0.143244607162476,0.115994480341334,0.115994480341334,0.115994480341334,0.115994480341334,-0.167759186223687,-0.0746237739404493,-0.115994480341334,-0.115994480341334,-0.17177005789909
"MIR340",0.137713322499118,0.115994480341334,0.115994480341334,0.170586572128204,0.170586572128204,0.167759186223687,0.167759186223687,0.167759186223687,0.167759186223687,-0.124310289330396,-0.0585566276574757,-0.167759186223687,-0.167759186223687,-0.115994480341334
"MIR1199",0.137713322499118,0.115994480341334,0.115994480341334,0.170586572128204,0.170586572128204,0.167759186223687,0.167759186223687,0.167759186223687,0.167759186223687,-0.124310289330396,-0.0585566276574757,-0.167759186223687,-0.167759186223687,-0.115994480341334
"CD24",0.137713322499118,0.115994480341334,0.115994480341334,0.170586572128204,0.170586572128204,0.167759186223687,0.167759186223687,0.167759186223687,0.167759186223687,-0.124310289330396,-0.0585566276574757,-0.167759186223687,-0.167759186223687,-0.115994480341334
"GRHL2",0.0244863679080461,0.0163781049967056,0.0163781049967056,0.0533637098581569,0.0533637098581569,0.0691968387347802,0.0691968387347802,0.0691968387347802,0.0691968387347802,-0.0234462688878248,-0.0508702475230693,-0.0691968387347802,-0.0691968387347802,-0.116378104996706
"ZEB1",-0.17465275846768,-0.167759186223687,-0.167759186223687,-0.148581963833273,-0.148581963833273,-0.124310289330396,-0.124310289330396,-0.124310289330396,-0.124310289330396,0.0639417022475469,0.0722527999062795,0.124310289330396,0.124310289330396,0.167759186223687
"HA",-0.137713322499118,-0.115994480341334,-0.115994480341334,-0.170586572128204,-0.170586572128204,-0.167759186223687,-0.167759186223687,-0.167759186223687,-0.167759186223687,0.124310289330396,0.0585566276574757,0.167759186223687,0.167759186223687,0.115994480341334
"CD44s",-0.137713322499118,-0.115994480341334,-0.115994480341334,-0.170586572128204,-0.170586572128204,-0.167759186223687,-0.167759186223687,-0.167759186223687,-0.167759186223687,0.124310289330396,0.0585566276574757,0.167759186223687,0.167759186223687,0.115994480341334
"ESRP1",-0.176174860960656,-0.17177005789909,-0.0717700578990902,-0.143244607162476,-0.143244607162476,-0.115994480341334,-0.115994480341334,-0.115994480341334,-0.115994480341334,0.167759186223687,0.0746237739404493,0.115994480341334,0.115994480341334,0.17177005789909
"MIR190",-0.45240445474196,-0.319881730469966,-0.319881730469966,-0.323345874656995,-0.323345874656995,-0.332143310851437,-0.332143310851437,-0.332143310851437,-0.332143310851437,0.329082086361641,-0.1899392222273,0.332143310851437,0.332143310851437,0.319881730469966
"MIR34",-0.361958594869349,-0.332143310851437,-0.332143310851437,-0.322693984174596,-0.322693984174596,-0.329082086361641,-0.329082086361641,-0.329082086361641,-0.329082086361641,0.336558367196556,-0.188721360251657,0.329082086361641,0.329082086361641,0.332143310851437
