"","MIR34","TGFB","CD24","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","MIR340","MIR190","HA","CD44s","MIR200","SNAIL1"
"TGFB",0.160900714856757,0.177305926020946,0.110768531451333,0.109952204920721,0.109952204920721,0.109952204920721,0.109952204920721,-0.110369662226224,-0.109952204920721,-0.109952204920721,-0.110768531451333,-0.110768531451333,-0.160900714856757,-0.112968132655003
"MIR34",0.160900714856757,0.177305926020946,0.110768531451333,0.109952204920721,0.109952204920721,0.109952204920721,0.109952204920721,-0.110369662226224,-0.109952204920721,-0.109952204920721,-0.110768531451333,-0.110768531451333,-0.160900714856757,-0.112968132655003
"MIR340",0.117137082016918,0.0966438379517631,0.0650925812184196,0.0653278753360667,0.0653278753360667,0.0653278753360667,0.0653278753360667,-0.0648326029362468,-0.0653278753360667,-0.0653278753360667,-0.0650925812184196,-0.0650925812184196,-0.117137082016918,-0.136129714789915
"MIR1199",0.117137082016918,0.0966438379517631,0.0650925812184196,0.0653278753360667,0.0653278753360667,0.0653278753360667,0.0653278753360667,-0.0648326029362468,-0.0653278753360667,-0.0653278753360667,-0.0650925812184196,-0.0650925812184196,-0.117137082016918,-0.136129714789915
"HA",0.117137082016918,0.0966438379517631,0.0650925812184196,0.0653278753360667,0.0653278753360667,0.0653278753360667,0.0653278753360667,-0.0648326029362468,-0.0653278753360667,-0.0653278753360667,-0.0650925812184196,-0.0650925812184196,-0.117137082016918,-0.136129714789915
"CD44s",0.117137082016918,0.0966438379517631,0.0650925812184196,0.0653278753360667,0.0653278753360667,0.0653278753360667,0.0653278753360667,-0.0648326029362468,-0.0653278753360667,-0.0653278753360667,-0.0650925812184196,-0.0650925812184196,-0.117137082016918,-0.136129714789915
"ZEB1",-0.117079478330283,-0.0968749983770983,-0.0653278753360667,-0.0648326029362468,-0.0648326029362468,-0.0648326029362468,-0.0648326029362468,-0.0346527033895045,0.0648326029362468,0.0648326029362468,0.0653278753360667,0.0653278753360667,0.117079478330283,0.135711054502833
"CD24",-0.117137082016918,-0.0966438379517631,-0.0650925812184196,-0.0653278753360667,-0.0653278753360667,-0.0653278753360667,-0.0653278753360667,0.0648326029362468,0.0653278753360667,0.0653278753360667,0.0650925812184196,0.0650925812184196,0.117137082016918,0.136129714789915
"HAS2",-0.116908597630018,-0.0976694789774041,-0.0674028122415219,-0.0650925812184196,-0.0650925812184196,-0.0650925812184196,-0.0650925812184196,0.0653278753360667,0.0650925812184196,0.0650925812184196,-0.0325971877584781,0.0674028122415219,0.116908597630018,0.135410290329483
"ESRP1",-0.116908597630018,-0.0976694789774041,-0.0674028122415219,-0.0650925812184196,-0.0650925812184196,-0.0650925812184196,-0.0650925812184196,0.0653278753360667,0.0650925812184196,0.0650925812184196,0.0674028122415219,-0.0325971877584781,0.116908597630018,0.135410290329483
"MIR200",-0.234699118012813,-0.322523468344381,-0.0993397649374578,-0.100243626893086,-0.100243626893086,-0.100243626893086,-0.100243626893086,0.0996500623819961,0.100243626893086,0.100243626893086,0.0993397649374578,0.0993397649374578,0.234699118012813,0.165257164067477
"MIR190",-0.160639958663797,-0.275819726445575,-0.108316215375039,-0.110768531451333,-0.110768531451333,-0.110768531451333,-0.110768531451333,0.109952204920721,0.110768531451333,0.110768531451333,0.108316215375039,0.108316215375039,0.160639958663797,0.11323876864959
"SNAIL1",-0.161070906930669,-0.177146817031288,-0.109952204920721,-0.110369662226224,-0.110369662226224,-0.110369662226224,-0.110369662226224,0.110100273313704,0.110369662226224,0.110369662226224,0.109952204920721,0.109952204920721,0.161070906930669,0.0135245312387153
"GRHL2",-0.229267987635976,-0.210228703208461,-0.0841450322528485,-0.183711380908529,-0.183711380908529,-0.183711380908529,-0.183711380908529,0.183418316760043,0.183711380908529,0.183711380908529,0.184145032252849,0.184145032252849,0.229267987635976,0.161733520115566
