"","MIR34","HA","CD44s","CD24","MIR340","HAS2","GRHL2","ESRP1","MIR200","TGFB","ZEB1","MIR190","MIR1199","SNAIL1"
"SNAIL1",0.0439414049965584,0.398276726373262,0.398276726373262,0.398276726373262,0.400136308915957,0.400136308915957,0.400136308915957,0.400136308915957,0.398559927000669,-0.155084845549809,-0.400178844007407,-0.400136308915957,-0.400136308915957,0.129098275056766
"TGFB",0.0392489663872708,0.392970603924282,0.392970603924282,0.392970603924282,0.398276726373262,0.398276726373262,0.398276726373262,0.398276726373262,0.400869676575189,-0.158267025342968,-0.400136308915957,-0.398276726373262,-0.398276726373262,0.23506691440932
"HAS2",0.251192325986999,0.322820512820513,0.222820512820513,0.222820512820513,0.222490479817212,0.222490479817212,0.222490479817212,0.222490479817212,0.115689974102849,0.0379546839684914,-0.220843420993683,-0.222490479817212,-0.222490479817212,-0.24110608097165
"ESRP1",0.251192325986999,0.222820512820513,0.322820512820513,0.222820512820513,0.222490479817212,0.222490479817212,0.222490479817212,0.222490479817212,0.115689974102849,0.0379546839684914,-0.220843420993683,-0.222490479817212,-0.222490479817212,-0.24110608097165
"MIR340",0.251877779147699,0.222490479817212,0.222490479817212,0.222490479817212,0.220843420993683,0.220843420993683,0.220843420993683,0.220843420993683,0.112871999997746,0.0402623762761837,-0.218907356158023,-0.220843420993683,-0.220843420993683,-0.243424226455263
"HA",0.251877779147699,0.222490479817212,0.222490479817212,0.222490479817212,0.220843420993683,0.220843420993683,0.220843420993683,0.220843420993683,0.112871999997746,0.0402623762761837,-0.218907356158023,-0.220843420993683,-0.220843420993683,-0.243424226455263
"CD44s",0.251877779147699,0.222490479817212,0.222490479817212,0.222490479817212,0.220843420993683,0.220843420993683,0.220843420993683,0.220843420993683,0.112871999997746,0.0402623762761837,-0.218907356158023,-0.220843420993683,-0.220843420993683,-0.243424226455263
"CD24",0.251877779147699,0.222490479817212,0.222490479817212,0.222490479817212,0.220843420993683,0.220843420993683,0.220843420993683,0.220843420993683,0.112871999997746,0.0402623762761837,-0.218907356158023,-0.220843420993683,-0.220843420993683,-0.243424226455263
"MIR200",0.263717151476348,0.0835533582815486,0.0835533582815486,0.0835533582815486,0.0790340485034056,0.0790340485034056,0.0790340485034056,0.0790340485034056,-0.0880943174449487,0.0469936541881738,-0.0760662259479542,-0.0790340485034056,-0.0790340485034056,-0.315540789324951
"GRHL2",-0.0745226211494637,-0.0517830690626644,-0.0517830690626644,0.0482169309373355,-0.0506555755674346,-0.0506555755674346,-0.0506555755674346,-0.0506555755674346,-0.00631706665818532,-0.019381457159083,0.0497112577556469,0.0506555755674346,0.0506555755674346,0.143358427906814
"ZEB1",-0.251474553341248,-0.220843420993683,-0.220843420993683,-0.220843420993683,-0.218907356158023,-0.218907356158023,-0.218907356158023,-0.218907356158023,-0.110798267278852,-0.0413257142327256,0.117529305352777,0.218907356158023,0.218907356158023,0.244022312579665
"MIR1199",-0.251877779147699,-0.222490479817212,-0.222490479817212,-0.222490479817212,-0.220843420993683,-0.220843420993683,-0.220843420993683,-0.220843420993683,-0.112871999997746,-0.0402623762761837,0.218907356158023,0.220843420993683,0.220843420993683,0.243424226455263
"MIR190",-0.0306440120196046,-0.381798941798942,-0.381798941798942,-0.381798941798942,-0.392970603924282,-0.392970603924282,-0.392970603924282,-0.392970603924282,-0.402694969925906,0.0625133098440292,0.398276726373262,0.392970603924282,0.392970603924282,-0.244809810214462
"MIR34",-0.0392489663872708,-0.392970603924282,-0.392970603924282,-0.392970603924282,-0.398276726373262,-0.398276726373262,-0.398276726373262,-0.398276726373262,-0.400869676575189,0.158267025342968,0.400136308915957,0.398276726373262,0.398276726373262,-0.23506691440932
