"","MIR340","MIR1199","GRHL2","HA","TGFB","SNAIL1","MIR34","ZEB1","MIR200","CD44s","CD24","MIR190","HAS2","ESRP1"
"GRHL2",0.660790358986923,0.660790358986923,0.660790358986923,0.617858875899325,0.584246517659713,0.283228538227661,-0.440726865519664,-0.692864601904539,-0.595714065791066,-0.617858875899325,-0.717858875899325,-0.660790358986923,-0.660790358986923,-0.660790358986923
"MIR340",0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.449562650482359,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.46615299258457,-0.478876741272142,-0.478876741272142,-0.52546497656626,-0.52546497656626,-0.52546497656626
"MIR1199",0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.449562650482359,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.46615299258457,-0.478876741272142,-0.478876741272142,-0.52546497656626,-0.52546497656626,-0.52546497656626
"HA",0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.449562650482359,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.46615299258457,-0.478876741272142,-0.478876741272142,-0.52546497656626,-0.52546497656626,-0.52546497656626
"CD44s",0.52546497656626,0.52546497656626,0.52546497656626,0.478876741272142,0.449562650482359,0.260992126193926,-0.318849225045201,-0.551984562338435,-0.46615299258457,-0.478876741272142,-0.478876741272142,-0.52546497656626,-0.52546497656626,-0.52546497656626
"ESRP1",0.478876741272142,0.478876741272142,0.478876741272142,0.446203473945409,0.42007547099518,0.247323061445725,-0.294553718571477,-0.52546497656626,-0.430128620916634,-0.346203473945409,-0.446203473945409,-0.478876741272142,-0.478876741272142,-0.478876741272142
"SNAIL1",0.247595384622846,0.247595384622846,0.247595384622846,0.234806010808804,0.254152088417024,-0.016863099346893,-0.0590445020111963,-0.256286721642554,-0.222380735236517,-0.234806010808804,-0.234806010808804,-0.247595384622846,-0.247595384622846,-0.247595384622846
"TGFB",0.234806010808804,0.234806010808804,0.234806010808804,0.223989684278192,0.24452599454272,0.0797479274614024,-0.0529905268106128,-0.247595384622846,-0.212047645034718,-0.223989684278192,-0.223989684278192,-0.234806010808804,-0.234806010808804,-0.234806010808804
"MIR190",-0.223989684278192,-0.223989684278192,-0.223989684278192,-0.204643635231871,-0.329027056113845,-0.0737939355804822,0.0480361591443807,0.234806010808804,0.203181934474092,0.204643635231871,0.204643635231871,0.223989684278192,0.223989684278192,0.223989684278192
"MIR34",-0.234806010808804,-0.234806010808804,-0.234806010808804,-0.223989684278192,-0.24452599454272,-0.0797479274614024,0.0529905268106128,0.247595384622846,0.212047645034718,0.223989684278192,0.223989684278192,0.234806010808804,0.234806010808804,0.234806010808804
"ZEB1",-0.551984562338435,-0.551984562338435,-0.551984562338435,-0.52546497656626,-0.489738332405614,-0.272295953945122,0.330888395552113,0.484044997337604,0.488042393506229,0.52546497656626,0.52546497656626,0.551984562338435,0.551984562338435,0.551984562338435
"MIR200",-0.465186703622291,-0.465186703622291,-0.465186703622291,-0.426813655142422,-0.584295297225929,-0.232251067745469,0.196104304743876,0.486898668633225,0.484988489083517,0.426813655142422,0.426813655142422,0.465186703622291,0.465186703622291,0.465186703622291
"HAS2",-0.478876741272142,-0.478876741272142,-0.478876741272142,-0.54620347394541,-0.42007547099518,-0.247323061445725,0.294553718571477,0.52546497656626,0.430128620916634,0.446203473945409,0.446203473945409,0.478876741272142,0.478876741272142,0.478876741272142
"CD24",-0.52546497656626,-0.52546497656626,-0.52546497656626,-0.478876741272142,-0.449562650482359,-0.260992126193926,0.318849225045201,0.551984562338435,0.46615299258457,0.478876741272142,0.478876741272142,0.52546497656626,0.52546497656626,0.52546497656626
