"","MIR34","CD44s","ZEB1","MIR190","HAS2","GRHL2","MIR340","MIR1199","ESRP1","HA","CD24","MIR200","TGFB","SNAIL1"
"MIR200",0.1601694578967,0.0556148056595065,-0.0591162792386597,0.0667076569331301,0.0667076569331301,0.0667076569331301,-0.0667076569331301,-0.0667076569331301,-0.0667076569331301,-0.0556148056595065,-0.0556148056595065,-0.1601694578967,-0.0570649938558099,-0.0140166453848529
"ESRP1",0.0510089959368539,-0.0455913978494624,-0.0516091457343078,0.0421973810284254,0.0421973810284254,0.0421973810284254,-0.0421973810284254,-0.0421973810284254,-0.0421973810284254,-0.0544086021505376,-0.0544086021505376,-0.0510089959368539,-0.0597649466100383,-0.120454077959478
"ZEB1",-0.052705474960864,-0.0516091457343078,-0.0503727512158719,-0.045260654063889,-0.045260654063889,-0.045260654063889,0.045260654063889,0.045260654063889,0.045260654063889,0.0516091457343078,0.0516091457343078,0.052705474960864,0.0576286686485176,0.121053885195029
"HA",0.0570257514585599,0.0421973810284254,-0.045260654063889,0.0516091457343078,0.0516091457343078,0.0516091457343078,-0.0516091457343078,-0.0516091457343078,-0.0516091457343078,-0.0421973810284254,-0.0421973810284254,-0.0570257514585599,-0.0502777671228588,-0.121173502419909
"CD24",0.0570257514585599,0.0421973810284254,-0.045260654063889,0.0516091457343078,0.0516091457343078,0.0516091457343078,-0.0516091457343078,-0.0516091457343078,-0.0516091457343078,-0.0421973810284254,-0.0421973810284254,-0.0570257514585599,-0.0502777671228588,-0.121173502419909
"TGFB",0.0554733827623035,0.0228108391403791,-0.0196512527251679,0.012402675875073,0.012402675875073,0.012402675875073,-0.012402675875073,-0.012402675875073,-0.012402675875073,-0.0228108391403791,-0.0228108391403791,-0.0554733827623035,-0.0828217839354851,-0.00325474184309294
"SNAIL1",0.0601658213715911,0.012402675875073,-0.0144761499320302,0.0196512527251679,0.0196512527251679,0.0196512527251679,-0.0196512527251679,-0.0196512527251679,-0.0196512527251679,-0.012402675875073,-0.012402675875073,-0.0601658213715911,-0.0746276709681024,-0.103406486911378
"GRHL2",-0.00922613323944683,-0.0128251635614366,0.00987407508385358,-0.00267772210436807,-0.00267772210436807,-0.00267772210436807,0.00267772210436807,0.00267772210436807,0.00267772210436807,0.0128251635614366,-0.0871748364385634,0.00922613323944683,0.0130858998231181,-0.0853992187352259
"MIR190",-0.0622530437792526,-0.00782446311858077,0.012402675875073,-0.0228108391403791,-0.0228108391403791,-0.0228108391403791,0.0228108391403791,0.0228108391403791,0.0228108391403791,0.00782446311858077,0.00782446311858077,0.0622530437792526,-0.0286431842173812,0.00339005984038658
"MIR34",-0.0554733827623035,-0.0228108391403791,0.0196512527251679,-0.012402675875073,-0.012402675875073,-0.012402675875073,0.012402675875073,0.012402675875073,0.012402675875073,0.0228108391403791,0.0228108391403791,0.0554733827623035,0.0828217839354851,0.00325474184309294
"MIR340",-0.0570257514585599,-0.0421973810284254,0.045260654063889,-0.0516091457343078,-0.0516091457343078,-0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0421973810284254,0.0421973810284254,0.0570257514585599,0.0502777671228588,0.121173502419909
"MIR1199",-0.0570257514585599,-0.0421973810284254,0.045260654063889,-0.0516091457343078,-0.0516091457343078,-0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0421973810284254,0.0421973810284254,0.0570257514585599,0.0502777671228588,0.121173502419909
"CD44s",-0.0570257514585599,-0.0421973810284254,0.045260654063889,-0.0516091457343078,-0.0516091457343078,-0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0516091457343078,0.0421973810284254,0.0421973810284254,0.0570257514585599,0.0502777671228588,0.121173502419909
"HAS2",-0.0510089959368539,-0.0544086021505376,0.0516091457343078,-0.0421973810284254,-0.0421973810284254,-0.0421973810284254,0.0421973810284254,0.0421973810284254,0.0421973810284254,-0.0455913978494624,0.0544086021505376,0.0510089959368539,0.0597649466100383,0.120454077959478
