"","MIR200","MIR1199","HAS2","GRHL2","CD44s","SNAIL1","ZEB1","TGFB","MIR34","HA","CD24","MIR340","MIR190","ESRP1"
"MIR200",0.208990924518942,0.118119715166972,0.118119715166972,0.118119715166972,0.117708868823505,0.0963110392882643,-0.118150955404398,-0.197381890396158,-0.0168492289582454,-0.117708868823505,-0.117708868823505,-0.118119715166972,-0.118119715166972,-0.118119715166972
"MIR340",0.106937991648929,0.0984834735407565,0.0984834735407565,0.0984834735407565,0.0987187676584036,0.0708706777250215,-0.0987085973588565,-0.00301635610884712,-0.0913025095486827,-0.0987187676584036,-0.0987187676584036,-0.0984834735407565,-0.0984834735407565,-0.0984834735407565
"CD24",0.106937991648929,0.0984834735407565,0.0984834735407565,0.0984834735407565,0.0987187676584036,0.0708706777250215,-0.0987085973588565,-0.00301635610884712,-0.0913025095486827,-0.0987187676584036,-0.0987187676584036,-0.0984834735407565,-0.0984834735407565,-0.0984834735407565
"HAS2",0.106557184337429,0.0987187676584036,0.0987187676584036,0.0987187676584036,0.0990488006617039,0.0717499742877713,-0.0984834735407565,-0.00301635610884712,-0.0919879627093833,-0.199048800661704,-0.0990488006617039,-0.0987187676584036,-0.0987187676584036,-0.0987187676584036
"ESRP1",0.106557184337429,0.0987187676584036,0.0987187676584036,0.0987187676584036,-0.000951199338296112,0.0717499742877713,-0.0984834735407565,-0.00301635610884712,-0.0919879627093833,-0.0990488006617039,-0.0990488006617039,-0.0987187676584036,-0.0987187676584036,-0.0987187676584036
"MIR190",0.110351779112175,0.094549747237678,0.094549747237678,0.094549747237678,0.0926423902894491,0.0316893133295135,-0.0941415839723719,-0.176701603579148,0.0165232039570384,-0.0926423902894491,-0.0926423902894491,-0.094549747237678,-0.094549747237678,-0.094549747237678
"SNAIL1",0.110683350930599,0.0938000279951423,0.0938000279951423,0.0938000279951423,0.0941415839723719,-0.0676301952546578,-0.094126130362929,-0.0752949584986059,0.0178139249228697,-0.0941415839723719,-0.0941415839723719,-0.0938000279951423,-0.0938000279951423,-0.0938000279951423
"ZEB1",-0.106765180589021,-0.0987085973588565,-0.0987085973588565,-0.0987085973588565,-0.0984834735407565,-0.0709304863374617,-0.00134121170639342,0.00333998070431638,0.0917633390417702,0.0984834735407565,0.0984834735407565,0.0987085973588565,0.0987085973588565,0.0987085973588565
"GRHL2",0.00682457282010355,-0.000643730837967287,-0.000643730837967287,-0.000643730837967287,-0.000557000569103454,0.0609083315086672,0.000415792055811638,-0.00320368303089799,0.00763772131931249,0.000557000569103454,-0.0994429994308965,0.000643730837967287,0.000643730837967287,0.000643730837967287
"TGFB",-0.110221401015695,-0.0941415839723719,-0.0941415839723719,-0.0941415839723719,-0.094549747237678,-0.0335837652916244,0.0938000279951423,0.0752154040037769,-0.0169143382464778,0.094549747237678,0.094549747237678,0.0941415839723719,0.0941415839723719,0.0941415839723719
"MIR34",-0.110221401015695,-0.0941415839723719,-0.0941415839723719,-0.0941415839723719,-0.094549747237678,-0.0335837652916244,0.0938000279951423,0.0752154040037769,-0.0169143382464778,0.094549747237678,0.094549747237678,0.0941415839723719,0.0941415839723719,0.0941415839723719
"MIR1199",-0.106937991648929,-0.0984834735407565,-0.0984834735407565,-0.0984834735407565,-0.0987187676584036,-0.0708706777250215,0.0987085973588565,0.00301635610884712,0.0913025095486827,0.0987187676584036,0.0987187676584036,0.0984834735407565,0.0984834735407565,0.0984834735407565
"HA",-0.106937991648929,-0.0984834735407565,-0.0984834735407565,-0.0984834735407565,-0.0987187676584036,-0.0708706777250215,0.0987085973588565,0.00301635610884712,0.0913025095486827,0.0987187676584036,0.0987187676584036,0.0984834735407565,0.0984834735407565,0.0984834735407565
"CD44s",-0.106937991648929,-0.0984834735407565,-0.0984834735407565,-0.0984834735407565,-0.0987187676584036,-0.0708706777250215,0.0987085973588565,0.00301635610884712,0.0913025095486827,0.0987187676584036,0.0987187676584036,0.0984834735407565,0.0984834735407565,0.0984834735407565
