"","MIR34","MIR200","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","ZEB1","TGFB","CD24","SNAIL1"
"MIR200",0.188930942520249,0.188930942520249,0.0814406182884914,0.0814406182884914,0.0834948500058291,0.0834948500058291,0.0834948500058291,0.0834948500058291,0.0834948500058291,0.0834948500058291,-0.0823389612210743,0.204993261975711,-0.0814406182884914,-0.111066037343235
"HAS2",0.078427993267061,0.078427993267061,0.162630272952854,0.0626302729528536,0.0649405039759559,0.0649405039759559,0.0649405039759559,0.0649405039759559,0.0649405039759559,0.0649405039759559,-0.0689405039759559,0.00362791906200266,-0.0626302729528536,-0.0702214561751316
"HA",0.0810936444475636,0.0810936444475636,0.0649405039759559,0.0649405039759559,0.0689405039759559,0.0689405039759559,0.0689405039759559,0.0689405039759559,0.0689405039759559,0.0689405039759559,-0.0673646372492562,0.00260227803636164,-0.0649405039759559,-0.0704612643286088
"ZEB1",-0.0801719854613885,-0.0801719854613885,-0.0689405039759559,-0.0689405039759559,-0.0673646372492562,-0.0673646372492562,-0.0673646372492562,-0.0673646372492562,-0.0673646372492562,-0.0673646372492562,-0.0336813531209912,-0.00264851012142867,0.0689405039759559,0.0711789676778911
"MIR190",-0.0771365850477323,-0.0771365850477323,0.0144600062247121,0.0144600062247121,0.0169123223010064,0.0169123223010064,0.0169123223010064,0.0169123223010064,0.0169123223010064,0.0169123223010064,-0.0171164039336594,-0.193801782719367,-0.0144600062247121,0.074740721927922
"SNAIL1",-0.0774964006988731,-0.0774964006988731,0.0171164039336594,0.0171164039336594,0.0179133678805285,0.0179133678805285,0.0179133678805285,0.0179133678805285,0.0179133678805285,0.0179133678805285,-0.0167932771390001,-0.0932433811059814,-0.0171164039336594,-0.0270236139427093
"GRHL2",0.00857532224792102,0.00857532224792102,0.0163260609688298,0.0163260609688298,0.0139843437095063,0.0139843437095063,0.0139843437095063,0.0139843437095063,0.0139843437095063,0.0139843437095063,-0.0162311688478977,-0.00282511274898915,-0.11632606096883,0.0608823624159768
"TGFB",0.0792226345914089,0.0792226345914089,-0.0169123223010064,-0.0169123223010064,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,0.0179133678805285,0.0918909546938891,0.0169123223010064,-0.071357771995581
"MIR34",0.0792226345914089,0.0792226345914089,-0.0169123223010064,-0.0169123223010064,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,-0.0171164039336594,0.0179133678805285,0.0918909546938891,0.0169123223010064,-0.071357771995581
"MIR340",-0.0810936444475636,-0.0810936444475636,-0.0649405039759559,-0.0649405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,0.0673646372492562,-0.00260227803636164,0.0649405039759559,0.0704612643286088
"MIR1199",-0.0810936444475636,-0.0810936444475636,-0.0649405039759559,-0.0649405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,0.0673646372492562,-0.00260227803636164,0.0649405039759559,0.0704612643286088
"CD44s",-0.0810936444475636,-0.0810936444475636,-0.0649405039759559,-0.0649405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,0.0673646372492562,-0.00260227803636164,0.0649405039759559,0.0704612643286088
"CD24",-0.0810936444475636,-0.0810936444475636,-0.0649405039759559,-0.0649405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,-0.0689405039759559,0.0673646372492562,-0.00260227803636164,0.0649405039759559,0.0704612643286088
"ESRP1",-0.078427993267061,-0.078427993267061,-0.0626302729528536,0.0373697270471464,-0.0649405039759559,-0.0649405039759559,-0.0649405039759559,-0.0649405039759559,-0.0649405039759559,-0.0649405039759559,0.0689405039759559,-0.00362791906200266,0.0626302729528536,0.0702214561751316
