"","SNAIL1","MIR200","HA","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","CD24","MIR34"
"TGFB",-0.260607574449621,-0.0187361867392171,0.321242347377946,0.321242347377946,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,-0.160687042498444,-0.313346285727479,-0.321242347377946,0.0187361867392171
"MIR34",-0.260607574449621,-0.0187361867392171,0.321242347377946,0.321242347377946,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,0.316344388194273,-0.160687042498444,-0.313346285727479,-0.321242347377946,0.0187361867392171
"ESRP1",0.199113519194327,0.148424357736233,0.0817948717948718,0.181794871794872,0.0709037826859609,0.0709037826859609,0.0709037826859609,0.0709037826859609,0.0709037826859609,0.0709037826859609,0.0327469417075999,-0.0720802532741962,-0.0817948717948718,-0.148424357736233
"MIR340",0.19535652478985,0.149109810896934,0.0709037826859609,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0319777109383692,-0.0694237922206167,-0.0709037826859609,-0.149109810896934
"MIR1199",0.19535652478985,0.149109810896934,0.0709037826859609,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0319777109383692,-0.0694237922206167,-0.0709037826859609,-0.149109810896934
"CD44s",0.19535652478985,0.149109810896934,0.0709037826859609,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0319777109383692,-0.0694237922206167,-0.0709037826859609,-0.149109810896934
"CD24",0.19535652478985,0.149109810896934,0.0709037826859609,0.0709037826859609,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0720802532741962,0.0319777109383692,-0.0694237922206167,-0.0709037826859609,-0.149109810896934
"ZEB1",-0.194399586990807,-0.146056815505229,-0.0720802532741962,-0.0720802532741962,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0694237922206167,-0.0319314788533021,-0.0288993025826375,0.0720802532741962,0.146056815505229
"MIR200",-0.288662235860639,-0.211346490245624,0.000507753401769262,0.000507753401769262,-0.000889124166020385,-0.000889124166020385,-0.000889124166020385,-0.000889124166020385,-0.000889124166020385,-0.000889124166020385,-0.0416525737991415,0.000545481554336536,-0.000507753401769262,0.211346490245624
"GRHL2",0.119385770368251,0.0323370035855867,-0.00634710261728333,-0.00634710261728333,-0.00261770105613849,-0.00261770105613849,-0.00261770105613849,-0.00261770105613849,-0.00261770105613849,-0.00261770105613849,0.0148816099241304,0.00486452619452989,-0.0936528973827167,-0.0323370035855867
"HA",-0.19535652478985,-0.149109810896934,-0.0709037826859609,-0.0709037826859609,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0720802532741962,-0.0319777109383692,0.0694237922206167,0.0709037826859609,0.149109810896934
"HAS2",-0.199113519194327,-0.148424357736233,0.0182051282051282,-0.0817948717948718,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0709037826859609,-0.0327469417075999,0.0720802532741962,0.0817948717948718,0.148424357736233
"SNAIL1",0.160506411070765,0.019587147108777,-0.316344388194273,-0.316344388194273,-0.313346285727479,-0.313346285727479,-0.313346285727479,-0.313346285727479,-0.313346285727479,-0.313346285727479,0.159255061591522,0.310950142242438,0.316344388194273,-0.019587147108777
"MIR190",0.263584570390082,0.0179539181603383,-0.323149704326175,-0.323149704326175,-0.321242347377946,-0.321242347377946,-0.321242347377946,-0.321242347377946,-0.321242347377946,-0.321242347377946,0.0636594416491868,0.316344388194273,0.323149704326175,-0.0179539181603383
