"","SNAIL1","ZEB1","CD44s","MIR190","MIR1199","HAS2","ESRP1","MIR340","GRHL2","HA","CD24","TGFB","MIR34","MIR200"
"GRHL2",0.115977797860243,-0.118687956423518,0.0900911425959283,0.111686979543023,0.111686979543023,0.111686979543023,0.111686979543023,-0.111686979543023,-0.111686979543023,-0.0900911425959283,0.00990885740407165,-0.121856336247829,-0.156608475771833,-0.156608475771833
"MIR200",-0.0423950112622923,-0.072106459838226,0.0533456319642333,0.0754491652427871,0.0754491652427871,0.0754491652427871,0.0754491652427871,-0.0754491652427871,-0.0754491652427871,-0.0533456319642333,-0.0533456319642333,0.134349338534155,0.0120984685848266,0.0120984685848266
"ZEB1",-0.0958012308216789,-0.0593364530673499,-0.0577919448053403,-0.0564862266603605,-0.0564862266603605,-0.0564862266603605,-0.0564862266603605,0.0564862266603605,0.0564862266603605,0.0577919448053403,0.0577919448053403,0.0729818673954868,0.0825437499446302,0.0825437499446302
"ESRP1",0.0913817042419857,-0.0577919448053403,0.127435897435897,0.0290860624523991,0.0290860624523991,0.0290860624523991,0.0290860624523991,-0.0290860624523991,-0.0290860624523991,-0.0274358974358974,-0.0274358974358974,-0.0506766645077597,-0.0703919166294305,-0.0703919166294305
"MIR340",0.0887438145537364,-0.0564862266603605,0.0290860624523991,0.0577919448053403,0.0577919448053403,0.0577919448053403,0.0577919448053403,-0.0577919448053403,-0.0577919448053403,-0.0290860624523991,-0.0290860624523991,-0.0532407670718622,-0.0843294642303444,-0.0843294642303444
"HA",0.0887438145537364,-0.0564862266603605,0.0290860624523991,0.0577919448053403,0.0577919448053403,0.0577919448053403,0.0577919448053403,-0.0577919448053403,-0.0577919448053403,-0.0290860624523991,-0.0290860624523991,-0.0532407670718622,-0.0843294642303444,-0.0843294642303444
"CD44s",0.0887438145537364,-0.0564862266603605,0.0290860624523991,0.0577919448053403,0.0577919448053403,0.0577919448053403,0.0577919448053403,-0.0577919448053403,-0.0577919448053403,-0.0290860624523991,-0.0290860624523991,-0.0532407670718622,-0.0843294642303444,-0.0843294642303444
"CD24",0.0887438145537364,-0.0564862266603605,0.0290860624523991,0.0577919448053403,0.0577919448053403,0.0577919448053403,0.0577919448053403,-0.0577919448053403,-0.0577919448053403,-0.0290860624523991,-0.0290860624523991,-0.0532407670718622,-0.0843294642303444,-0.0843294642303444
"MIR190",0.08889911616206,-0.00969372429565226,0.00854652972300031,0.00173454062218287,0.00173454062218287,0.00173454062218287,0.00173454062218287,-0.00173454062218287,-0.00173454062218287,-0.00854652972300031,-0.00854652972300031,-0.203533049542324,-0.0968428070492272,-0.0968428070492272
"SNAIL1",-0.012646465879866,-0.00926075419209101,0.00969372429565226,0.0139821493430906,0.0139821493430906,0.0139821493430906,0.0139821493430906,-0.0139821493430906,-0.0139821493430906,-0.00969372429565226,-0.00969372429565226,-0.104616409478275,-0.103019520880876,-0.103019520880876
"TGFB",-0.0853808482324253,0.0139821493430906,-0.00173454062218287,-0.00969372429565226,-0.00969372429565226,-0.00969372429565226,-0.00969372429565226,0.00969372429565226,0.00969372429565226,0.00173454062218287,0.00173454062218287,0.0986498223661033,0.1015364185225,0.1015364185225
"MIR34",-0.0853808482324253,0.0139821493430906,-0.00173454062218287,-0.00969372429565226,-0.00969372429565226,-0.00969372429565226,-0.00969372429565226,0.00969372429565226,0.00969372429565226,0.00173454062218287,0.00173454062218287,0.0986498223661033,0.1015364185225,0.1015364185225
"MIR1199",-0.0887438145537364,0.0564862266603605,-0.0290860624523991,-0.0577919448053403,-0.0577919448053403,-0.0577919448053403,-0.0577919448053403,0.0577919448053403,0.0577919448053403,0.0290860624523991,0.0290860624523991,0.0532407670718622,0.0843294642303444,0.0843294642303444
"HAS2",-0.0913817042419857,0.0577919448053403,-0.0274358974358974,-0.0290860624523991,-0.0290860624523991,-0.0290860624523991,-0.0290860624523991,0.0290860624523991,0.0290860624523991,-0.0725641025641026,0.0274358974358974,0.0506766645077597,0.0703919166294305,0.0703919166294305
