"","SNAIL1","HA","MIR340","MIR190","GRHL2","ESRP1","ZEB1","MIR200","TGFB","MIR1199","HAS2","CD44s","CD24","MIR34"
"TGFB",-0.402540657517667,0.367260762009921,0.369505659969104,0.369505659969104,0.369505659969104,0.369505659969104,-0.3702267225877,0.445142790998295,0.194254747118276,-0.369505659969104,-0.369505659969104,-0.367260762009921,-0.367260762009921,0.0407268033045024
"MIR34",-0.402540657517667,0.367260762009921,0.369505659969104,0.369505659969104,0.369505659969104,0.369505659969104,-0.3702267225877,0.445142790998295,0.194254747118276,-0.369505659969104,-0.369505659969104,-0.367260762009921,-0.367260762009921,0.0407268033045024
"MIR200",-0.0981369153331273,0.183525129414098,0.184922006981888,0.184922006981888,0.184922006981888,0.184922006981888,-0.182329067275546,0.261919377645793,0.202366810391283,-0.184922006981888,-0.184922006981888,-0.183525129414098,-0.183525129414098,-0.05805692314863
"HAS2",0.226593655758771,-0.0198180314309347,0.0673106814403525,0.0673106814403525,0.0673106814403525,0.0673106814403525,-0.0658989167344701,0.0293853550568312,-0.0359938996547659,-0.0673106814403525,-0.0673106814403525,-0.0801819685690654,-0.0801819685690654,-0.154345628474374
"ESRP1",0.226593655758771,0.0801819685690654,0.0673106814403525,0.0673106814403525,0.0673106814403525,0.0673106814403525,-0.0658989167344701,0.0293853550568312,-0.0359938996547659,-0.0673106814403525,-0.0673106814403525,-0.180181968569065,-0.0801819685690654,-0.154345628474374
"MIR340",0.22667359180993,0.0673106814403525,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,-0.0611713165543711,0.0268720268009287,-0.037019540680407,-0.0658989167344701,-0.0658989167344701,-0.0673106814403525,-0.0673106814403525,-0.155031081635075
"CD24",0.22667359180993,0.0673106814403525,0.0658989167344701,0.0658989167344701,0.0658989167344701,0.0658989167344701,-0.0611713165543711,0.0268720268009287,-0.037019540680407,-0.0658989167344701,-0.0658989167344701,-0.0673106814403525,-0.0673106814403525,-0.155031081635075
"ZEB1",-0.227211869321892,-0.0658989167344701,-0.0611713165543711,-0.0611713165543711,-0.0611713165543711,-0.0611713165543711,-0.0389449045978786,-0.0238190314092236,0.0379904144668147,0.0611713165543711,0.0611713165543711,0.0658989167344701,0.0658989167344701,0.152035689930006
"MIR1199",-0.22667359180993,-0.0673106814403525,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,0.0611713165543711,-0.0268720268009287,0.037019540680407,0.0658989167344701,0.0658989167344701,0.0673106814403525,0.0673106814403525,0.155031081635075
"HA",-0.22667359180993,-0.0673106814403525,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,0.0611713165543711,-0.0268720268009287,0.037019540680407,0.0658989167344701,0.0658989167344701,0.0673106814403525,0.0673106814403525,0.155031081635075
"CD44s",-0.22667359180993,-0.0673106814403525,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,-0.0658989167344701,0.0611713165543711,-0.0268720268009287,0.037019540680407,0.0658989167344701,0.0658989167344701,0.0673106814403525,0.0673106814403525,0.155031081635075
"GRHL2",-0.251548939926773,-0.217168429052865,-0.21274518534081,-0.21274518534081,-0.21274518534081,-0.21274518534081,0.208935351410494,-0.14566088204497,0.0402925035145825,0.21274518534081,0.21274518534081,0.217168429052865,0.117168429052865,0.286111176562102
"MIR190",0.405652971455421,-0.359358854652972,-0.367260762009921,-0.367260762009921,-0.367260762009921,-0.367260762009921,0.369505659969104,-0.444751656708856,-0.294679375568382,0.367260762009921,0.367260762009921,0.359358854652972,0.359358854652972,-0.0432039871376185
"SNAIL1",0.300315063182816,-0.369505659969104,-0.3702267225877,-0.3702267225877,-0.3702267225877,-0.3702267225877,0.36956033948831,-0.444486335856063,-0.193618311159644,0.3702267225877,0.3702267225877,0.369505659969104,0.369505659969104,-0.0391464483324625
