"","MIR340","MIR190","GRHL2","ESRP1","HA","MIR34","ZEB1","TGFB","MIR200","CD44s","CD24","MIR1199","HAS2","SNAIL1"
"MIR1199",0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0954929612067907,0.0681221517280462,-0.0959533791425377,-0.0170201954068041,-0.0681221517280462,-0.0954929612067907,-0.0954929612067907,-0.0957282553244377,-0.0957282553244377,-0.119704332927917
"HA",0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0954929612067907,0.0681221517280462,-0.0959533791425377,-0.0170201954068041,-0.0681221517280462,-0.0954929612067907,-0.0954929612067907,-0.0957282553244377,-0.0957282553244377,-0.119704332927917
"CD44s",0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0954929612067907,0.0681221517280462,-0.0959533791425377,-0.0170201954068041,-0.0681221517280462,-0.0954929612067907,-0.0954929612067907,-0.0957282553244377,-0.0957282553244377,-0.119704332927917
"CD24",0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0957282553244377,0.0954929612067907,0.0681221517280462,-0.0959533791425377,-0.0170201954068041,-0.0681221517280462,-0.0954929612067907,-0.0954929612067907,-0.0957282553244377,-0.0957282553244377,-0.119704332927917
"TGFB",0.0746087329875941,0.0746087329875941,0.0746087329875941,0.0746087329875941,0.0742005697222879,-0.0977873177125146,-0.0747225849800039,-0.122314138530542,0.0977873177125146,-0.0742005697222879,-0.0742005697222879,-0.0746087329875941,-0.0746087329875941,-0.157986686823544
"MIR34",0.0746087329875941,0.0746087329875941,0.0746087329875941,0.0746087329875941,0.0742005697222879,-0.0977873177125146,-0.0747225849800039,-0.122314138530542,0.0977873177125146,-0.0742005697222879,-0.0742005697222879,-0.0746087329875941,-0.0746087329875941,-0.157986686823544
"ZEB1",-0.0959533791425377,-0.0959533791425377,-0.0959533791425377,-0.0959533791425377,-0.0957282553244377,-0.0681221517280462,-0.00396360574871254,0.0170664274918711,0.0681221517280462,0.0957282553244377,0.0957282553244377,0.0959533791425377,0.0959533791425377,0.119943567377677
"GRHL2",-0.0018140293426904,-0.0018140293426904,-0.0018140293426904,-0.0018140293426904,-0.0020742201492819,-0.016043956043956,0.00171634129319512,-0.00793239080134946,0.016043956043956,0.0020742201492819,-0.0979257798507181,0.0018140293426904,0.0018140293426904,-0.0846359363925242
"MIR190",-0.0742005697222879,-0.0742005697222879,-0.0742005697222879,-0.0742005697222879,-0.0733831310301899,0.0976569396160348,0.0746087329875941,0.0221018243054889,-0.0976569396160348,0.0733831310301899,0.0733831310301899,0.0742005697222879,0.0742005697222879,0.15744541483437
"SNAIL1",-0.0747225849800039,-0.0747225849800039,-0.0747225849800039,-0.0747225849800039,-0.0746087329875941,0.0979088834795946,0.0747084066161871,0.122552802015029,-0.0979088834795946,0.0746087329875941,0.0746087329875941,0.0747225849800039,0.0747225849800039,0.0580878502024012
"HAS2",-0.0954929612067907,-0.0954929612067907,-0.0954929612067907,-0.0954929612067907,-0.195822994210091,-0.0680459902657461,0.0957282553244377,0.0172766056632143,0.0680459902657461,0.095822994210091,0.095822994210091,0.0954929612067907,0.0954929612067907,0.119304652672121
"ESRP1",-0.0954929612067907,-0.0954929612067907,-0.0954929612067907,-0.0954929612067907,-0.095822994210091,-0.0680459902657461,0.0957282553244377,0.0172766056632143,0.0680459902657461,-0.00417700578990902,0.095822994210091,0.0954929612067907,0.0954929612067907,0.119304652672121
"MIR340",-0.0957282553244377,-0.0957282553244377,-0.0957282553244377,-0.0957282553244377,-0.0954929612067907,-0.0681221517280462,0.0959533791425377,0.0170201954068041,0.0681221517280462,0.0954929612067907,0.0954929612067907,0.0957282553244377,0.0957282553244377,0.119704332927917
"MIR200",-0.109729699030741,-0.109729699030741,-0.109729699030741,-0.109729699030741,-0.109318852687274,0.0210150002984445,0.110010861167574,0.0169954255784181,-0.0210150002984445,0.109318852687274,0.109318852687274,0.109729699030741,0.109729699030741,0.195690978531837
