"","MIR340","MIR190","MIR1199","HAS2","ESRP1","HA","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","CD44s","GRHL2"
"MIR340",0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.437171133986848,0.437171133986848,0.321642348389197,0.321642348389197,0.149372845295883,-0.014785887567238,-0.484701711098377,-0.437171133986848,-0.464935839869201
"MIR1199",0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.437171133986848,0.437171133986848,0.321642348389197,0.321642348389197,0.149372845295883,-0.014785887567238,-0.484701711098377,-0.437171133986848,-0.464935839869201
"HA",0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.464935839869201,0.437171133986848,0.437171133986848,0.321642348389197,0.321642348389197,0.149372845295883,-0.014785887567238,-0.484701711098377,-0.437171133986848,-0.464935839869201
"HAS2",0.437171133986848,0.437171133986848,0.437171133986848,0.437171133986848,0.437171133986848,0.507138130686518,0.407138130686518,0.306181571542282,0.306181571542282,0.144976362482134,-0.0132474260287765,-0.464935839869201,-0.407138130686518,-0.437171133986848
"ESRP1",0.437171133986848,0.437171133986848,0.437171133986848,0.437171133986848,0.437171133986848,0.407138130686518,0.407138130686518,0.306181571542282,0.306181571542282,0.144976362482134,-0.0132474260287765,-0.464935839869201,-0.507138130686518,-0.437171133986848
"MIR200",0.360314107947461,0.360314107947461,0.360314107947461,0.360314107947461,0.360314107947461,0.342647715178357,0.342647715178357,0.332385500172299,0.332385500172299,0.0187398571310938,0.182168805937926,-0.373341286954022,-0.342647715178357,-0.360314107947461
"SNAIL1",0.0810274187903165,0.0810274187903165,0.0810274187903165,0.0810274187903165,0.0810274187903165,0.0770425990559712,0.0770425990559712,-0.0157815976632199,-0.0157815976632199,-0.0649336175121156,-0.0755812692911937,-0.0824027200805476,-0.0770425990559712,-0.0810274187903165
"MIR34",0.0770425990559712,0.0770425990559712,0.0770425990559712,0.0770425990559712,0.0770425990559712,0.0747977010967875,0.0747977010967875,-0.0182372261582357,-0.0182372261582357,0.0350663824878844,-0.074944833332562,-0.0810274187903165,-0.0747977010967875,-0.0770425990559712
"MIR190",0.0747977010967875,0.0747977010967875,0.0747977010967875,0.0747977010967875,0.0747977010967875,0.0690756302521009,0.0690756302521009,-0.0186283604476751,-0.0186283604476751,0.0347957464932971,-0.175157147557615,-0.0770425990559712,-0.0690756302521009,-0.0747977010967875
"TGFB",-0.0770425990559712,-0.0770425990559712,-0.0770425990559712,-0.0770425990559712,-0.0770425990559712,-0.0747977010967875,-0.0747977010967875,0.0182372261582357,0.0182372261582357,-0.0350663824878844,0.074944833332562,0.0810274187903165,0.0747977010967875,0.0770425990559712
"GRHL2",-0.174025126637452,-0.174025126637452,-0.174025126637452,-0.174025126637452,-0.174025126637452,-0.161449237652196,-0.261449237652196,-0.110940163921695,-0.110940163921695,-0.0991454463801421,0.00937317455632172,0.180635351319966,0.161449237652196,0.174025126637452
"ZEB1",-0.484701711098377,-0.484701711098377,-0.484701711098377,-0.484701711098377,-0.484701711098377,-0.464935839869201,-0.464935839869201,-0.332702256223299,-0.332702256223299,-0.154157534291099,0.0163115463744503,0.402251105088083,0.464935839869201,0.484701711098377
"CD44s",-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.437171133986848,-0.437171133986848,-0.321642348389197,-0.321642348389197,-0.149372845295883,0.014785887567238,0.484701711098377,0.437171133986848,0.464935839869201
"CD24",-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.464935839869201,-0.437171133986848,-0.437171133986848,-0.321642348389197,-0.321642348389197,-0.149372845295883,0.014785887567238,0.484701711098377,0.437171133986848,0.464935839869201
