"","MIR200","HA","CD44s","MIR340","MIR190","HAS2","GRHL2","SNAIL1","TGFB","ZEB1","MIR1199","ESRP1","CD24","MIR34"
"HAS2",0.172945692856903,0.273887510339123,0.173887510339123,0.172237345322622,0.172237345322622,0.172237345322622,0.172237345322622,0.116395299213501,-0.00996894421804579,-0.174119698263798,-0.172237345322622,-0.172237345322622,-0.173887510339123,-0.172945692856903
"MIR340",0.176220635735806,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.113757409525252,-0.00843048267958425,-0.173354277282258,-0.174119698263798,-0.174119698263798,-0.172237345322622,-0.176220635735806
"HA",0.176220635735806,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.113757409525252,-0.00843048267958425,-0.173354277282258,-0.174119698263798,-0.174119698263798,-0.172237345322622,-0.176220635735806
"CD44s",0.176220635735806,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.113757409525252,-0.00843048267958425,-0.173354277282258,-0.174119698263798,-0.174119698263798,-0.172237345322622,-0.176220635735806
"CD24",0.176220635735806,0.172237345322622,0.172237345322622,0.174119698263798,0.174119698263798,0.174119698263798,0.174119698263798,0.113757409525252,-0.00843048267958425,-0.173354277282258,-0.174119698263798,-0.174119698263798,-0.172237345322622,-0.176220635735806
"TGFB",0.00477395115994555,0.159929085772971,0.159929085772971,0.159316840875012,0.159316840875012,0.159316840875012,0.159316840875012,-0.0491671743130998,0.0869389078995905,-0.160493311463247,-0.159316840875012,-0.159316840875012,-0.159929085772971,-0.00477395115994555
"MIR34",0.00477395115994555,0.159929085772971,0.159929085772971,0.159316840875012,0.159316840875012,0.159316840875012,0.159316840875012,-0.0491671743130998,0.0869389078995905,-0.160493311463247,-0.159316840875012,-0.159316840875012,-0.159929085772971,-0.00477395115994555
"MIR190",0.00659924451066263,0.155841892312481,0.155841892312481,0.159929085772971,0.159929085772971,0.159929085772971,0.159929085772971,-0.0524148062481472,0.189062050150121,-0.159316840875012,-0.159929085772971,-0.159929085772971,-0.155841892312481,-0.00659924451066263
"GRHL2",0.0456255066555127,0.0356690663009988,0.0356690663009988,0.0374904019471393,0.0374904019471393,0.0374904019471393,0.0374904019471393,0.0806131489636994,-0.00577615765451525,-0.0364158334026913,-0.0374904019471393,-0.0374904019471393,-0.135669066300999,-0.0456255066555127
"ZEB1",-0.174780543569907,-0.174119698263798,-0.174119698263798,-0.173354277282258,-0.173354277282258,-0.173354277282258,-0.173354277282258,-0.115671285123338,0.00967874897639423,0.0739021770000069,0.173354277282258,0.173354277282258,0.174119698263798,0.174780543569907
"SNAIL1",-0.0066946902798094,-0.159316840875012,-0.159316840875012,-0.160493311463247,-0.160493311463247,-0.160493311463247,-0.160493311463247,-0.0494165383829042,-0.0878140073427091,0.16016720909546,0.160493311463247,0.160493311463247,0.159316840875012,0.0066946902798094
"MIR1199",-0.176220635735806,-0.172237345322622,-0.172237345322622,-0.174119698263798,-0.174119698263798,-0.174119698263798,-0.174119698263798,-0.113757409525252,0.00843048267958425,0.173354277282258,0.174119698263798,0.174119698263798,0.172237345322622,0.176220635735806
"ESRP1",-0.172945692856903,-0.173887510339123,-0.273887510339123,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.172237345322622,-0.116395299213501,0.00996894421804579,0.174119698263798,0.172237345322622,0.172237345322622,0.173887510339123,0.172945692856903
"MIR200",-0.0823889672895732,-0.191373105518744,-0.191373105518744,-0.193920352848242,-0.193920352848242,-0.193920352848242,-0.193920352848242,0.0122889765799489,-0.193437078388623,0.193201827387449,0.193920352848242,0.193920352848242,0.191373105518744,0.0823889672895732
