"","MIR190","MIR1199","GRHL2","ESRP1","MIR200","MIR34","TGFB","SNAIL1","ZEB1","MIR340","HAS2","HA","CD44s","CD24"
"ESRP1",0.349349024232448,0.349349024232448,0.349349024232448,0.349349024232448,0.306531062968355,0.261030360686299,0.0132159021652118,-0.141730503924218,-0.388878435997154,-0.349349024232448,-0.349349024232448,-0.350339123242349,-0.450339123242349,-0.350339123242349
"MIR1199",0.388878435997154,0.388878435997154,0.388878435997154,0.388878435997154,0.337528778124486,0.281213148195819,0.0119338508831605,-0.137813637417424,-0.388203064542854,-0.388878435997154,-0.388878435997154,-0.349349024232448,-0.349349024232448,-0.349349024232448
"CD24",0.388878435997154,0.388878435997154,0.388878435997154,0.388878435997154,0.337528778124486,0.281213148195819,0.0119338508831605,-0.137813637417424,-0.388203064542854,-0.388878435997154,-0.388878435997154,-0.349349024232448,-0.349349024232448,-0.349349024232448
"MIR200",0.311086548730259,0.311086548730259,0.311086548730259,0.311086548730259,0.34590696910384,0.130826324282969,0.202544324879226,-0.12972101237176,-0.314366773659968,-0.311086548730259,-0.311086548730259,-0.290133385213414,-0.290133385213414,-0.290133385213414
"GRHL2",0.151694873947914,0.151694873947914,0.151694873947914,0.151694873947914,0.134141589970909,0.0969701490719462,0.00741043443223064,-0.0914109408447068,-0.140265372156966,-0.151694873947914,-0.151694873947914,-0.122293312803074,-0.122293312803074,-0.222293312803074
"SNAIL1",0.0761325840777454,0.0761325840777454,0.0761325840777454,0.0761325840777454,-0.00716438544620179,0.0988021692177999,-0.0697548451045086,-0.0911336505209311,-0.0690008670778872,-0.0761325840777454,-0.0761325840777454,-0.0627359996375177,-0.0627359996375177,-0.0627359996375177
"MIR190",0.0749808975967014,0.0749808975967014,0.0749808975967014,0.0749808975967014,-0.00776774471884861,0.0978858137563271,-0.171109298382711,0.0103323971189438,-0.0627359996375177,-0.0749808975967014,-0.0749808975967014,-0.0529100529100529,-0.0529100529100529,-0.0529100529100529
"TGFB",-0.0627359996375177,-0.0627359996375177,-0.0627359996375177,-0.0627359996375177,0.017546101954833,-0.0920187994147365,0.0685615276820742,-0.00532563121907907,0.0761325840777454,0.0627359996375177,0.0627359996375177,0.0749808975967014,0.0749808975967014,0.0749808975967014
"MIR34",-0.0627359996375177,-0.0627359996375177,-0.0627359996375177,-0.0627359996375177,0.017546101954833,-0.0920187994147365,0.0685615276820742,-0.00532563121907907,0.0761325840777454,0.0627359996375177,0.0627359996375177,0.0749808975967014,0.0749808975967014,0.0749808975967014
"ZEB1",-0.388203064542854,-0.388203064542854,-0.388203064542854,-0.388203064542854,-0.335685460152136,-0.28219241086863,-0.0152163289229201,0.146904546508333,0.312460079319543,0.388203064542854,0.388203064542854,0.388878435997154,0.388878435997154,0.388878435997154
"MIR340",-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.337528778124486,-0.281213148195819,-0.0119338508831605,0.137813637417424,0.388203064542854,0.388878435997154,0.388878435997154,0.349349024232448,0.349349024232448,0.349349024232448
"HA",-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.337528778124486,-0.281213148195819,-0.0119338508831605,0.137813637417424,0.388203064542854,0.388878435997154,0.388878435997154,0.349349024232448,0.349349024232448,0.349349024232448
"CD44s",-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.388878435997154,-0.337528778124486,-0.281213148195819,-0.0119338508831605,0.137813637417424,0.388203064542854,0.388878435997154,0.388878435997154,0.349349024232448,0.349349024232448,0.349349024232448
"HAS2",-0.349349024232448,-0.349349024232448,-0.349349024232448,-0.349349024232448,-0.306531062968355,-0.261030360686299,-0.0132159021652118,0.141730503924218,0.388878435997154,0.349349024232448,0.349349024232448,0.450339123242349,0.350339123242349,0.350339123242349
