"","MIR34","MIR340","MIR190","MIR1199","HAS2","GRHL2","CD44s","TGFB","ZEB1","MIR200","HA","CD24","ESRP1","SNAIL1"
"TGFB",0.515079200044983,0.320272192437375,0.320272192437375,0.320272192437375,0.320272192437375,0.320272192437375,0.311088518967987,0.248422344502556,-0.32683765733301,0.168482288161657,-0.311088518967987,-0.311088518967987,-0.320272192437375,-0.687173141767539
"MIR34",0.515079200044983,0.320272192437375,0.320272192437375,0.320272192437375,0.320272192437375,0.320272192437375,0.311088518967987,0.248422344502556,-0.32683765733301,0.168482288161657,-0.311088518967987,-0.311088518967987,-0.320272192437375,-0.687173141767539
"MIR190",0.498912316081488,0.311088518967987,0.311088518967987,0.311088518967987,0.311088518967987,0.311088518967987,0.29828197945845,0.340142089725486,-0.320272192437375,0.164049432881344,-0.29828197945845,-0.29828197945845,-0.311088518967987,-0.665386944203263
"MIR200",0.357871664671652,0.171983802037759,0.171983802037759,0.171983802037759,0.171983802037759,0.171983802037759,0.167135815184842,0.263550714651204,-0.17532650744232,0.061870913767858,-0.167135815184842,-0.167135815184842,-0.171983802037759,-0.425614193105037
"MIR1199",0.144018624130711,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0767469228312409,0.030375146835805,-0.0789241085186631,-0.0364289664321532,-0.0767469228312409,-0.0767469228312409,-0.0781586875371233,-0.197507539510955
"HA",0.144018624130711,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0767469228312409,0.030375146835805,-0.0789241085186631,-0.0364289664321532,-0.0767469228312409,-0.0767469228312409,-0.0781586875371233,-0.197507539510955
"CD24",0.144018624130711,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0781586875371233,0.0767469228312409,0.030375146835805,-0.0789241085186631,-0.0364289664321532,-0.0767469228312409,-0.0767469228312409,-0.0781586875371233,-0.197507539510955
"ESRP1",0.140591358327207,0.0767469228312409,0.0767469228312409,0.0767469228312409,0.0767469228312409,0.0767469228312409,-0.0242431761786601,0.0285802750409333,-0.0781586875371233,-0.0380283571404548,-0.07575682382134,-0.07575682382134,-0.0767469228312409,-0.192951184594888
"ZEB1",-0.146149960536241,-0.0789241085186631,-0.0789241085186631,-0.0789241085186631,-0.0789241085186631,-0.0789241085186631,-0.0781586875371233,-0.0319008056430173,-0.0197310467195902,0.0352768926994343,0.0781586875371233,0.0781586875371233,0.0789241085186631,0.200976439032486
"GRHL2",0.0250821945280046,-0.00320271139400927,-0.00320271139400927,-0.00320271139400927,-0.00320271139400927,-0.00320271139400927,-0.00398328381378377,0.0146582933172751,0.0030398979781838,0.0288634299491538,0.00398328381378377,-0.0960167161862162,0.00320271139400927,-0.12217458695197
"HAS2",-0.140591358327207,-0.0767469228312409,-0.0767469228312409,-0.0767469228312409,-0.0767469228312409,-0.0767469228312409,-0.07575682382134,-0.0285802750409333,0.0781586875371233,0.0380283571404548,-0.0242431761786601,0.07575682382134,0.0767469228312409,0.192951184594888
"MIR340",-0.144018624130711,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0767469228312409,-0.030375146835805,0.0789241085186631,0.0364289664321532,0.0767469228312409,0.0767469228312409,0.0781586875371233,0.197507539510955
"CD44s",-0.144018624130711,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0781586875371233,-0.0767469228312409,-0.030375146835805,0.0789241085186631,0.0364289664321532,0.0767469228312409,0.0767469228312409,0.0781586875371233,0.197507539510955
"SNAIL1",-0.527114210985902,-0.32683765733301,-0.32683765733301,-0.32683765733301,-0.32683765733301,-0.32683765733301,-0.320272192437375,-0.254707149594044,0.331644122666911,-0.172104948020641,0.320272192437375,0.320272192437375,0.32683765733301,0.603561609142349
