"","MIR340","MIR190","GRHL2","HA","CD44s","MIR34","MIR200","SNAIL1","TGFB","ZEB1","CD24","MIR1199","HAS2","ESRP1"
"MIR340",0.3640049878291,0.3640049878291,0.3640049878291,0.335534399593805,0.335534399593805,0.265647140923676,0.265647140923676,0.13496866106047,0.0118035845792608,-0.366301250773719,-0.335534399593805,-0.3640049878291,-0.3640049878291,-0.3640049878291
"HA",0.3640049878291,0.3640049878291,0.3640049878291,0.335534399593805,0.335534399593805,0.265647140923676,0.265647140923676,0.13496866106047,0.0118035845792608,-0.366301250773719,-0.335534399593805,-0.3640049878291,-0.3640049878291,-0.3640049878291
"CD44s",0.3640049878291,0.3640049878291,0.3640049878291,0.335534399593805,0.335534399593805,0.265647140923676,0.265647140923676,0.13496866106047,0.0118035845792608,-0.366301250773719,-0.335534399593805,-0.3640049878291,-0.3640049878291,-0.3640049878291
"CD24",0.3640049878291,0.3640049878291,0.3640049878291,0.335534399593805,0.335534399593805,0.265647140923676,0.265647140923676,0.13496866106047,0.0118035845792608,-0.366301250773719,-0.335534399593805,-0.3640049878291,-0.3640049878291,-0.3640049878291
"MIR200",0.344747700668347,0.344747700668347,0.344747700668347,0.321000782015923,0.321000782015923,0.332192069027948,0.332192069027948,0.0241378950770197,-0.182149235452842,-0.347215679424985,-0.321000782015923,-0.344747700668347,-0.344747700668347,-0.344747700668347
"GRHL2",0.136462225395868,0.136462225395868,0.136462225395868,0.116254072750594,0.116254072750594,0.0878719833351455,0.0878719833351455,0.0906404550730397,0.00747612710150578,-0.130242752911335,-0.216254072750594,-0.136462225395868,-0.136462225395868,-0.136462225395868
"MIR190",-0.193528606113956,-0.193528606113956,-0.193528606113956,-0.18072206660442,-0.18072206660442,-0.154856472075489,-0.154856472075489,-0.00590562337934727,0.167107605233454,0.196385748971099,0.18072206660442,0.193528606113956,0.193528606113956,0.193528606113956
"TGFB",-0.196385748971099,-0.196385748971099,-0.196385748971099,-0.193528606113956,-0.193528606113956,-0.156812143522686,-0.156812143522686,-0.00807071133604551,0.065621405658082,0.203330720508101,0.193528606113956,0.196385748971099,0.196385748971099,0.196385748971099
"MIR34",-0.196385748971099,-0.196385748971099,-0.196385748971099,-0.193528606113956,-0.193528606113956,-0.156812143522686,-0.156812143522686,-0.00807071133604551,0.065621405658082,0.203330720508101,0.193528606113956,0.196385748971099,0.196385748971099,0.196385748971099
"SNAIL1",-0.203330720508101,-0.203330720508101,-0.203330720508101,-0.196385748971099,-0.196385748971099,-0.160483429688501,-0.160483429688501,-0.108374201472616,0.0657009601529109,0.20515972944047,0.196385748971099,0.203330720508101,0.203330720508101,0.203330720508101
"ZEB1",-0.366301250773719,-0.366301250773719,-0.366301250773719,-0.3640049878291,-0.3640049878291,-0.267836081015842,-0.267836081015842,-0.141188756754249,-0.0142538850878137,0.28205751841443,0.3640049878291,0.366301250773719,0.366301250773719,0.366301250773719
"HAS2",-0.335534399593805,-0.335534399593805,-0.335534399593805,-0.432564102564103,-0.332564102564103,-0.251252624548962,-0.251252624548962,-0.136967062339446,-0.0125728153484915,0.3640049878291,0.332564102564103,0.335534399593805,0.335534399593805,0.335534399593805
"ESRP1",-0.335534399593805,-0.335534399593805,-0.335534399593805,-0.332564102564103,-0.432564102564103,-0.251252624548962,-0.251252624548962,-0.136967062339446,-0.0125728153484915,0.3640049878291,0.332564102564103,0.335534399593805,0.335534399593805,0.335534399593805
"MIR1199",-0.3640049878291,-0.3640049878291,-0.3640049878291,-0.335534399593805,-0.335534399593805,-0.265647140923676,-0.265647140923676,-0.13496866106047,-0.0118035845792608,0.366301250773719,0.335534399593805,0.3640049878291,0.3640049878291,0.3640049878291
