"","MIR34","GRHL2","CD44s","TGFB","ZEB1","MIR200","HA","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","SNAIL1"
"TGFB",0.420462813497201,0.249901075779994,0.249288830882035,-0.0483967090174472,-0.251684756994415,0.158799411583985,-0.249288830882035,-0.249288830882035,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.540264345007163
"MIR34",0.420462813497201,0.249901075779994,0.249288830882035,-0.0483967090174472,-0.251684756994415,0.158799411583985,-0.249288830882035,-0.249288830882035,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.249901075779994,-0.540264345007163
"MIR340",0.175595284120136,0.0982961356126855,0.0917079003185678,0.0413739573059603,-0.103113785320025,-0.0110373088143662,-0.0917079003185678,-0.0917079003185678,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.260801629047548
"MIR1199",0.175595284120136,0.0982961356126855,0.0917079003185678,0.0413739573059603,-0.103113785320025,-0.0110373088143662,-0.0917079003185678,-0.0917079003185678,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.260801629047548
"HA",0.175595284120136,0.0982961356126855,0.0917079003185678,0.0413739573059603,-0.103113785320025,-0.0110373088143662,-0.0917079003185678,-0.0917079003185678,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.260801629047548
"CD44s",0.175595284120136,0.0982961356126855,0.0917079003185678,0.0413739573059603,-0.103113785320025,-0.0110373088143662,-0.0917079003185678,-0.0917079003185678,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.260801629047548
"CD24",0.175595284120136,0.0982961356126855,0.0917079003185678,0.0413739573059603,-0.103113785320025,-0.0110373088143662,-0.0917079003185678,-0.0917079003185678,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.0982961356126855,-0.260801629047548
"HAS2",0.168664591050829,0.0917079003185678,0.0966583953680728,0.0488098547418578,-0.0982961356126855,-0.00943791810606462,0.00334160463192721,-0.0966583953680728,-0.0917079003185678,-0.0917079003185678,-0.0917079003185678,-0.0917079003185678,-0.0917079003185678,-0.25976246038248
"MIR200",-0.0507611185066628,0.0275300406690596,0.0246541162647868,0.0427449416801516,-0.0306853046490658,-0.156353263576361,-0.0246541162647868,-0.0246541162647868,-0.0275300406690596,-0.0275300406690596,-0.0275300406690596,-0.0275300406690596,-0.0275300406690596,0.118015886628557
"GRHL2",0.0318062201288425,-0.000321360451864592,-0.00647920954119677,-0.0307145606667116,-0.00133933638955514,0.044124647204448,0.00647920954119677,-0.0935207904588032,0.000321360451864592,0.000321360451864592,0.000321360451864592,0.000321360451864592,0.000321360451864592,-0.151381181255281
"ZEB1",-0.179051505318292,-0.103113785320025,-0.0982961356126855,-0.0449338278561221,0.00230023725427656,0.0137446820862556,0.0982961356126855,0.0982961356126855,0.103113785320025,0.103113785320025,0.103113785320025,0.103113785320025,0.103113785320025,0.262177227133672
"ESRP1",-0.168664591050829,-0.0917079003185678,-0.196658395368073,-0.0488098547418578,0.0982961356126855,0.00943791810606462,0.0966583953680728,0.0966583953680728,0.0917079003185678,0.0917079003185678,0.0917079003185678,0.0917079003185678,0.0917079003185678,0.25976246038248
"MIR190",-0.415117311541529,-0.249288830882035,-0.243566760037348,-0.0507540340823405,0.249901075779994,-0.154236178207193,0.243566760037348,0.243566760037348,0.249288830882035,0.249288830882035,0.249288830882035,0.249288830882035,0.249288830882035,0.529980177212846
"SNAIL1",-0.425301131026984,-0.251684756994415,-0.249901075779994,0.0509424528519738,0.254449537938694,-0.161352292692665,0.249901075779994,0.249901075779994,0.251684756994415,0.251684756994415,0.251684756994415,0.251684756994415,0.251684756994415,0.446384729428003
