"","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","ZEB1","SNAIL1","TGFB","HA","CD44s","CD24","ESRP1","MIR34"
"MIR340",0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.0921969701574321,-0.111552172506037,-0.0259397386919753,-0.0966955734616979,-0.110621166334996,-0.110621166334996,-0.110621166334996,-0.111327048687937,-0.123618960205591
"MIR1199",0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.0921969701574321,-0.111552172506037,-0.0259397386919753,-0.0966955734616979,-0.110621166334996,-0.110621166334996,-0.110621166334996,-0.111327048687937,-0.123618960205591
"CD44s",0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.111327048687937,0.0921969701574321,-0.111552172506037,-0.0259397386919753,-0.0966955734616979,-0.110621166334996,-0.110621166334996,-0.110621166334996,-0.111327048687937,-0.123618960205591
"HAS2",0.110621166334996,0.110621166334996,0.110621166334996,0.110621166334996,0.110621166334996,0.0916638399213316,-0.111327048687937,-0.0253801863338618,-0.0979776247437492,-0.210951199338296,-0.110951199338296,-0.110951199338296,-0.110621166334996,-0.123238152894091
"ESRP1",0.110621166334996,0.110621166334996,0.110621166334996,0.110621166334996,0.110621166334996,0.0916638399213316,-0.111327048687937,-0.0253801863338618,-0.0979776247437492,-0.110951199338296,-0.0109511993382961,-0.110951199338296,-0.110621166334996,-0.123238152894091
"SNAIL1",0.0911883572488892,0.0911883572488892,0.0911883572488892,0.0911883572488892,0.0911883572488892,-0.00645827606687317,-0.0912876057956069,-0.0963815103722086,0.0075889132698611,-0.0907708999433864,-0.0907708999433864,-0.0907708999433864,-0.0911883572488892,-0.096668598994276
"MIR34",0.0907708999433864,0.0907708999433864,0.0907708999433864,0.0907708999433864,0.0907708999433864,-0.00672572075444914,-0.0911883572488892,0.00407372483264728,0.00695247731122943,-0.0909749815760394,-0.0909749815760394,-0.0909749815760394,-0.0907708999433864,-0.0964011543067
"MIR190",0.0909749815760394,0.0909749815760394,0.0909749815760394,0.0909749815760394,0.0909749815760394,-0.0058130740790906,-0.0907708999433864,0.00407372483264728,-0.0938967795889829,-0.0923373793962029,-0.0923373793962029,-0.0923373793962029,-0.0909749815760394,-0.0957492638243011
"GRHL2",-0.00563923120106759,-0.00563923120106759,-0.00563923120106759,-0.00563923120106759,-0.00563923120106759,-0.00275779402218118,0.0056066685179025,0.0397744022901454,0.00214735822503537,0.00503211931902076,0.00503211931902076,-0.0949678806809792,0.00563923120106759,0.00515630293289309
"ZEB1",-0.111552172506037,-0.111552172506037,-0.111552172506037,-0.111552172506037,-0.111552172506037,-0.0925425922772478,0.0114027453102873,0.026178973141736,0.0972965905675694,0.111327048687937,0.111327048687937,0.111327048687937,0.111552172506037,0.123561356518955
"MIR200",-0.0904555951699429,-0.0904555951699429,-0.0904555951699429,-0.0904555951699429,-0.0904555951699429,-0.170973694827334,0.0906742768319236,0.0564344618160417,0.0767738236061905,0.0895517332143143,0.0895517332143143,0.0895517332143143,0.0904555951699429,0.0144604539881947
"TGFB",-0.0907708999433864,-0.0907708999433864,-0.0907708999433864,-0.0907708999433864,-0.0907708999433864,0.00672572075444914,0.0911883572488892,-0.00407372483264728,-0.00695247731122943,0.0909749815760394,0.0909749815760394,0.0909749815760394,0.0907708999433864,0.0964011543067
"HA",-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.0921969701574321,0.111552172506037,0.0259397386919753,0.0966955734616979,0.110621166334996,0.110621166334996,0.110621166334996,0.111327048687937,0.123618960205591
"CD24",-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.111327048687937,-0.0921969701574321,0.111552172506037,0.0259397386919753,0.0966955734616979,0.110621166334996,0.110621166334996,0.110621166334996,0.111327048687937,0.123618960205591
