"","MIR200","TGFB","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","ZEB1","SNAIL1","HA","CD24"
"MIR200",0.215454876601238,0.316415472879361,0.117838202812969,0.118249049156436,0.118249049156436,0.118249049156436,0.118249049156436,0.118249049156436,0.118249049156436,-0.000249456034970815,-0.115968511824352,-0.118685404753226,-0.117838202812969,-0.117838202812969
"HAS2",0.124245451182188,0.109564626786113,0.0972456575682382,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.0707010969053145,-0.111528709402833,-0.0977066169681795,-0.197245657568238,-0.0972456575682382
"ESRP1",0.124245451182188,0.109564626786113,0.197245657568238,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.110116944696951,0.0707010969053145,-0.111528709402833,-0.0977066169681795,-0.0972456575682382,-0.0972456575682382
"CD44s",0.123255352172287,0.117513344734831,0.110116944696951,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.0735190710104173,-0.105630465368615,-0.103222204498156,-0.110116944696951,-0.110116944696951
"CD24",0.123255352172287,0.117513344734831,0.110116944696951,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.111528709402833,0.0735190710104173,-0.105630465368615,-0.103222204498156,-0.110116944696951,-0.110116944696951
"MIR190",0.106219212304543,0.229883227540067,0.0804979769685652,0.0785906200203363,0.0785906200203363,0.0785906200203363,0.0785906200203363,0.0785906200203363,0.0785906200203363,-0.0305912280965782,-0.0845089873672751,-0.0393363218374643,-0.0804979769685652,-0.0804979769685652
"TGFB",0.1084356399447,0.12945859908996,0.0785906200203363,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,-0.0252457261409068,-0.0838638260769525,-0.0379831418645279,-0.0785906200203363,-0.0785906200203363
"MIR34",0.1084356399447,0.12945859908996,0.0785906200203363,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,0.0845089873672751,-0.0252457261409068,-0.0838638260769525,-0.0379831418645279,-0.0785906200203363,-0.0785906200203363
"ZEB1",-0.121469637886573,-0.117467112649764,-0.111528709402833,-0.105630465368615,-0.105630465368615,-0.105630465368615,-0.105630465368615,-0.105630465368615,-0.105630465368615,-0.0677587023468228,0.00661004365186217,0.104119333684758,0.111528709402833,0.111528709402833
"SNAIL1",-0.107536053268308,-0.133118105852093,-0.0845089873672751,-0.0838638260769525,-0.0838638260769525,-0.0838638260769525,-0.0838638260769525,-0.0838638260769525,-0.0838638260769525,0.0251727866806588,0.0814960393195443,-0.0595383553534792,0.0845089873672751,0.0845089873672751
"MIR340",-0.123255352172287,-0.117513344734831,-0.110116944696951,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.0735190710104173,0.105630465368615,0.103222204498156,0.110116944696951,0.110116944696951
"MIR1199",-0.123255352172287,-0.117513344734831,-0.110116944696951,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.0735190710104173,0.105630465368615,0.103222204498156,0.110116944696951,0.110116944696951
"HA",-0.123255352172287,-0.117513344734831,-0.110116944696951,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.111528709402833,-0.0735190710104173,0.105630465368615,0.103222204498156,0.110116944696951,0.110116944696951
"GRHL2",-0.207230992507078,-0.191504311821204,-0.171688336999509,-0.176111580711564,-0.176111580711564,-0.176111580711564,-0.176111580711564,-0.176111580711564,-0.176111580711564,-0.14892074075663,0.172236621414918,0.128583503046425,0.171688336999509,0.071688336999509
