"","MIR34","MIR200","TGFB","HA","CD44s","CD24","MIR340","MIR190","MIR1199","GRHL2","ESRP1","ZEB1","HAS2","SNAIL1"
"SNAIL1",-0.0423290032597647,-0.0423290032597647,0.0461935762310912,0.320085148197941,0.320085148197941,0.320085148197941,0.317162947059421,0.317162947059421,0.317162947059421,0.317162947059421,0.317162947059421,-0.314511593025677,-0.317162947059421,0.217421710827706
"ESRP1",0.196181507480065,0.196181507480065,0.162814116195051,0.105599669148056,0.205599669148056,0.105599669148056,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0927283820193434,-0.0863754408428728,-0.0927283820193434,-0.332381833098672
"MIR340",0.193668179224162,0.193668179224162,0.154865398246333,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,-0.0836289302620533,-0.0863754408428728,-0.332301897047513
"MIR1199",0.193668179224162,0.193668179224162,0.154865398246333,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,-0.0836289302620533,-0.0863754408428728,-0.332301897047513
"HA",0.193668179224162,0.193668179224162,0.154865398246333,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,-0.0836289302620533,-0.0863754408428728,-0.332301897047513
"CD44s",0.193668179224162,0.193668179224162,0.154865398246333,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,-0.0836289302620533,-0.0863754408428728,-0.332301897047513
"CD24",0.193668179224162,0.193668179224162,0.154865398246333,0.0927283820193434,0.0927283820193434,0.0927283820193434,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,0.0863754408428728,-0.0836289302620533,-0.0863754408428728,-0.332301897047513
"ZEB1",-0.191882464938448,-0.191882464938448,-0.1508432068455,-0.0863754408428728,-0.0863754408428728,-0.0863754408428728,-0.0836289302620533,-0.0836289302620533,-0.0836289302620533,-0.0836289302620533,-0.0836289302620533,-0.018645683717691,0.0836289302620533,0.329431083650384
"GRHL2",-0.0393663860180115,-0.0393663860180115,-0.0179031782774267,0.0129581958568197,0.0129581958568197,0.11295819585682,0.0142591498897772,0.0142591498897772,0.0142591498897772,0.0142591498897772,0.0142591498897772,-0.0144870886719329,-0.0142591498897772,0.184966327272615
"HAS2",-0.196181507480065,-0.196181507480065,-0.162814116195051,-0.205599669148056,-0.105599669148056,-0.105599669148056,-0.0927283820193434,-0.0927283820193434,-0.0927283820193434,-0.0927283820193434,-0.0927283820193434,0.0863754408428728,0.0927283820193434,0.332381833098672
"MIR200",-0.077293669888513,-0.077293669888513,0.0227719466572818,-0.180038940578234,-0.180038940578234,-0.180038940578234,-0.176834339099187,-0.176834339099187,-0.176834339099187,-0.176834339099187,-0.176834339099187,0.174616282241955,0.176834339099187,-0.00957263130288077
"TGFB",0.0442497423796285,0.0442497423796285,-0.0439660503758804,-0.321105556361206,-0.321105556361206,-0.321105556361206,-0.320085148197941,-0.320085148197941,-0.320085148197941,-0.320085148197941,-0.320085148197941,0.317162947059421,0.320085148197941,-0.324654892415971
"MIR34",0.0442497423796285,0.0442497423796285,-0.0439660503758804,-0.321105556361206,-0.321105556361206,-0.321105556361206,-0.320085148197941,-0.320085148197941,-0.320085148197941,-0.320085148197941,-0.320085148197941,0.317162947059421,0.320085148197941,-0.324654892415971
"MIR190",0.0485522195634616,0.0485522195634616,0.0628280048258181,-0.317018362900716,-0.317018362900716,-0.317018362900716,-0.321105556361206,-0.321105556361206,-0.321105556361206,-0.321105556361206,-0.321105556361206,0.320085148197941,0.321105556361206,-0.335209696204875
