"","SNAIL1","MIR200","CD44s","CD24","MIR1199","HAS2","GRHL2","ESRP1","TGFB","ZEB1","MIR340","MIR190","HA","MIR34"
"GRHL2",0.242889126513636,0.287336986327038,0.232017722974141,0.332017722974141,0.230890229478911,0.230890229478911,0.230890229478911,0.230890229478911,-0.0374526271765937,-0.230206413132444,-0.230890229478911,-0.230890229478911,-0.232017722974141,-0.287336986327038
"TGFB",-0.488956910567068,-0.189191207035003,0.152207627222854,0.152207627222854,0.154452525182038,0.154452525182038,0.154452525182038,0.154452525182038,0.209802291346719,-0.155932601083366,-0.154452525182038,-0.154452525182038,-0.152207627222854,0.189191207035003
"MIR34",-0.488956910567068,-0.189191207035003,0.152207627222854,0.152207627222854,0.154452525182038,0.154452525182038,0.154452525182038,0.154452525182038,0.209802291346719,-0.155932601083366,-0.154452525182038,-0.154452525182038,-0.152207627222854,0.189191207035003
"HAS2",0.213941879723514,0.186544227753995,0.149048800661704,0.149048800661704,0.148058701651803,0.148058701651803,0.148058701651803,0.148058701651803,-0.0331449304851045,-0.146882231063568,-0.148058701651803,-0.148058701651803,-0.249048800661704,-0.186544227753995
"ESRP1",0.213941879723514,0.186544227753995,0.249048800661704,0.149048800661704,0.148058701651803,0.148058701651803,0.148058701651803,0.148058701651803,-0.0331449304851045,-0.146882231063568,-0.148058701651803,-0.148058701651803,-0.149048800661704,-0.186544227753995
"MIR340",0.218338362537263,0.188295941386896,0.148058701651803,0.148058701651803,0.146882231063568,0.146882231063568,0.146882231063568,0.146882231063568,-0.0351962125363865,-0.146386958663748,-0.146882231063568,-0.146882231063568,-0.148058701651803,-0.188295941386896
"CD44s",0.218338362537263,0.188295941386896,0.148058701651803,0.148058701651803,0.146882231063568,0.146882231063568,0.146882231063568,0.146882231063568,-0.0351962125363865,-0.146386958663748,-0.146882231063568,-0.146882231063568,-0.148058701651803,-0.188295941386896
"CD24",0.218338362537263,0.188295941386896,0.148058701651803,0.148058701651803,0.146882231063568,0.146882231063568,0.146882231063568,0.146882231063568,-0.0351962125363865,-0.146386958663748,-0.146882231063568,-0.146882231063568,-0.148058701651803,-0.188295941386896
"MIR200",0.379164420706576,0.288823480634843,0.0980031662108086,0.0980031662108086,0.0957845959560839,0.0957845959560839,0.0957845959560839,0.0957845959560839,-0.256811143846214,-0.0947536681210323,-0.0957845959560839,-0.0957845959560839,-0.0980031662108086,-0.288823480634843
"ZEB1",-0.221149367321952,-0.189563222492887,-0.146882231063568,-0.146882231063568,-0.146386958663748,-0.146386958663748,-0.146386958663748,-0.146386958663748,0.0367218713435987,0.045872264989499,0.146386958663748,0.146386958663748,0.146882231063568,0.189563222492887
"MIR1199",-0.218338362537263,-0.188295941386896,-0.148058701651803,-0.148058701651803,-0.146882231063568,-0.146882231063568,-0.146882231063568,-0.146882231063568,0.0351962125363865,0.146386958663748,0.146882231063568,0.146882231063568,0.148058701651803,0.188295941386896
"HA",-0.218338362537263,-0.188295941386896,-0.148058701651803,-0.148058701651803,-0.146882231063568,-0.146882231063568,-0.146882231063568,-0.146882231063568,0.0351962125363865,0.146386958663748,0.146882231063568,0.146882231063568,0.148058701651803,0.188295941386896
"MIR190",0.484085462664497,0.187626669877246,-0.147575474634298,-0.147575474634298,-0.152207627222854,-0.152207627222854,-0.152207627222854,-0.152207627222854,-0.306829892195976,0.154452525182038,0.152207627222854,0.152207627222854,0.147575474634298,-0.187626669877246
"SNAIL1",0.39209297531163,0.189993541097731,-0.154452525182038,-0.154452525182038,-0.155932601083366,-0.155932601083366,-0.155932601083366,-0.155932601083366,-0.211632044727785,0.157024335097261,0.155932601083366,0.155932601083366,0.154452525182038,-0.189993541097731
