"","MIR340","MIR190","MIR1199","GRHL2","SNAIL1","HA","CD44s","TGFB","MIR200","ZEB1","CD24","HAS2","ESRP1","MIR34"
"SNAIL1",0.530696093424723,0.530696093424723,0.530696093424723,0.530696093424723,0.680111788482316,0.50477578981941,0.50477578981941,-0.265534078285873,0.0685844018879601,-0.552289741517733,-0.50477578981941,-0.530696093424723,-0.530696093424723,-0.676353386684466
"MIR190",0.473551300023491,0.473551300023491,0.473551300023491,0.473551300023491,0.713936359684429,0.436221599751012,0.436221599751012,-0.344522570753531,0.0765095389307769,-0.50477578981941,-0.436221599751012,-0.473551300023491,-0.473551300023491,-0.611171058638213
"GRHL2",0.41934055232019,0.41934055232019,0.41934055232019,0.41934055232019,0.329087464697762,0.403815834193564,0.403815834193564,-0.0497144183819136,-0.260091017640456,-0.432267937536732,-0.503815834193563,-0.41934055232019,-0.41934055232019,-0.44365016246458
"MIR200",0.38597419627995,0.38597419627995,0.38597419627995,0.38597419627995,0.514524672971446,0.364528017150944,0.364528017150944,-0.277061870610158,-0.0449205583084844,-0.404062293749491,-0.364528017150944,-0.38597419627995,-0.38597419627995,-0.518758439282337
"MIR340",0.311912920616248,0.311912920616248,0.311912920616248,0.311912920616248,0.308348193185761,0.29732468532213,0.29732468532213,-0.0478724309337133,-0.15486784098151,-0.324204681084505,-0.29732468532213,-0.311912920616248,-0.311912920616248,-0.329809119866262
"MIR1199",0.311912920616248,0.311912920616248,0.311912920616248,0.311912920616248,0.308348193185761,0.29732468532213,0.29732468532213,-0.0478724309337133,-0.15486784098151,-0.324204681084505,-0.29732468532213,-0.311912920616248,-0.311912920616248,-0.329809119866262
"CD44s",0.311912920616248,0.311912920616248,0.311912920616248,0.311912920616248,0.308348193185761,0.29732468532213,0.29732468532213,-0.0478724309337133,-0.15486784098151,-0.324204681084505,-0.29732468532213,-0.311912920616248,-0.311912920616248,-0.329809119866262
"HAS2",0.29732468532213,0.29732468532213,0.29732468532213,0.29732468532213,0.291481686391197,0.179172870140612,0.279172870140612,-0.0424878155490979,-0.152659158574808,-0.311912920616248,-0.279172870140612,-0.29732468532213,-0.29732468532213,-0.313129759622545
"ZEB1",-0.324204681084505,-0.324204681084505,-0.324204681084505,-0.324204681084505,-0.322463025721647,-0.311912920616248,-0.311912920616248,0.0522644790150818,0.156653555267224,0.23431592133023,0.311912920616248,0.324204681084505,0.324204681084505,0.343749212032161
"ESRP1",-0.29732468532213,-0.29732468532213,-0.29732468532213,-0.29732468532213,-0.291481686391197,-0.279172870140612,-0.379172870140612,0.0424878155490979,0.152659158574808,0.311912920616248,0.279172870140612,0.29732468532213,0.29732468532213,0.313129759622545
"HA",-0.311912920616248,-0.311912920616248,-0.311912920616248,-0.311912920616248,-0.308348193185761,-0.29732468532213,-0.29732468532213,0.0478724309337133,0.15486784098151,0.324204681084505,0.29732468532213,0.311912920616248,0.311912920616248,0.329809119866262
"CD24",-0.311912920616248,-0.311912920616248,-0.311912920616248,-0.311912920616248,-0.308348193185761,-0.29732468532213,-0.29732468532213,0.0478724309337133,0.15486784098151,0.324204681084505,0.29732468532213,0.311912920616248,0.311912920616248,0.329809119866262
"TGFB",-0.50477578981941,-0.50477578981941,-0.50477578981941,-0.50477578981941,-0.750066264961831,-0.473551300023491,-0.473551300023491,0.255987538906398,-0.0722070617469438,0.530696093424723,0.473551300023491,0.50477578981941,0.50477578981941,0.646764278977196
"MIR34",-0.50477578981941,-0.50477578981941,-0.50477578981941,-0.50477578981941,-0.750066264961831,-0.473551300023491,-0.473551300023491,0.255987538906398,-0.0722070617469438,0.530696093424723,0.473551300023491,0.50477578981941,0.50477578981941,0.646764278977196
