"","SNAIL1","ZEB1","MIR340","MIR190","HAS2","CD44s","MIR200","TGFB","HA","CD24","MIR1199","GRHL2","ESRP1","MIR34"
"ZEB1",-0.0987263701800742,-0.0662457112325424,-0.0323098258752113,-0.0323098258752113,-0.0323098258752113,-0.0292931667126719,-0.0291974700624225,0.0282543615738106,0.0292931667126719,0.0292931667126719,0.0323098258752113,0.0323098258752113,0.0323098258752113,0.0769306264144924
"MIR340",0.100221585491079,-0.0323098258752113,0.0292931667126719,0.0292931667126719,0.0292931667126719,0.0309402255362013,0.0264900967905331,-0.0297800203810228,-0.0309402255362013,-0.0309402255362013,-0.0292931667126719,-0.0292931667126719,-0.0292931667126719,-0.0757785526817735
"MIR1199",0.100221585491079,-0.0323098258752113,0.0292931667126719,0.0292931667126719,0.0292931667126719,0.0309402255362013,0.0264900967905331,-0.0297800203810228,-0.0309402255362013,-0.0309402255362013,-0.0292931667126719,-0.0292931667126719,-0.0292931667126719,-0.0757785526817735
"HA",0.100221585491079,-0.0323098258752113,0.0292931667126719,0.0292931667126719,0.0292931667126719,0.0309402255362013,0.0264900967905331,-0.0297800203810228,-0.0309402255362013,-0.0309402255362013,-0.0292931667126719,-0.0292931667126719,-0.0292931667126719,-0.0757785526817735
"ESRP1",0.102379858872374,-0.0292931667126719,0.0309402255362013,0.0309402255362013,0.0309402255362013,-0.0601488833746898,0.0279371645742345,-0.0384979690989716,-0.0398511166253102,-0.0398511166253102,-0.0309402255362013,-0.0309402255362013,-0.0309402255362013,-0.0764640058424742
"TGFB",-0.0399097724394822,-0.00995813961419048,0.00582151722329864,0.00582151722329864,0.00582151722329864,0.0125562111008497,0.0824719360331406,-0.0931922918476618,-0.0125562111008497,-0.0125562111008497,-0.00582151722329864,-0.00582151722329864,-0.00582151722329864,0.0752146142007275
"MIR34",-0.0399097724394822,-0.00995813961419048,0.00582151722329864,0.00582151722329864,0.00582151722329864,0.0125562111008497,0.0824719360331406,-0.0931922918476618,-0.0125562111008497,-0.0125562111008497,-0.00582151722329864,-0.00582151722329864,-0.00582151722329864,0.0752146142007275
"MIR190",0.0499233042392116,0.00582151722329864,-0.0125562111008497,-0.0125562111008497,-0.0125562111008497,-0.00792405851229381,-0.0816896674542618,-0.00489688012686052,0.00792405851229381,0.00792405851229381,0.0125562111008497,0.0125562111008497,0.0125562111008497,-0.0658273912541825
"SNAIL1",-0.0522500656991116,0.00838434123052396,-0.00995813961419048,-0.00995813961419048,-0.00995813961419048,-0.00582151722329864,-0.0815237230499166,0.0910443204872799,0.00582151722329864,0.00582151722329864,0.00995813961419048,0.00995813961419048,0.00995813961419048,-0.068966133772816
"GRHL2",0.0744297805604824,0.0261222298817373,-0.0287598072181098,-0.0287598072181098,-0.0287598072181098,-0.0298873007133396,-0.0379860430610649,0.035045762687205,0.0298873007133396,0.12988730071334,0.0287598072181098,0.0287598072181098,0.0287598072181098,0.0126144285411028
"HAS2",-0.102379858872374,0.0292931667126719,-0.0309402255362013,-0.0309402255362013,-0.0309402255362013,-0.0398511166253102,-0.0279371645742345,0.0384979690989716,-0.0601488833746898,0.0398511166253102,0.0309402255362013,0.0309402255362013,0.0309402255362013,0.0764640058424742
"CD44s",-0.100221585491079,0.0323098258752113,-0.0292931667126719,-0.0292931667126719,-0.0292931667126719,-0.0309402255362013,-0.0264900967905331,0.0297800203810228,0.0309402255362013,0.0309402255362013,0.0292931667126719,0.0292931667126719,0.0292931667126719,0.0757785526817735
"CD24",-0.100221585491079,0.0323098258752113,-0.0292931667126719,-0.0292931667126719,-0.0292931667126719,-0.0309402255362013,-0.0264900967905331,0.0297800203810228,0.0309402255362013,0.0309402255362013,0.0292931667126719,0.0292931667126719,0.0292931667126719,0.0757785526817735
"MIR200",0.0187386461643184,0.0369119667714525,-0.0368807265340267,-0.0368807265340267,-0.0368807265340267,-0.0366342187279462,-0.14488961234983,0.0457988368405349,0.0366342187279462,0.0366342187279462,0.0368807265340267,0.0368807265340267,0.0368807265340267,-0.0149788349790258
