"","HA","CD44s","MIR190","HAS2","GRHL2","ESRP1","MIR34","TGFB","MIR200","SNAIL1","ZEB1","MIR340","MIR1199","CD24"
"HAS2",0.244433416046319,0.144433416046319,0.139482920996814,0.139482920996814,0.139482920996814,0.139482920996814,0.133726018709371,0.117859009042572,0.106568154992128,0.0252887749275624,-0.143247626879167,-0.139482920996814,-0.139482920996814,-0.144433416046319
"ESRP1",0.144433416046319,0.244433416046319,0.139482920996814,0.139482920996814,0.139482920996814,0.139482920996814,0.133726018709371,0.117859009042572,0.106568154992128,0.0252887749275624,-0.143247626879167,-0.139482920996814,-0.139482920996814,-0.144433416046319
"MIR1199",0.139482920996814,0.139482920996814,0.143247626879167,0.143247626879167,0.143247626879167,0.143247626879167,0.137610253286674,0.116320547504111,0.107558254002029,0.0245693504671308,-0.141671760152468,-0.143247626879167,-0.143247626879167,-0.139482920996814
"HA",0.139482920996814,0.139482920996814,0.143247626879167,0.143247626879167,0.143247626879167,0.143247626879167,0.137610253286674,0.116320547504111,0.107558254002029,0.0245693504671308,-0.141671760152468,-0.143247626879167,-0.143247626879167,-0.139482920996814
"CD44s",0.139482920996814,0.139482920996814,0.143247626879167,0.143247626879167,0.143247626879167,0.143247626879167,0.137610253286674,0.116320547504111,0.107558254002029,0.0245693504671308,-0.141671760152468,-0.143247626879167,-0.143247626879167,-0.139482920996814
"CD24",0.139482920996814,0.139482920996814,0.143247626879167,0.143247626879167,0.143247626879167,0.143247626879167,0.137610253286674,0.116320547504111,0.107558254002029,0.0245693504671308,-0.141671760152468,-0.143247626879167,-0.143247626879167,-0.139482920996814
"MIR34",0.0183036896260169,0.0183036896260169,0.0170791998300986,0.0170791998300986,0.0170791998300986,0.0170791998300986,-0.043279912827761,0.0805308501816508,0.0627548708064781,0.00454480729289194,-0.019242387685886,-0.0170791998300986,-0.0170791998300986,-0.0183036896260169
"SNAIL1",0.0170791998300986,0.0170791998300986,0.019242387685886,0.019242387685886,0.019242387685886,0.019242387685886,-0.0405325264917532,0.0809286226557955,0.0627791839598941,-0.0943929772291111,-0.0178103729403877,-0.019242387685886,-0.019242387685886,-0.0170791998300986
"GRHL2",0.00943248185358724,0.00943248185358724,0.0135088044901874,0.0135088044901874,0.0135088044901874,0.0135088044901874,0.00972776986760967,0.00648886837225944,0.006830983680563,0.0389782256916303,-0.0113271047181262,-0.0135088044901874,-0.0135088044901874,-0.109432481853587
"MIR190",-0.0213009648303766,-0.0213009648303766,-0.0183036896260169,-0.0183036896260169,-0.0183036896260169,-0.0183036896260169,0.0402812166087258,0.0160721222175,-0.0613207117452004,-0.00833371121711386,0.0170791998300986,0.0183036896260169,0.0183036896260169,0.0213009648303766
"TGFB",-0.0183036896260169,-0.0183036896260169,-0.0170791998300986,-0.0170791998300986,-0.0170791998300986,-0.0170791998300986,0.043279912827761,-0.0805308501816508,-0.0627548708064781,-0.00454480729289194,0.019242387685886,0.0170791998300986,0.0170791998300986,0.0183036896260169
"ZEB1",-0.143247626879167,-0.143247626879167,-0.141671760152468,-0.141671760152468,-0.141671760152468,-0.141671760152468,-0.136861405360407,-0.118400991332128,-0.106290972896039,-0.0267224605149777,0.0415887450437178,0.141671760152468,0.141671760152468,0.143247626879167
"MIR200",-0.117855826781566,-0.117855826781566,-0.119581381424129,-0.119581381424129,-0.119581381424129,-0.119581381424129,-0.0352208616802517,-0.100856091558716,-0.191318692118484,-0.0586475725757622,0.118113090265117,0.119581381424129,0.119581381424129,0.117855826781566
"MIR340",-0.139482920996814,-0.139482920996814,-0.143247626879167,-0.143247626879167,-0.143247626879167,-0.143247626879167,-0.137610253286674,-0.116320547504111,-0.107558254002029,-0.0245693504671308,0.141671760152468,0.143247626879167,0.143247626879167,0.139482920996814
