"","MIR340","MIR190","MIR1199","HAS2","CD44s","CD24","MIR200","ZEB1","SNAIL1","TGFB","HA","GRHL2","ESRP1","MIR34"
"MIR340",0.0727507496918134,0.0727507496918134,0.0727507496918134,0.0727507496918134,0.0663978085153429,0.0663978085153429,0.059847324964961,-0.0736962697278332,-0.0208801623119681,-0.0577799903268033,-0.0663978085153429,-0.0727507496918134,-0.0727507496918134,-0.0930620860380973
"CD24",0.0727507496918134,0.0727507496918134,0.0727507496918134,0.0727507496918134,0.0663978085153429,0.0663978085153429,0.059847324964961,-0.0736962697278332,-0.0208801623119681,-0.0577799903268033,-0.0663978085153429,-0.0727507496918134,-0.0727507496918134,-0.0930620860380973
"HAS2",0.0663978085153429,0.0663978085153429,0.0663978085153429,0.0663978085153429,0.0680479735318445,0.0680479735318445,0.0564200591614576,-0.0727507496918134,-0.0163238073959009,-0.0616261441729571,-0.168047973531844,-0.0663978085153429,-0.0663978085153429,-0.0882639139131925
"ESRP1",0.0663978085153429,0.0663978085153429,0.0663978085153429,0.0663978085153429,-0.0319520264681555,0.0680479735318445,0.0564200591614576,-0.0727507496918134,-0.0163238073959009,-0.0616261441729571,-0.0680479735318445,-0.0663978085153429,-0.0663978085153429,-0.0882639139131925
"SNAIL1",0.0706354673753517,0.0706354673753517,0.0706354673753517,0.0706354673753517,0.0675614635802853,0.0675614635802853,-0.0188851898435596,-0.0710182831984057,-0.0959300908598216,0.0248393967242056,-0.0675614635802853,-0.0706354673753517,-0.0706354673753517,-0.085807149431721
"MIR34",0.0675614635802853,0.0675614635802853,0.0675614635802853,0.0675614635802853,0.0681737084782445,0.0681737084782445,-0.0205627974292635,-0.0706354673753517,0.00624492178560075,0.0231687523327975,-0.0681737084782445,-0.0675614635802853,-0.0675614635802853,-0.0835460261640332
"MIR190",0.0681737084782445,0.0681737084782445,0.0681737084782445,0.0681737084782445,0.0755306567071273,0.0755306567071273,-0.0182159916926272,-0.0675614635802853,0.00543301380183891,-0.0821391032935295,-0.0755306567071273,-0.0681737084782445,-0.0681737084782445,-0.0819814890062757
"ZEB1",-0.0736962697278332,-0.0736962697278332,-0.0736962697278332,-0.0736962697278332,-0.0727507496918134,-0.0727507496918134,-0.0620938687437629,-0.0289768167739101,0.0219567173358915,0.0623569667484399,0.0727507496918134,0.0736962697278332,0.0736962697278332,0.0920252196786503
"GRHL2",-0.0119694356388922,-0.0119694356388922,-0.0119694356388922,-0.0119694356388922,-0.0170865215018584,-0.117086521501858,-0.0162488894247257,0.0130440041833403,-0.0384472964180637,0.0202286548760162,0.0170865215018584,0.0119694356388922,0.0119694356388922,0.0118132325236855
"MIR200",-0.0649449956201498,-0.0649449956201498,-0.0649449956201498,-0.0649449956201498,-0.0582892848559756,-0.0582892848559756,-0.151279434883904,0.0657884820306465,0.0547313636870959,0.0505821278254465,0.0582892848559756,0.0649449956201498,0.0649449956201498,-0.00314854182402151
"TGFB",-0.0675614635802853,-0.0675614635802853,-0.0675614635802853,-0.0675614635802853,-0.0681737084782445,-0.0681737084782445,0.0205627974292635,0.0706354673753517,-0.00624492178560075,-0.0231687523327975,0.0681737084782445,0.0675614635802853,0.0675614635802853,0.0835460261640332
"MIR1199",-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0663978085153429,-0.0663978085153429,-0.059847324964961,0.0736962697278332,0.0208801623119681,0.0577799903268033,0.0663978085153429,0.0727507496918134,0.0727507496918134,0.0930620860380973
"HA",-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0663978085153429,-0.0663978085153429,-0.059847324964961,0.0736962697278332,0.0208801623119681,0.0577799903268033,0.0663978085153429,0.0727507496918134,0.0727507496918134,0.0930620860380973
"CD44s",-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0727507496918134,-0.0663978085153429,-0.0663978085153429,-0.059847324964961,0.0736962697278332,0.0208801623119681,0.0577799903268033,0.0663978085153429,0.0727507496918134,0.0727507496918134,0.0930620860380973
