"","SNAIL1","MIR34","HA","CD44s","CD24","MIR340","MIR190","MIR1199","GRHL2","MIR200","ZEB1","TGFB","HAS2","ESRP1"
"TGFB",-0.0777637114549645,0.13667194314,0.471764349699916,0.471764349699916,0.471764349699916,0.475233737455018,0.475233737455018,0.475233737455018,0.475233737455018,0.397176767383339,-0.474512674836422,-0.47175203020875,-0.475233737455018,-0.475233737455018
"GRHL2",0.516757083154556,0.504752425923227,0.406670004497792,0.406670004497792,0.506670004497792,0.399297931644366,0.399297931644366,0.399297931644366,0.399297931644366,0.189820847093944,-0.385654167398193,-0.286069127725142,-0.399297931644366,-0.399297931644366
"HAS2",0.484978236223861,0.360759809927401,0.159793217535153,0.259793217535153,0.259793217535153,0.23702094030743,0.23702094030743,0.23702094030743,0.23702094030743,0.057330847719305,-0.235138587366254,-0.155359725494017,-0.23702094030743,-0.23702094030743
"MIR340",0.492092544777018,0.366167273750707,0.23702094030743,0.23702094030743,0.23702094030743,0.235138587366254,0.235138587366254,0.235138587366254,0.235138587366254,0.0494862171023971,-0.216993607627397,-0.129718699852992,-0.235138587366254,-0.235138587366254
"MIR1199",0.492092544777018,0.366167273750707,0.23702094030743,0.23702094030743,0.23702094030743,0.235138587366254,0.235138587366254,0.235138587366254,0.235138587366254,0.0494862171023971,-0.216993607627397,-0.129718699852992,-0.235138587366254,-0.235138587366254
"CD44s",0.492092544777018,0.366167273750707,0.23702094030743,0.23702094030743,0.23702094030743,0.235138587366254,0.235138587366254,0.235138587366254,0.235138587366254,0.0494862171023971,-0.216993607627397,-0.129718699852992,-0.235138587366254,-0.235138587366254
"CD24",0.492092544777018,0.366167273750707,0.23702094030743,0.23702094030743,0.23702094030743,0.235138587366254,0.235138587366254,0.235138587366254,0.235138587366254,0.0494862171023971,-0.216993607627397,-0.129718699852992,-0.235138587366254,-0.235138587366254
"MIR200",0.432602842034181,0.31709914963789,0.0831943176052765,0.0831943176052765,0.0831943176052765,0.0760455912289413,0.0760455912289413,0.0760455912289413,0.0760455912289413,-0.129307742495452,-0.0623936074738647,-0.01716913655012,-0.0760455912289413,-0.0760455912289413
"ZEB1",-0.490896372528214,-0.357123494948864,-0.235138587366254,-0.235138587366254,-0.235138587366254,-0.216993607627397,-0.216993607627397,-0.216993607627397,-0.216993607627397,-0.0353157101899548,0.11186327390666,0.124217081730014,0.216993607627397,0.216993607627397
"HA",-0.492092544777018,-0.366167273750707,-0.23702094030743,-0.23702094030743,-0.23702094030743,-0.235138587366254,-0.235138587366254,-0.235138587366254,-0.235138587366254,-0.0494862171023971,0.216993607627397,0.129718699852992,0.235138587366254,0.235138587366254
"ESRP1",-0.484978236223861,-0.360759809927401,-0.259793217535153,-0.359793217535153,-0.259793217535153,-0.23702094030743,-0.23702094030743,-0.23702094030743,-0.23702094030743,-0.057330847719305,0.235138587366254,0.155359725494017,0.23702094030743,0.23702094030743
"SNAIL1",-0.0412044220806956,-0.147102285955463,-0.475233737455018,-0.475233737455018,-0.475233737455018,-0.474512674836422,-0.474512674836422,-0.474512674836422,-0.474512674836422,-0.385822524738068,0.467777952023435,0.465149007137947,0.474512674836422,0.474512674836422
"MIR34",0.0777637114549645,-0.13667194314,-0.471764349699916,-0.471764349699916,-0.471764349699916,-0.475233737455018,-0.475233737455018,-0.475233737455018,-0.475233737455018,-0.397176767383339,0.474512674836422,0.47175203020875,0.475233737455018,0.475233737455018
"MIR190",0.10807494284874,-0.119201278211708,-0.452418300653595,-0.452418300653595,-0.452418300653595,-0.471764349699916,-0.471764349699916,-0.471764349699916,-0.471764349699916,-0.410214577031318,0.475233737455018,0.368142688382848,0.471764349699916,0.471764349699916
