"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR200","CD44s","CD24","SNAIL1","TGFB","ZEB1","HA","MIR34","HAS2"
"SNAIL1",0.75945278524524,0.75945278524524,0.75945278524524,0.75945278524524,0.75945278524524,0.840412177845445,0.696568534770857,0.696568534770857,0.755435837204876,-0.27463113773278,-0.816038635238151,-0.696568534770857,-0.840412177845445,-0.75945278524524
"GRHL2",0.695579297467249,0.695579297467249,0.695579297467249,0.695579297467249,0.695579297467249,0.664120084635922,0.641546339965081,0.741546339965081,0.440991773028671,-0.0641622663181799,-0.741329867314205,-0.641546339965081,-0.664120084635922,-0.695579297467249
"MIR200",0.615879862669497,0.615879862669497,0.615879862669497,0.615879862669497,0.615879862669497,0.696721856251911,0.553513387731124,0.553513387731124,0.606033599340747,-0.288454998602667,-0.665083236615139,-0.553513387731124,-0.696721856251911,-0.615879862669497
"MIR340",0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.537738855540858,0.507173181337985,0.507173181337985,0.42595318546682,-0.0627343200376111,-0.605582165102585,-0.507173181337985,-0.537738855540858,-0.564114357808573
"MIR1199",0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.537738855540858,0.507173181337985,0.507173181337985,0.42595318546682,-0.0627343200376111,-0.605582165102585,-0.507173181337985,-0.537738855540858,-0.564114357808573
"CD24",0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.564114357808573,0.537738855540858,0.507173181337985,0.507173181337985,0.42595318546682,-0.0627343200376111,-0.605582165102585,-0.507173181337985,-0.537738855540858,-0.564114357808573
"ZEB1",-0.605582165102585,-0.605582165102585,-0.605582165102585,-0.605582165102585,-0.605582165102585,-0.57719738088648,-0.564114357808573,-0.564114357808573,-0.462077587380695,0.0722118974763536,0.550891811458222,0.564114357808573,0.57719738088648,0.605582165102585
"HAS2",-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.485263608016105,-0.461298593879239,-0.461298593879239,-0.390061898496396,0.0537599610632521,0.564114357808573,0.561298593879239,0.485263608016105,0.507173181337985
"ESRP1",-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.507173181337985,-0.485263608016105,-0.361298593879239,-0.461298593879239,-0.390061898496396,0.0537599610632521,0.564114357808573,0.461298593879239,0.485263608016105,0.507173181337985
"HA",-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.537738855540858,-0.507173181337985,-0.507173181337985,-0.42595318546682,0.0627343200376111,0.605582165102585,0.507173181337985,0.537738855540858,0.564114357808573
"CD44s",-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.564114357808573,-0.537738855540858,-0.507173181337985,-0.507173181337985,-0.42595318546682,0.0627343200376111,0.605582165102585,0.507173181337985,0.537738855540858,0.564114357808573
"MIR190",-0.629833840893306,-0.629833840893306,-0.629833840893306,-0.629833840893306,-0.629833840893306,-0.717748641774648,-0.554901960784314,-0.554901960784314,-0.754777385442628,0.347756919976419,0.696568534770857,0.554901960784314,0.717748641774648,0.629833840893306
"TGFB",-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.781112396663826,-0.629833840893306,-0.629833840893306,-0.807686722384441,0.261981973054976,0.75945278524524,0.629833840893306,0.781112396663826,0.696568534770857
"MIR34",-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.696568534770857,-0.781112396663826,-0.629833840893306,-0.629833840893306,-0.807686722384441,0.261981973054976,0.75945278524524,0.629833840893306,0.781112396663826,0.696568534770857
