"","ZEB1","MIR340","HAS2","GRHL2","ESRP1","TGFB","HA","CD44s","CD24","MIR190","MIR1199","MIR34","SNAIL1","MIR200"
"SNAIL1",-0.0674949975059604,0.0664316202196992,0.0664316202196992,0.0664316202196992,0.0664316202196992,0.0698431293226299,-0.0660900642424696,-0.0660900642424696,-0.0660900642424696,-0.0664316202196992,-0.0664316202196992,-0.0860120874465537,-0.0871958402823303,0.0243804875936286
"ZEB1",-0.0669449404049652,-0.0321086873552871,-0.0321086873552871,-0.0321086873552871,-0.0321086873552871,0.000619271383148157,0.0290920281927477,0.0290920281927477,0.0290920281927477,0.0321086873552871,0.0321086873552871,0.0503139545339489,0.0533860846488387,0.0555029796050127
"TGFB",-0.0664316202196992,0.0660900642424696,0.0660900642424696,0.0660900642424696,0.0660900642424696,0.0694453568484851,-0.0687431254669594,-0.0687431254669594,-0.0687431254669594,-0.0660900642424696,-0.0660900642424696,-0.0856473901453137,0.0128041597176697,0.0244534270538765
"MIR34",-0.0664316202196992,0.0660900642424696,0.0660900642424696,0.0660900642424696,0.0660900642424696,0.0694453568484851,-0.0687431254669594,-0.0687431254669594,-0.0687431254669594,-0.0660900642424696,-0.0660900642424696,-0.0856473901453137,0.0128041597176697,0.0244534270538765
"MIR200",-0.0611069107491404,0.0598260610146825,0.0598260610146825,0.0598260610146825,0.0598260610146825,0.190986643304685,-0.060565584432924,-0.060565584432924,-0.060565584432924,-0.0598260610146825,-0.0598260610146825,-0.159280686113785,0.0332021236108021,0.00792815403913209
"MIR340",-0.0321086873552871,0.0290920281927477,0.0290920281927477,0.0290920281927477,0.0290920281927477,-0.00103536014875149,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,-0.0290920281927477,-0.0290920281927477,-0.0478945996952392,-0.0526085726871163,-0.0540628874391141
"MIR1199",-0.0321086873552871,0.0290920281927477,0.0290920281927477,0.0290920281927477,0.0290920281927477,-0.00103536014875149,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,-0.0290920281927477,-0.0290920281927477,-0.0478945996952392,-0.0526085726871163,-0.0540628874391141
"HA",-0.0321086873552871,0.0290920281927477,0.0290920281927477,0.0290920281927477,0.0290920281927477,-0.00103536014875149,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,-0.0290920281927477,-0.0290920281927477,-0.0478945996952392,-0.0526085726871163,-0.0540628874391141
"CD24",-0.0321086873552871,0.0290920281927477,0.0290920281927477,0.0290920281927477,0.0290920281927477,-0.00103536014875149,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,-0.0290920281927477,-0.0290920281927477,-0.0478945996952392,-0.0526085726871163,-0.0540628874391141
"ESRP1",-0.0290920281927477,0.0293273223103948,0.0293273223103948,0.0293273223103948,0.0293273223103948,-0.000778949892341229,-0.0382382133995037,-0.138238213399504,-0.0382382133995037,-0.0293273223103948,-0.0293273223103948,-0.0473614694591387,-0.0539674855568205,-0.0549006635244149
"HAS2",0.0290920281927477,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,-0.0293273223103948,0.000778949892341229,-0.0617617866004963,0.0382382133995037,0.0382382133995037,0.0293273223103948,0.0293273223103948,0.0473614694591387,0.0539674855568205,0.0549006635244149
"CD44s",0.0321086873552871,-0.0290920281927477,-0.0290920281927477,-0.0290920281927477,-0.0290920281927477,0.00103536014875149,0.0293273223103948,0.0293273223103948,0.0293273223103948,0.0290920281927477,0.0290920281927477,0.0478945996952392,0.0526085726871163,0.0540628874391141
"MIR190",0.0660900642424696,-0.0687431254669594,-0.0687431254669594,-0.0687431254669594,-0.0687431254669594,-0.17050692797375,0.0706504824151883,0.0706504824151883,0.0706504824151883,0.0687431254669594,0.0687431254669594,0.086690414917152,-0.0123982057257888,-0.0221066213172403
"GRHL2",0.12408078180811,-0.121964207402379,-0.121964207402379,-0.121964207402379,-0.121964207402379,0.00769531424349737,0.12447938519943,0.12447938519943,0.0244793851994301,0.121964207402379,0.121964207402379,0.127486153392501,0.0779682832199224,0.155067197441001
