"","MIR34","MIR200","MIR190","MIR1199","HAS2","ESRP1","ZEB1","MIR340","GRHL2","HA","CD44s","CD24","SNAIL1","TGFB"
"SNAIL1",-0.224230952712432,0.363866235384546,0.132430477801856,0.132430477801856,0.132430477801856,0.132430477801856,-0.133068504173613,-0.132430477801856,-0.132430477801856,-0.130874500572254,-0.130874500572254,-0.130874500572254,0.449445056408592,-0.31300818078818
"MIR190",-0.216951334647664,0.353289157774868,0.129854092408989,0.129854092408989,0.129854092408989,0.129854092408989,-0.130874500572254,-0.129854092408989,-0.129854092408989,-0.126311858076564,-0.126311858076564,-0.126311858076564,0.532705460391335,-0.401864977630322
"HAS2",0.0809610453672607,0.0743502729851232,0.058351472864408,0.058351472864408,0.058351472864408,0.058351472864408,-0.0592926493349963,-0.058351472864408,-0.058351472864408,-0.16066170388751,-0.0606617038875103,-0.0606617038875103,-0.0614443356846723,-0.0715572119912956
"MIR340",0.0817988214525615,0.0747310802966235,0.0592926493349963,0.0592926493349963,0.0592926493349963,0.0592926493349963,-0.0587973769351764,-0.0592926493349963,-0.0592926493349963,-0.058351472864408,-0.058351472864408,-0.058351472864408,-0.0604051670196044,-0.0702751607092443
"MIR1199",0.0817988214525615,0.0747310802966235,0.0592926493349963,0.0592926493349963,0.0592926493349963,0.0592926493349963,-0.0587973769351764,-0.0592926493349963,-0.0592926493349963,-0.058351472864408,-0.058351472864408,-0.058351472864408,-0.0604051670196044,-0.0702751607092443
"CD44s",0.0817988214525615,0.0747310802966235,0.0592926493349963,0.0592926493349963,0.0592926493349963,0.0592926493349963,-0.0587973769351764,-0.0592926493349963,-0.0592926493349963,-0.058351472864408,-0.058351472864408,-0.058351472864408,-0.0604051670196044,-0.0702751607092443
"CD24",0.0817988214525615,0.0747310802966235,0.0592926493349963,0.0592926493349963,0.0592926493349963,0.0592926493349963,-0.0587973769351764,-0.0592926493349963,-0.0592926493349963,-0.058351472864408,-0.058351472864408,-0.058351472864408,-0.0604051670196044,-0.0702751607092443
"ZEB1",-0.0811075772129302,-0.0747886839832595,-0.0587973769351764,-0.0587973769351764,-0.0587973769351764,-0.0587973769351764,-0.0408207535645746,0.0587973769351764,0.0587973769351764,0.0592926493349963,0.0592926493349963,0.0592926493349963,0.0606444014693651,0.0708761778151158
"GRHL2",0.00202391763628891,0.0126829547917251,0.011625752812689,0.011625752812689,0.011625752812689,0.011625752812689,-0.0122444437928258,-0.011625752812689,-0.011625752812689,-0.0129267068456465,-0.0129267068456465,0.0870732931543535,0.0557998612138824,-0.0120776026713046
"MIR200",-0.229399637545432,0.09565552579436,-0.0453506044677309,-0.0453506044677309,-0.0453506044677309,-0.0453506044677309,0.044694559481789,0.0453506044677309,0.0453506044677309,0.0457614508111985,0.0457614508111985,0.0457614508111985,0.294514881016719,-0.177039972798773
"HA",-0.0817988214525615,-0.0747310802966235,-0.0592926493349963,-0.0592926493349963,-0.0592926493349963,-0.0592926493349963,0.0587973769351764,0.0592926493349963,0.0592926493349963,0.058351472864408,0.058351472864408,0.058351472864408,0.0604051670196044,0.0702751607092443
"ESRP1",-0.0809610453672607,-0.0743502729851232,-0.058351472864408,-0.058351472864408,-0.058351472864408,-0.058351472864408,0.0592926493349963,0.058351472864408,0.058351472864408,0.0606617038875103,-0.0393382961124897,0.0606617038875103,0.0614443356846723,0.0715572119912956
"TGFB",0.221775324217416,-0.359416928309418,-0.130874500572254,-0.130874500572254,-0.130874500572254,-0.130874500572254,0.132430477801856,0.130874500572254,0.130874500572254,0.129854092408989,0.129854092408989,0.129854092408989,-0.542313038199184,0.308871347057074
"MIR34",0.221775324217416,-0.359416928309418,-0.130874500572254,-0.130874500572254,-0.130874500572254,-0.130874500572254,0.132430477801856,0.130874500572254,0.130874500572254,0.129854092408989,0.129854092408989,0.129854092408989,-0.542313038199184,0.308871347057074
