"","MIR340","MIR190","HAS2","GRHL2","ESRP1","CD44s","CD24","MIR34","TGFB","MIR200","ZEB1","SNAIL1","HA","MIR1199"
"GRHL2",0.300931169186785,0.300931169186785,0.300931169186785,0.300931169186785,0.300931169186785,0.298242530852007,0.398242530852007,0.216125392083405,0.0291443806012309,-0.216125392083405,-0.303633871889488,-0.195323165847017,-0.298242530852007,-0.300931169186785
"TGFB",0.277456987033384,0.277456987033384,0.277456987033384,0.277456987033384,0.277456987033384,0.271946782951752,0.271946782951752,-0.0358594278054926,0.153091306148578,0.0358594278054926,-0.280303286843631,-0.287816953028534,-0.271946782951752,-0.277456987033384
"MIR34",0.277456987033384,0.277456987033384,0.277456987033384,0.277456987033384,0.277456987033384,0.271946782951752,0.271946782951752,-0.0358594278054926,0.153091306148578,0.0358594278054926,-0.280303286843631,-0.287816953028534,-0.271946782951752,-0.277456987033384
"MIR190",0.271946782951752,0.271946782951752,0.271946782951752,0.271946782951752,0.271946782951752,0.266224712107065,0.266224712107065,-0.0376847211562097,0.251392792348154,0.0376847211562097,-0.277456987033384,-0.285381229077249,-0.266224712107065,-0.271946782951752
"MIR200",0.264580230832444,0.264580230832444,0.264580230832444,0.264580230832444,0.264580230832444,0.261704306428171,0.261704306428171,0.0417687443798387,0.23265512586534,-0.0417687443798387,-0.268422780035818,-0.273708136652768,-0.261704306428171,-0.264580230832444
"MIR340",0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.23107788942666,0.23107788942666,0.132547811952104,0.0268872132008126,-0.132547811952104,-0.235831656939969,-0.170039301842208,-0.23107788942666,-0.232724948250189
"MIR1199",0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.23107788942666,0.23107788942666,0.132547811952104,0.0268872132008126,-0.132547811952104,-0.235831656939969,-0.170039301842208,-0.23107788942666,-0.232724948250189
"CD44s",0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.23107788942666,0.23107788942666,0.132547811952104,0.0268872132008126,-0.132547811952104,-0.235831656939969,-0.170039301842208,-0.23107788942666,-0.232724948250189
"CD24",0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.232724948250189,0.23107788942666,0.23107788942666,0.132547811952104,0.0268872132008126,-0.132547811952104,-0.235831656939969,-0.170039301842208,-0.23107788942666,-0.232724948250189
"HAS2",0.23107788942666,0.23107788942666,0.23107788942666,0.23107788942666,0.23107788942666,0.225467328370554,0.225467328370554,0.132776296339004,0.0263743926879921,-0.132776296339004,-0.232724948250189,-0.167081667949323,-0.325467328370554,-0.23107788942666
"ESRP1",0.23107788942666,0.23107788942666,0.23107788942666,0.23107788942666,0.23107788942666,0.325467328370554,0.225467328370554,0.132776296339004,0.0263743926879921,-0.132776296339004,-0.232724948250189,-0.167081667949323,-0.225467328370554,-0.23107788942666
"ZEB1",-0.235831656939969,-0.235831656939969,-0.235831656939969,-0.235831656939969,-0.235831656939969,-0.232724948250189,-0.232724948250189,-0.133469470938279,-0.0276731586469522,0.133469470938279,0.137574974223714,0.171175665478572,0.232724948250189,0.235831656939969
"HA",-0.232724948250189,-0.232724948250189,-0.232724948250189,-0.232724948250189,-0.232724948250189,-0.23107788942666,-0.23107788942666,-0.132547811952104,-0.0268872132008126,0.132547811952104,0.235831656939969,0.170039301842208,0.23107788942666,0.232724948250189
"SNAIL1",-0.280303286843631,-0.280303286843631,-0.280303286843631,-0.280303286843631,-0.280303286843631,-0.277456987033384,-0.277456987033384,0.0349112148222687,-0.154125514581355,-0.0349112148222687,0.282075582320733,0.189840220605671,0.277456987033384,0.280303286843631
