"","CD44s","CD24","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR34","TGFB","ZEB1","HAS2","HA","SNAIL1","MIR200"
"GRHL2",0.283243791467702,0.383243791467702,0.282289758510199,0.282289758510199,0.282289758510199,0.282289758510199,0.282289758510199,0.20915800684474,0.0305314724355878,-0.281671067530063,-0.282289758510199,-0.283243791467702,-0.197983829850321,-0.314266625739251
"MIR190",0.278586990351696,0.278586990351696,0.279404429043794,0.279404429043794,0.279404429043794,0.279404429043794,0.279404429043794,0.272415930490968,-0.218867475082601,-0.279200347411141,-0.279404429043794,-0.278586990351696,0.134165483216687,-0.0223127906451759
"SNAIL1",0.279200347411141,0.279200347411141,0.278782890105638,0.278782890105638,0.278782890105638,0.278782890105638,0.278782890105638,0.270944081287041,-0.117328576988362,-0.278428431010218,-0.278782890105638,-0.279200347411141,0.0331512484752118,-0.0229889942809908
"MIR200",0.219972152603732,0.219972152603732,0.219725644797651,0.219725644797651,0.219725644797651,0.219725644797651,0.219725644797651,0.253082528847797,-0.184596067378374,-0.219257041236264,-0.219725644797651,-0.219972152603732,0.0325898126178274,-0.103860552806763
"HAS2",0.157435897435897,0.157435897435897,0.155785732419396,0.155785732419396,0.155785732419396,0.155785732419396,0.155785732419396,0.0978805976364245,0.0272941014074927,-0.155079850066455,-0.155785732419396,-0.0574358974358974,-0.17279397943731,-0.191134077415986
"ESRP1",0.257435897435897,0.157435897435897,0.155785732419396,0.155785732419396,0.155785732419396,0.155785732419396,0.155785732419396,0.0978805976364245,0.0272941014074927,-0.155079850066455,-0.155785732419396,-0.157435897435897,-0.17279397943731,-0.191134077415986
"MIR340",0.155785732419396,0.155785732419396,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.097347467400324,0.027550511663903,-0.154494528139395,-0.155079850066455,-0.155785732419396,-0.172554171283833,-0.190753270104486
"MIR1199",0.155785732419396,0.155785732419396,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.097347467400324,0.027550511663903,-0.154494528139395,-0.155079850066455,-0.155785732419396,-0.172554171283833,-0.190753270104486
"HA",0.155785732419396,0.155785732419396,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.097347467400324,0.027550511663903,-0.154494528139395,-0.155079850066455,-0.155785732419396,-0.172554171283833,-0.190753270104486
"CD44s",0.155785732419396,0.155785732419396,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.097347467400324,0.027550511663903,-0.154494528139395,-0.155079850066455,-0.155785732419396,-0.172554171283833,-0.190753270104486
"CD24",0.155785732419396,0.155785732419396,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.155079850066455,0.097347467400324,0.027550511663903,-0.154494528139395,-0.155079850066455,-0.155785732419396,-0.172554171283833,-0.190753270104486
"ZEB1",-0.155079850066455,-0.155079850066455,-0.154494528139395,-0.154494528139395,-0.154494528139395,-0.154494528139395,-0.154494528139395,-0.0970594489671442,-0.02759674374897,0.0542454828131454,0.154494528139395,0.155079850066455,0.172314936834072,0.190292440611398
"TGFB",-0.279404429043794,-0.279404429043794,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.271503283815609,0.117805903957336,0.278782890105638,0.279200347411141,0.279404429043794,-0.133353575232925,0.0229646811275748
"MIR34",-0.279404429043794,-0.279404429043794,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.279200347411141,-0.271503283815609,0.117805903957336,0.278782890105638,0.279200347411141,0.279404429043794,-0.133353575232925,0.0229646811275748
