"","MIR190","HAS2","GRHL2","ESRP1","HA","SNAIL1","TGFB","MIR200","ZEB1","MIR34","CD44s","CD24","MIR340","MIR1199"
"MIR340",0.14606467028253,0.14606467028253,0.14606467028253,0.14606467028253,0.147476434988412,0.119395319055271,0.116404677274263,0.095573747798119,-0.14664999220959,-0.095573747798119,-0.147476434988412,-0.147476434988412,-0.14606467028253,-0.14606467028253
"MIR1199",0.14606467028253,0.14606467028253,0.14606467028253,0.14606467028253,0.147476434988412,0.119395319055271,0.116404677274263,0.095573747798119,-0.14664999220959,-0.095573747798119,-0.147476434988412,-0.147476434988412,-0.14606467028253,-0.14606467028253
"HA",0.14606467028253,0.14606467028253,0.14606467028253,0.14606467028253,0.147476434988412,0.119395319055271,0.116404677274263,0.095573747798119,-0.14664999220959,-0.095573747798119,-0.147476434988412,-0.147476434988412,-0.14606467028253,-0.14606467028253
"CD24",0.14606467028253,0.14606467028253,0.14606467028253,0.14606467028253,0.147476434988412,0.119395319055271,0.116404677274263,0.095573747798119,-0.14664999220959,-0.095573747798119,-0.147476434988412,-0.147476434988412,-0.14606467028253,-0.14606467028253
"HAS2",0.147476434988412,0.147476434988412,0.147476434988412,0.147476434988412,0.247146401985112,0.118196278287885,0.115379036248622,0.09656384680802,-0.14606467028253,-0.09656384680802,-0.147146401985112,-0.147146401985112,-0.147476434988412,-0.147476434988412
"ESRP1",0.147476434988412,0.147476434988412,0.147476434988412,0.147476434988412,0.147146401985112,0.118196278287885,0.115379036248622,0.09656384680802,-0.14606467028253,-0.09656384680802,-0.247146401985112,-0.147146401985112,-0.147476434988412,-0.147476434988412
"MIR200",0.123289151717204,0.123289151717204,0.123289151717204,0.123289151717204,0.123206982448511,0.117311212976717,0.113732524643023,0.00813331485914665,-0.12332039195463,-0.00813331485914665,-0.123206982448511,-0.123206982448511,-0.123289151717204,-0.123289151717204
"SNAIL1",0.0191925374644306,0.0191925374644306,0.0191925374644306,0.0191925374644306,0.0196099947699334,-0.0860731866430646,-0.0558947376335698,-0.0448525476012343,-0.0196887801980191,0.0448525476012343,-0.0196099947699334,-0.0196099947699334,-0.0191925374644306,-0.0191925374644306
"MIR190",0.0208344845658518,0.0208344845658518,0.0208344845658518,0.0208344845658518,0.0172922502334267,0.0127608335471745,0.0416897446794898,-0.0441629669761865,-0.0196099947699334,0.0441629669761865,-0.0172922502334267,-0.0172922502334267,-0.0208344845658518,-0.0208344845658518
"TGFB",0.0196099947699334,0.0196099947699334,0.0196099947699334,0.0196099947699334,0.0208344845658518,0.0135727415309364,-0.0553378561697671,-0.0442933450726663,-0.0191925374644306,0.0442933450726663,-0.0208344845658518,-0.0208344845658518,-0.0196099947699334,-0.0196099947699334
"GRHL2",0.0148049396140094,0.0148049396140094,0.0148049396140094,0.0148049396140094,0.0159324331092392,0.0844949335595665,0.00455187069986119,-0.00548340696569814,-0.0156190066931367,0.00548340696569814,-0.0159324331092392,-0.115932433109239,-0.0148049396140094,-0.0148049396140094
"MIR34",-0.0196099947699334,-0.0196099947699334,-0.0196099947699334,-0.0196099947699334,-0.0208344845658518,-0.0135727415309364,0.0553378561697671,0.0442933450726663,0.0191925374644306,-0.0442933450726663,0.0208344845658518,0.0208344845658518,0.0196099947699334,0.0196099947699334
"ZEB1",-0.14664999220959,-0.14664999220959,-0.14664999220959,-0.14664999220959,-0.14606467028253,-0.118797232930869,-0.115248875147587,-0.095516144111483,0.0468990375358389,0.095516144111483,0.14606467028253,0.14606467028253,0.14664999220959,0.14664999220959
"CD44s",-0.14606467028253,-0.14606467028253,-0.14606467028253,-0.14606467028253,-0.147476434988412,-0.119395319055271,-0.116404677274263,-0.095573747798119,0.14664999220959,0.095573747798119,0.147476434988412,0.147476434988412,0.14606467028253,0.14606467028253
