"","MIR340","MIR190","HAS2","GRHL2","CD44s","MIR34","TGFB","SNAIL1","ZEB1","MIR200","HA","CD24","MIR1199","ESRP1"
"GRHL2",0.631626127472253,0.631626127472253,0.631626127472253,0.631626127472253,0.597367671271039,0.589322745016532,0.575043723353966,-0.324554725324733,-0.66018360060804,-0.589322745016532,-0.597367671271039,-0.697367671271039,-0.631626127472253,-0.631626127472253
"MIR340",0.496011434335668,0.496011434335668,0.496011434335668,0.496011434335668,0.462129081394492,0.458113044781323,0.442617906965363,-0.303938745608435,-0.522531020107843,-0.458113044781323,-0.462129081394492,-0.462129081394492,-0.496011434335668,-0.496011434335668
"CD44s",0.496011434335668,0.496011434335668,0.496011434335668,0.496011434335668,0.462129081394492,0.458113044781323,0.442617906965363,-0.303938745608435,-0.522531020107843,-0.458113044781323,-0.462129081394492,-0.462129081394492,-0.496011434335668,-0.496011434335668
"HAS2",0.462129081394492,0.462129081394492,0.462129081394492,0.462129081394492,0.426815550041357,0.430009465192595,0.40954098388844,-0.286432750404598,-0.496011434335668,-0.430009465192595,-0.526815550041356,-0.426815550041357,-0.462129081394492,-0.462129081394492
"SNAIL1",0.110924009657382,0.110924009657382,0.110924009657382,0.110924009657382,0.0991972544391659,-0.00882133488740352,-0.0110900299408946,-0.0636829823065052,-0.111363538935704,0.00882133488740352,-0.0991972544391659,-0.0991972544391659,-0.110924009657382,-0.110924009657382
"MIR190",-0.105319703418758,-0.105319703418758,-0.105319703418758,-0.105319703418758,-0.0783442265795207,0.0141289248072399,0.129724023525863,-0.0421758694549217,0.0991972544391659,-0.0141289248072399,0.0783442265795207,0.0783442265795207,0.105319703418758,0.105319703418758
"TGFB",-0.0991972544391659,-0.0991972544391659,-0.0991972544391659,-0.0991972544391659,-0.105319703418758,0.0172579991227548,0.00679408722013088,-0.0396048275063425,0.110924009657382,-0.0172579991227548,0.105319703418758,0.105319703418758,0.0991972544391659,0.0991972544391659
"MIR34",-0.0991972544391659,-0.0991972544391659,-0.0991972544391659,-0.0991972544391659,-0.105319703418758,0.0172579991227548,0.00679408722013088,-0.0396048275063425,0.110924009657382,-0.0172579991227548,0.105319703418758,0.105319703418758,0.0991972544391659,0.0991972544391659
"MIR200",-0.37554811929363,-0.37554811929363,-0.37554811929363,-0.37554811929363,-0.360018127510557,-0.431002855750195,-0.534586519714214,0.250927765041661,0.395823033382977,0.431002855750195,0.360018127510557,0.360018127510557,0.37554811929363,0.37554811929363
"ZEB1",-0.522531020107843,-0.522531020107843,-0.522531020107843,-0.522531020107843,-0.496011434335668,-0.481384934182245,-0.472992386854406,0.316139702546234,0.444696054144038,0.481384934182245,0.496011434335668,0.496011434335668,0.522531020107843,0.522531020107843
"ESRP1",-0.462129081394492,-0.462129081394492,-0.462129081394492,-0.462129081394492,-0.526815550041356,-0.430009465192595,-0.40954098388844,0.286432750404598,0.496011434335668,0.430009465192595,0.426815550041357,0.426815550041357,0.462129081394492,0.462129081394492
"MIR1199",-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.462129081394492,-0.458113044781323,-0.442617906965363,0.303938745608435,0.522531020107843,0.458113044781323,0.462129081394492,0.462129081394492,0.496011434335668,0.496011434335668
"HA",-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.462129081394492,-0.458113044781323,-0.442617906965363,0.303938745608435,0.522531020107843,0.458113044781323,0.462129081394492,0.462129081394492,0.496011434335668,0.496011434335668
"CD24",-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.496011434335668,-0.462129081394492,-0.458113044781323,-0.442617906965363,0.303938745608435,0.522531020107843,0.458113044781323,0.462129081394492,0.462129081394492,0.496011434335668,0.496011434335668
