"","MIR34","SNAIL1","MIR340","MIR190","GRHL2","MIR200","CD44s","TGFB","ZEB1","HA","CD24","MIR1199","HAS2","ESRP1"
"MIR200",0.0154147917132725,-0.0329320883132886,0.110276538289515,0.110276538289515,0.110276538289515,0.199079554696945,0.114795848067658,-0.196477611377397,-0.113244360844966,-0.114795848067658,-0.114795848067658,-0.110276538289515,-0.110276538289515,-0.110276538289515
"MIR340",0.124114975913198,0.101431613648957,0.0958624613592581,0.0958624613592581,0.0958624613592581,0.0954416316239813,0.0975095201827875,0.00570046759662799,-0.0977985261949177,-0.0975095201827875,-0.0975095201827875,-0.0958624613592581,-0.0958624613592581,-0.0958624613592581
"MIR1199",0.124114975913198,0.101431613648957,0.0958624613592581,0.0958624613592581,0.0958624613592581,0.0954416316239813,0.0975095201827875,0.00570046759662799,-0.0977985261949177,-0.0975095201827875,-0.0975095201827875,-0.0958624613592581,-0.0958624613592581,-0.0958624613592581
"HA",0.124114975913198,0.101431613648957,0.0958624613592581,0.0958624613592581,0.0958624613592581,0.0954416316239813,0.0975095201827875,0.00570046759662799,-0.0977985261949177,-0.0975095201827875,-0.0975095201827875,-0.0958624613592581,-0.0958624613592581,-0.0958624613592581
"CD24",0.124114975913198,0.101431613648957,0.0958624613592581,0.0958624613592581,0.0958624613592581,0.0954416316239813,0.0975095201827875,0.00570046759662799,-0.0977985261949177,-0.0975095201827875,-0.0975095201827875,-0.0958624613592581,-0.0958624613592581,-0.0958624613592581
"HAS2",0.123429522752497,0.10374975913257,0.0975095201827875,0.0975095201827875,0.0975095201827875,0.0982596057290841,0.0971794871794872,0.0080081599043203,-0.0958624613592581,0.00282051282051282,-0.0971794871794872,-0.0975095201827875,-0.0975095201827875,-0.0975095201827875
"ESRP1",0.123429522752497,0.10374975913257,0.0975095201827875,0.0975095201827875,0.0975095201827875,0.0982596057290841,-0.00282051282051282,0.0080081599043203,-0.0958624613592581,-0.0971794871794872,-0.0971794871794872,-0.0975095201827875,-0.0975095201827875,-0.0975095201827875
"TGFB",0.112381736779664,0.0930142444811428,0.0335904074012287,0.0335904074012287,0.0335904074012287,-0.0733613566610718,0.0388965298502083,0.0986575209798595,-0.0354499899439232,-0.0388965298502083,-0.0388965298502083,-0.0335904074012287,-0.0335904074012287,-0.0335904074012287
"MIR34",0.112381736779664,0.0930142444811428,0.0335904074012287,0.0335904074012287,0.0335904074012287,-0.0733613566610718,0.0388965298502083,0.0986575209798595,-0.0354499899439232,-0.0388965298502083,-0.0388965298502083,-0.0335904074012287,-0.0335904074012287,-0.0335904074012287
"SNAIL1",0.117074175388952,-0.0129543948714116,0.0354499899439232,0.0354499899439232,0.0354499899439232,-0.0756711062355916,0.0335904074012287,0.0954753411867012,-0.0354074548524728,-0.0335904074012287,-0.0335904074012287,-0.0354499899439232,-0.0354499899439232,-0.0354499899439232
"MIR190",0.12098669114733,0.0832713486760007,0.0388965298502083,0.0388965298502083,0.0388965298502083,-0.0751866500117888,0.0277248677248677,0.194411236478798,-0.0335904074012287,-0.0277248677248677,-0.0277248677248677,-0.0388965298502083,-0.0388965298502083,-0.0388965298502083
"GRHL2",0.023068613529568,0.0749110701687445,0.00680298255409556,0.00680298255409556,0.00680298255409556,0.000362474441938669,0.00810393658705306,0.00437713165190678,-0.00865905549450585,-0.00810393658705306,-0.108103936587053,-0.00680298255409556,-0.00680298255409556,-0.00680298255409556
"ZEB1",-0.12451820171965,-0.102029699773359,-0.0977985261949177,-0.0977985261949177,-0.0977985261949177,-0.0975153643428753,-0.0958624613592581,-0.00676380555316983,-0.00357952461032884,0.0958624613592581,0.0958624613592581,0.0977985261949177,0.0977985261949177,0.0977985261949177
"CD44s",-0.124114975913198,-0.101431613648957,-0.0958624613592581,-0.0958624613592581,-0.0958624613592581,-0.0954416316239813,-0.0975095201827875,-0.00570046759662799,0.0977985261949177,0.0975095201827875,0.0975095201827875,0.0958624613592581,0.0958624613592581,0.0958624613592581
