"","MIR340","HAS2","GRHL2","HA","CD44s","CD24","MIR34","MIR200","SNAIL1","TGFB","ZEB1","MIR190","MIR1199","ESRP1"
"GRHL2",0.449849294212738,0.449849294212738,0.449849294212738,0.435885720925661,0.435885720925661,0.53588572092566,0.410106029421881,0.334143700346231,0.156570505080163,0.0207166162751615,-0.460171664776072,-0.449849294212738,-0.449849294212738,-0.449849294212738
"MIR340",0.361954082490427,0.361954082490427,0.361954082490427,0.349483494255133,0.349483494255133,0.349483494255133,0.295154318568786,0.244407516674635,0.134072470502463,0.0119297285317713,-0.371454307614245,-0.361954082490427,-0.361954082490427,-0.361954082490427
"HA",0.361954082490427,0.361954082490427,0.361954082490427,0.349483494255133,0.349483494255133,0.349483494255133,0.295154318568786,0.244407516674635,0.134072470502463,0.0119297285317713,-0.371454307614245,-0.361954082490427,-0.361954082490427,-0.361954082490427
"CD44s",0.361954082490427,0.361954082490427,0.361954082490427,0.349483494255133,0.349483494255133,0.349483494255133,0.295154318568786,0.244407516674635,0.134072470502463,0.0119297285317713,-0.371454307614245,-0.361954082490427,-0.361954082490427,-0.361954082490427
"CD24",0.361954082490427,0.361954082490427,0.361954082490427,0.349483494255133,0.349483494255133,0.349483494255133,0.295154318568786,0.244407516674635,0.134072470502463,0.0119297285317713,-0.371454307614245,-0.361954082490427,-0.361954082490427,-0.361954082490427
"HAS2",0.349483494255133,0.349483494255133,0.349483494255133,0.431331679073615,0.331331679073615,0.331331679073615,0.284415552384476,0.239000052851329,0.133353046042031,0.0119297285317713,-0.361954082490427,-0.349483494255133,-0.349483494255133,-0.349483494255133
"SNAIL1",0.199141085242707,0.199141085242707,0.199141085242707,0.193790041599443,0.193790041599443,0.193790041599443,0.202469242640912,0.0181335452983198,-0.0126411205160983,0.0960124649687427,-0.201764082548818,-0.199141085242707,-0.199141085242707,-0.199141085242707
"MIR34",0.193790041599443,0.193790041599443,0.193790041599443,0.189300245681076,0.189300245681076,0.189300245681076,0.200743008748376,0.0130034699275442,0.082300710541059,0.093546275629045,-0.199141085242707,-0.193790041599443,-0.193790041599443,-0.193790041599443
"MIR190",0.189300245681076,0.189300245681076,0.189300245681076,0.179763460939932,0.179763460939932,0.179763460939932,0.193832969634947,0.0141768727958624,0.0870368404463364,-0.00390595367031802,-0.193790041599443,-0.189300245681076,-0.189300245681076,-0.189300245681076
"TGFB",-0.193790041599443,-0.193790041599443,-0.193790041599443,-0.189300245681076,-0.189300245681076,-0.189300245681076,-0.200743008748376,-0.0130034699275442,-0.082300710541059,-0.093546275629045,0.199141085242707,0.193790041599443,0.193790041599443,0.193790041599443
"MIR200",-0.239994411450322,-0.239994411450322,-0.239994411450322,-0.234160393373083,-0.234160393373083,-0.234160393373083,-0.10191877040352,-0.266595840814773,0.00959928386298968,-0.00674006952988891,0.245211531100431,0.239994411450322,0.239994411450322,0.239994411450322
"ZEB1",-0.371454307614245,-0.371454307614245,-0.371454307614245,-0.361954082490427,-0.361954082490427,-0.361954082490427,-0.30149072409874,-0.250225489024865,-0.138019838923515,-0.0135478515091176,0.278444179770977,0.371454307614245,0.371454307614245,0.371454307614245
"ESRP1",-0.349483494255133,-0.349483494255133,-0.349483494255133,-0.331331679073615,-0.431331679073615,-0.331331679073615,-0.284415552384476,-0.239000052851329,-0.133353046042031,-0.0119297285317713,0.361954082490427,0.349483494255133,0.349483494255133,0.349483494255133
"MIR1199",-0.361954082490427,-0.361954082490427,-0.361954082490427,-0.349483494255133,-0.349483494255133,-0.349483494255133,-0.295154318568786,-0.244407516674635,-0.134072470502463,-0.0119297285317713,0.371454307614245,0.361954082490427,0.361954082490427,0.361954082490427
