"","MIR200","SNAIL1","CD44s","MIR340","MIR190","HAS2","GRHL2","MIR34","TGFB","ZEB1","MIR1199","ESRP1","HA","CD24"
"MIR200",0.0278761023322742,-0.0586952441896559,0.116026580911945,0.116437427255413,0.116437427255413,0.116437427255413,0.116437427255413,0.195978460680727,0.01021893167857,-0.116406187017987,-0.116437427255413,-0.116437427255413,-0.116026580911945,-0.116026580911945
"HAS2",0.132373296945994,0.121749974287771,0.104177005789909,0.104507038793209,0.104507038793209,0.104507038793209,0.104507038793209,0.0733596308735044,0.0172766056632143,-0.104271744675562,-0.104507038793209,-0.104507038793209,-0.204177005789909,-0.104177005789909
"MIR1199",0.132754104257494,0.122629270850521,0.104507038793209,0.104271744675562,0.104271744675562,0.104271744675562,0.104271744675562,0.0726741777128037,0.0172766056632143,-0.104046620857462,-0.104271744675562,-0.104271744675562,-0.104507038793209,-0.104507038793209
"CD44s",0.132754104257494,0.122629270850521,0.104507038793209,0.104271744675562,0.104271744675562,0.104271744675562,0.104271744675562,0.0726741777128037,0.0172766056632143,-0.104046620857462,-0.104271744675562,-0.104271744675562,-0.104507038793209,-0.104507038793209
"CD24",0.132754104257494,0.122629270850521,0.104507038793209,0.104271744675562,0.104271744675562,0.104271744675562,0.104271744675562,0.0726741777128037,0.0172766056632143,-0.104046620857462,-0.104271744675562,-0.104271744675562,-0.104507038793209,-0.104507038793209
"TGFB",-0.0817919860935263,-0.123256399828941,0.0767719694599002,0.0771801327252063,0.0771801327252063,0.0771801327252063,0.0771801327252063,0.155082883603429,-0.113275522452766,-0.0768385767479767,-0.0771801327252063,-0.0771801327252063,-0.0767719694599002,-0.0767719694599002
"GRHL2",0.016568624550384,0.0861077617341506,0.0020742201492819,0.0018140293426904,0.0018140293426904,0.0018140293426904,0.0018140293426904,-0.0142072227025852,0.00811570885817806,-0.00171634129319512,-0.0018140293426904,-0.0018140293426904,-0.0020742201492819,-0.102074220149282
"ZEB1",-0.132926915317402,-0.122689079462961,-0.104271744675562,-0.104046620857462,-0.104046620857462,-0.104046620857462,-0.104046620857462,-0.0722133482197161,-0.0176002302586836,0.00399681179221246,0.104046620857462,0.104046620857462,0.104271744675562,0.104271744675562
"SNAIL1",0.0813300361786223,0.0220424392826587,-0.0771801327252063,-0.0768385767479767,-0.0768385767479767,-0.0768385767479767,-0.0768385767479767,-0.154183296927037,0.113355076947595,0.07651247438019,0.0768385767479767,0.0768385767479767,0.0771801327252063,0.0771801327252063
"MIR34",0.0817919860935263,0.123256399828941,-0.0767719694599002,-0.0771801327252063,-0.0771801327252063,-0.0771801327252063,-0.0771801327252063,-0.155082883603429,0.113275522452766,0.0768385767479767,0.0771801327252063,0.0771801327252063,0.0767719694599002,0.0767719694599002
"MIR190",0.0819223641900061,0.125150851791052,-0.0748646125116713,-0.0767719694599002,-0.0767719694599002,-0.0767719694599002,-0.0767719694599002,-0.15469174931399,0.0117893228773941,0.0771801327252063,0.0767719694599002,0.0767719694599002,0.0748646125116713,0.0748646125116713
"MIR340",-0.132754104257494,-0.122629270850521,-0.104507038793209,-0.104271744675562,-0.104271744675562,-0.104271744675562,-0.104271744675562,-0.0726741777128037,-0.0172766056632143,0.104046620857462,0.104271744675562,0.104271744675562,0.104507038793209,0.104507038793209
"HA",-0.132754104257494,-0.122629270850521,-0.104507038793209,-0.104271744675562,-0.104271744675562,-0.104271744675562,-0.104271744675562,-0.0726741777128037,-0.0172766056632143,0.104046620857462,0.104271744675562,0.104271744675562,0.104507038793209,0.104507038793209
"ESRP1",-0.132373296945994,-0.121749974287771,-0.204177005789909,-0.104507038793209,-0.104507038793209,-0.104507038793209,-0.104507038793209,-0.0733596308735044,-0.0172766056632143,0.104271744675562,0.104507038793209,0.104507038793209,0.104177005789909,0.104177005789909
