"","MIR340","MIR190","MIR1199","GRHL2","HA","CD44s","MIR34","MIR200","TGFB","ZEB1","SNAIL1","CD24","HAS2","ESRP1"
"MIR1199",0.179948337382271,0.179948337382271,0.179948337382271,0.179948337382271,0.179713043264624,0.179713043264624,0.178051769075384,0.178051769075384,0.00621741046083773,-0.181524204108971,-0.106063513572208,-0.179713043264624,-0.179948337382271,-0.179948337382271
"HA",0.179948337382271,0.179948337382271,0.179948337382271,0.179948337382271,0.179713043264624,0.179713043264624,0.178051769075384,0.178051769075384,0.00621741046083773,-0.181524204108971,-0.106063513572208,-0.179713043264624,-0.179948337382271,-0.179948337382271
"CD24",0.179948337382271,0.179948337382271,0.179948337382271,0.179948337382271,0.179713043264624,0.179713043264624,0.178051769075384,0.178051769075384,0.00621741046083773,-0.181524204108971,-0.106063513572208,-0.179713043264624,-0.179948337382271,-0.179948337382271
"ESRP1",0.179713043264624,0.179713043264624,0.179713043264624,0.179713043264624,0.177402812241522,0.0774028122415219,0.17401521157348,0.17401521157348,0.00929433353776081,-0.179948337382271,-0.112698205818411,-0.177402812241522,-0.179713043264624,-0.179713043264624
"MIR34",0.146818066009328,0.146818066009328,0.146818066009328,0.146818066009328,0.150083372131777,0.150083372131777,0.168719408953153,0.168719408953153,0.0928247722739936,-0.149740267147848,-0.0760007966624576,-0.150083372131777,-0.146818066009328,-0.146818066009328
"MIR190",0.150083372131777,0.150083372131777,0.150083372131777,0.150083372131777,0.142726423902895,0.142726423902895,0.168589030856673,0.168589030856673,-0.00505208547547561,-0.146818066009328,-0.0788424746056241,-0.142726423902895,-0.150083372131777,-0.150083372131777
"MIR200",0.128851312203347,0.128851312203347,0.128851312203347,0.128851312203347,0.130905543920684,0.130905543920684,0.0324776140680501,0.0324776140680501,0.00320485821534872,-0.130944408110876,0.0260717888575283,-0.130905543920684,-0.128851312203347,-0.128851312203347
"GRHL2",0.039449946259683,0.039449946259683,0.039449946259683,0.039449946259683,0.0398835976040022,0.0398835976040022,0.0466829610541127,0.0466829610541127,0.0044290643701851,-0.0405245148041311,-0.0758427509702552,-0.139883597604002,-0.039449946259683,-0.039449946259683
"ZEB1",-0.181524204108971,-0.181524204108971,-0.181524204108971,-0.181524204108971,-0.179948337382271,-0.179948337382271,-0.176669280596122,-0.176669280596122,-0.0085752467992566,0.0809430983477224,0.110848202567424,0.179948337382271,0.181524204108971,0.181524204108971
"SNAIL1",-0.149740267147848,-0.149740267147848,-0.149740267147848,-0.149740267147848,-0.146818066009328,-0.146818066009328,-0.169570369322712,-0.169570369322712,-0.0941771986860859,0.148336609129984,-0.0223805892758327,0.146818066009328,0.149740267147848,0.149740267147848
"TGFB",-0.146818066009328,-0.146818066009328,-0.146818066009328,-0.146818066009328,-0.150083372131777,-0.150083372131777,-0.168719408953153,-0.168719408953153,-0.0928247722739936,0.149740267147848,0.0760007966624576,0.150083372131777,0.146818066009328,0.146818066009328
"HAS2",-0.179713043264624,-0.179713043264624,-0.179713043264624,-0.179713043264624,-0.277402812241522,-0.177402812241522,-0.17401521157348,-0.17401521157348,-0.00929433353776081,0.179948337382271,0.112698205818411,0.177402812241522,0.179713043264624,0.179713043264624
"MIR340",-0.179948337382271,-0.179948337382271,-0.179948337382271,-0.179948337382271,-0.179713043264624,-0.179713043264624,-0.178051769075384,-0.178051769075384,-0.00621741046083773,0.181524204108971,0.106063513572208,0.179713043264624,0.179948337382271,0.179948337382271
"CD44s",-0.179948337382271,-0.179948337382271,-0.179948337382271,-0.179948337382271,-0.179713043264624,-0.179713043264624,-0.178051769075384,-0.178051769075384,-0.00621741046083773,0.181524204108971,0.106063513572208,0.179713043264624,0.179948337382271,0.179948337382271
