"","HA","CD24","MIR190","MIR1199","HAS2","ESRP1","TGFB","MIR34","ZEB1","MIR200","MIR340","GRHL2","CD44s","SNAIL1"
"TGFB",0.0809537887210591,0.0809537887210591,0.0801374621904469,0.0801374621904469,0.0801374621904469,0.0801374621904469,-0.0199179940271652,-0.0215318338985628,-0.0805549194959497,0.0215318338985628,-0.0801374621904469,-0.0801374621904469,-0.0809537887210591,-0.0225874060671362
"MIR34",0.0809537887210591,0.0809537887210591,0.0801374621904469,0.0801374621904469,0.0801374621904469,0.0801374621904469,-0.0199179940271652,-0.0215318338985628,-0.0805549194959497,0.0215318338985628,-0.0801374621904469,-0.0801374621904469,-0.0809537887210591,-0.0225874060671362
"MIR190",0.0812262682850918,0.0812262682850918,0.0809537887210591,0.0809537887210591,0.0809537887210591,0.0809537887210591,0.080718948647994,-0.0203584310302447,-0.0801374621904469,0.0203584310302447,-0.0809537887210591,-0.0809537887210591,-0.0812262682850918,-0.0232639960536044
"MIR200",0.0571342511529967,0.0571342511529967,0.0580381131086252,0.0580381131086252,0.0580381131086252,0.0580381131086252,0.0508932533600998,0.14660678741498,-0.0581318338209027,-0.14660678741498,-0.0580381131086252,-0.0580381131086252,-0.0571342511529967,0.0074266844489467
"MIR340",0.0567385696386016,0.0567385696386016,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0543348710953212,0.0519676874323527,-0.0576899164087369,-0.0519676874323527,-0.0579150402268369,-0.0579150402268369,-0.0567385696386016,-0.103555983586664
"MIR1199",0.0567385696386016,0.0567385696386016,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0543348710953212,0.0519676874323527,-0.0576899164087369,-0.0519676874323527,-0.0579150402268369,-0.0579150402268369,-0.0567385696386016,-0.103555983586664
"CD44s",0.0567385696386016,0.0567385696386016,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0579150402268369,0.0543348710953212,0.0519676874323527,-0.0576899164087369,-0.0519676874323527,-0.0579150402268369,-0.0579150402268369,-0.0567385696386016,-0.103555983586664
"ZEB1",-0.0579150402268369,-0.0579150402268369,-0.0576899164087369,-0.0576899164087369,-0.0576899164087369,-0.0576899164087369,-0.0554906732219972,-0.0519676874323527,-0.0421274503520135,0.0519676874323527,0.0576899164087369,0.0576899164087369,0.0579150402268369,0.103555983586664
"GRHL2",0.0136853166357357,-0.0863146833642643,0.0122109020650506,0.0122109020650506,0.0122109020650506,0.0122109020650506,0.0178488087162138,0.0205075578882539,-0.0126993423125269,-0.0205075578882539,-0.0122109020650506,-0.0122109020650506,-0.0136853166357357,0.0765584086467045
"HA",-0.0567385696386016,-0.0567385696386016,-0.0579150402268369,-0.0579150402268369,-0.0579150402268369,-0.0579150402268369,-0.0543348710953212,-0.0519676874323527,0.0576899164087369,0.0519676874323527,0.0579150402268369,0.0579150402268369,0.0567385696386016,0.103555983586664
"CD24",-0.0567385696386016,-0.0567385696386016,-0.0579150402268369,-0.0579150402268369,-0.0579150402268369,-0.0579150402268369,-0.0543348710953212,-0.0519676874323527,0.0576899164087369,0.0519676874323527,0.0579150402268369,0.0579150402268369,0.0567385696386016,0.103555983586664
"HAS2",0.0409511993382961,-0.0590488006617039,-0.0567385696386016,-0.0567385696386016,-0.0567385696386016,-0.0567385696386016,-0.0568989736594238,-0.0508252654978515,0.0579150402268369,0.0508252654978515,0.0567385696386016,0.0567385696386016,0.0590488006617039,0.103955663842459
"ESRP1",-0.0590488006617039,-0.0590488006617039,-0.0567385696386016,-0.0567385696386016,-0.0567385696386016,-0.0567385696386016,-0.0568989736594238,-0.0508252654978515,0.0579150402268369,0.0508252654978515,0.0567385696386016,0.0567385696386016,-0.0409511993382961,0.103955663842459
"SNAIL1",-0.0801374621904469,-0.0801374621904469,-0.0805549194959497,-0.0805549194959497,-0.0805549194959497,-0.0805549194959497,0.0209522024599416,0.0210212576768268,0.0805974545874002,-0.0210212576768268,0.0805549194959497,0.0805549194959497,0.0801374621904469,-0.0777666657588628
