"","ZEB1","SNAIL1","MIR34","MIR1199","CD44s","CD24","HA","MIR340","MIR190","HAS2","GRHL2","ESRP1","TGFB","MIR200"
"ZEB1",-0.103437685229989,-0.0791695611616055,-0.00948995349259739,-0.00919893377722461,-0.00861361185016473,-0.00861361185016473,0.00861361185016473,0.00919893377722461,0.00919893377722461,0.00919893377722461,0.00919893377722461,0.00919893377722461,0.0275433077692145,0.0486479665983525
"TGFB",-0.0581400734680793,-0.00580485999599966,0.080682870540831,-0.0616694852327852,-0.0665674444164587,-0.0665674444164587,0.0665674444164587,0.0616694852327852,0.0616694852327852,0.0616694852327852,0.0616694852327852,0.0616694852327852,0.0257932486573871,0.0243265143785671
"MIR200",-0.0319400519715788,-0.0135007038107757,0.133969650736398,-0.0338457064545529,-0.0413231099056622,-0.0413231099056622,0.0413231099056622,0.0338457064545529,0.0338457064545529,0.0338457064545529,0.0338457064545529,0.0338457064545529,0.127000791073833,0.0104174679637255
"MIR340",-0.00919893377722461,-0.0834159726448591,-0.00851069081978633,-0.00861361185016473,0.00362168226748233,0.00362168226748233,-0.00362168226748233,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.0360037793364822,0.0503760771974308
"HA",-0.00919893377722461,-0.0834159726448591,-0.00851069081978633,-0.00861361185016473,0.00362168226748233,0.00362168226748233,-0.00362168226748233,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.00861361185016473,0.0360037793364822,0.0503760771974308
"HAS2",-0.00861361185016473,-0.0871729670493356,-0.0183355194564961,0.00362168226748233,0.0164929693961952,0.0164929693961952,0.0835070306038048,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,0.0436960870287899,0.0563928327191368
"ESRP1",-0.00861361185016473,-0.0871729670493356,-0.0183355194564961,0.00362168226748233,-0.0835070306038048,0.0164929693961952,-0.0164929693961952,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,-0.00362168226748233,0.0436960870287899,0.0563928327191368
"MIR1199",0.00919893377722461,0.0834159726448591,0.00851069081978633,0.00861361185016473,-0.00362168226748233,-0.00362168226748233,0.00362168226748233,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.0360037793364822,-0.0503760771974308
"CD44s",0.00919893377722461,0.0834159726448591,0.00851069081978633,0.00861361185016473,-0.00362168226748233,-0.00362168226748233,0.00362168226748233,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.0360037793364822,-0.0503760771974308
"CD24",0.00919893377722461,0.0834159726448591,0.00851069081978633,0.00861361185016473,-0.00362168226748233,-0.00362168226748233,0.00362168226748233,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.00861361185016473,-0.0360037793364822,-0.0503760771974308
"GRHL2",0.0407445934879717,0.0658187464632144,-0.0465190937979926,0.0437077976559951,0.0380703301798459,-0.0619296698201541,-0.0380703301798459,-0.0437077976559951,-0.0437077976559951,-0.0437077976559951,-0.0437077976559951,-0.0437077976559951,0.0289658805000041,0.0241903271752366
"MIR34",0.0581400734680793,0.00580485999599966,-0.080682870540831,0.0616694852327852,0.0665674444164587,0.0665674444164587,-0.0665674444164587,-0.0616694852327852,-0.0616694852327852,-0.0616694852327852,-0.0616694852327852,-0.0616694852327852,-0.0257932486573871,-0.0243265143785671
"SNAIL1",0.0586646729293015,-0.0935375780414308,-0.0780813631253192,0.0581400734680793,0.0616694852327852,0.0616694852327852,-0.0616694852327852,-0.0581400734680793,-0.0581400734680793,-0.0581400734680793,-0.0581400734680793,-0.0581400734680793,-0.0293732009246902,-0.0262472534984309
"MIR190",0.0616694852327852,0.00675208597705513,-0.0842030791457854,0.0665674444164587,0.0630252100840336,0.0630252100840336,-0.0630252100840336,-0.0665674444164587,-0.0665674444164587,-0.0665674444164587,-0.0665674444164587,-0.0665674444164587,-0.130251847383502,-0.0215885743524915
