"","MIR34","MIR200","HA","CD24","MIR190","HAS2","ESRP1","ZEB1","MIR340","MIR1199","GRHL2","CD44s","TGFB","SNAIL1"
"HAS2",0.124476395475286,0.124476395475286,0.19531017369727,0.0953101736972705,0.103560998779779,0.103560998779779,0.103560998779779,-0.101678645838602,-0.103560998779779,-0.103560998779779,-0.103560998779779,-0.0953101736972705,-0.109256481019768,-0.11964301969143
"MIR1199",0.122724681842384,0.122724681842384,0.103560998779779,0.103560998779779,0.101678645838602,0.101678645838602,0.101678645838602,-0.0992923333667427,-0.101678645838602,-0.101678645838602,-0.101678645838602,-0.103560998779779,-0.114897506660794,-0.121801293072725
"HA",0.122724681842384,0.122724681842384,0.103560998779779,0.103560998779779,0.101678645838602,0.101678645838602,0.101678645838602,-0.0992923333667427,-0.101678645838602,-0.101678645838602,-0.101678645838602,-0.103560998779779,-0.114897506660794,-0.121801293072725
"CD44s",0.122724681842384,0.122724681842384,0.103560998779779,0.103560998779779,0.101678645838602,0.101678645838602,0.101678645838602,-0.0992923333667427,-0.101678645838602,-0.101678645838602,-0.101678645838602,-0.103560998779779,-0.114897506660794,-0.121801293072725
"CD24",0.122724681842384,0.122724681842384,0.103560998779779,0.103560998779779,0.101678645838602,0.101678645838602,0.101678645838602,-0.0992923333667427,-0.101678645838602,-0.101678645838602,-0.101678645838602,-0.103560998779779,-0.114897506660794,-0.121801293072725
"MIR190",0.108725711218465,0.108725711218465,0.0167693744164332,0.0167693744164332,0.0214015270049891,0.0214015270049891,0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0167693744164332,-0.210638906787678,-0.0912405953807956
"MIR34",0.108856089314945,0.108856089314945,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,-0.0201491550884806,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.113398991713368,-0.0911052773835019
"ZEB1",-0.121975833916117,-0.121975833916117,-0.101678645838602,-0.101678645838602,-0.0992923333667427,-0.0992923333667427,-0.0992923333667427,0.000803208345988952,0.0992923333667427,0.0992923333667427,0.0992923333667427,0.101678645838602,0.11309445534318,0.121621867235404
"GRHL2",0.00464935042521365,0.00464935042521365,-0.00308290143243445,-0.103082901432434,-0.00663884245585162,-0.00663884245585162,-0.00663884245585162,0.00784366173296005,0.00663884245585162,0.00663884245585162,0.00663884245585162,0.00308290143243445,-0.0017524762363427,-0.0858608764510903
"TGFB",-0.108856089314945,-0.108856089314945,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,-0.0214015270049891,0.0201491550884806,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.0214015270049891,0.113398991713368,0.0911052773835019
"SNAIL1",-0.108005128945385,-0.108005128945385,-0.0214015270049891,-0.0214015270049891,-0.0201491550884806,-0.0201491550884806,-0.0201491550884806,0.0203334738180992,0.0201491550884806,0.0201491550884806,0.0201491550884806,0.0214015270049891,0.113478546208197,-0.0081359972750717
"MIR340",-0.122724681842384,-0.122724681842384,-0.103560998779779,-0.103560998779779,-0.101678645838602,-0.101678645838602,-0.101678645838602,0.0992923333667427,0.101678645838602,0.101678645838602,0.101678645838602,0.103560998779779,0.114897506660794,0.121801293072725
"MIR200",-0.0101988535758933,-0.0101988535758933,-0.10567066066994,-0.10567066066994,-0.102959074803054,-0.102959074803054,-0.102959074803054,0.101303342219486,0.102959074803054,0.102959074803054,0.102959074803054,0.10567066066994,-0.0930862875638531,-0.0224096692445909
"ESRP1",-0.124476395475286,-0.124476395475286,-0.0953101736972705,-0.0953101736972705,-0.103560998779779,-0.103560998779779,-0.103560998779779,0.101678645838602,0.103560998779779,0.103560998779779,0.103560998779779,-0.00468982630272953,0.109256481019768,0.11964301969143
