"","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","TGFB","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","GRHL2","HA","MIR34"
"TWIST1",0.187955470731635,0.187955470731635,0.188080752615875,0.188080752615875,0.188080752615875,0.188080752615875,0.188080752615875,0.118039469002078,0.0823976706894397,0.124297811499212,-0.188063355260273,-0.0256653812122263,-0.0878181506664958,-0.188080752615875,-0.187955470731635,-0.102209917109892
"ESRP1",0.252257266542981,0.152257266542981,0.154038437026441,0.154038437026441,0.154038437026441,0.154038437026441,0.154038437026441,0.118566220797458,0.0977773713505374,0.0846154629684041,-0.153783551724827,-0.128993081065314,-0.143150065620654,-0.154038437026441,-0.152257266542981,-0.165342081414621
"MIR340",0.154038437026441,0.154038437026441,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.119822259444801,0.0978827454285142,0.0836108967583585,-0.153575032213359,-0.129466117962192,-0.142328147812435,-0.153783551724827,-0.154038437026441,-0.164920585102714
"MIR1199",0.154038437026441,0.154038437026441,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.119822259444801,0.0978827454285142,0.0836108967583585,-0.153575032213359,-0.129466117962192,-0.142328147812435,-0.153783551724827,-0.154038437026441,-0.164920585102714
"HA",0.154038437026441,0.154038437026441,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.119822259444801,0.0978827454285142,0.0836108967583585,-0.153575032213359,-0.129466117962192,-0.142328147812435,-0.153783551724827,-0.154038437026441,-0.164920585102714
"CD44s",0.154038437026441,0.154038437026441,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.119822259444801,0.0978827454285142,0.0836108967583585,-0.153575032213359,-0.129466117962192,-0.142328147812435,-0.153783551724827,-0.154038437026441,-0.164920585102714
"CD24",0.154038437026441,0.154038437026441,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.153783551724827,0.119822259444801,0.0978827454285142,0.0836108967583585,-0.153575032213359,-0.129466117962192,-0.142328147812435,-0.153783551724827,-0.154038437026441,-0.164920585102714
"TGFB",0.071946102174197,0.071946102174197,0.0718604123712835,0.0718604123712835,0.0718604123712835,0.0718604123712835,0.0718604123712835,-0.0263008113194994,-0.026683690459125,0.0226432632087901,-0.0721399474602934,-0.0242826466865901,-0.0837292405272557,-0.0718604123712835,-0.071946102174197,-0.0994433193556401
"MIR190",0.0709435959085328,0.0709435959085328,0.071946102174197,0.071946102174197,0.071946102174197,0.071946102174197,0.071946102174197,0.0719448027155883,-0.0254530017971716,0.0204875218977474,-0.0718604123712835,-0.026278932666163,-0.0826293725114176,-0.071946102174197,-0.0709435959085328,-0.0983173701542785
"GRHL2",0.0197431571724765,-0.0802568428275235,0.0191062144973173,0.0191062144973173,0.0191062144973173,0.0191062144973173,0.0191062144973173,0.00645463262281512,-0.00396430747323369,0.0709601356027729,-0.0190179921770703,-0.0896903397032999,-0.103905674135345,-0.0191062144973173,-0.0197431571724765,-0.0294973523335757
"ZEB1",-0.153783551724827,-0.153783551724827,-0.153575032213359,-0.153575032213359,-0.153575032213359,-0.153575032213359,-0.153575032213359,-0.119789739119598,-0.0975720161285691,-0.0842029815199665,0.0537889468512316,0.129531243328522,0.142296985456561,0.153575032213359,0.153783551724827,0.164975419685057
"SNAIL1",-0.0718604123712835,-0.0718604123712835,-0.0721399474602934,-0.0721399474602934,-0.0721399474602934,-0.0721399474602934,-0.0721399474602934,0.0270971708189306,0.0257381704231052,-0.0209565894510026,0.0718469589777716,-0.0745901648890754,0.0831670159413265,0.0721399474602934,0.0718604123712835,0.0988399875231322
"MIR34",-0.071946102174197,-0.071946102174197,-0.0718604123712835,-0.0718604123712835,-0.0718604123712835,-0.0718604123712835,-0.0718604123712835,0.0263008113194994,0.026683690459125,-0.0226432632087901,0.0721399474602934,0.0242826466865901,0.0837292405272557,0.0718604123712835,0.071946102174197,0.0994433193556401
"MIR200",-0.124066941669317,-0.124066941669317,-0.123509979644001,-0.123509979644001,-0.123509979644001,-0.123509979644001,-0.123509979644001,-0.09758554410408,-0.179973112806593,0.0190457028904512,0.123422121622563,0.00232355620218009,-0.038007590108907,0.123509979644001,0.124066941669317,0.0387353833844453
"HAS2",-0.152257266542981,-0.152257266542981,-0.154038437026441,-0.154038437026441,-0.154038437026441,-0.154038437026441,-0.154038437026441,-0.118566220797458,-0.0977773713505374,-0.0846154629684041,0.153783551724827,0.128993081065314,0.143150065620654,0.154038437026441,0.0522572665429808,0.165342081414621
"MIR129",-0.186912251655629,-0.186912251655629,-0.187955470731635,-0.187955470731635,-0.187955470731635,-0.187955470731635,-0.187955470731635,-0.116940567903177,-0.0827364449425964,-0.123800819608027,0.188080752615875,0.0265573806633035,-0.0126525606305753,0.187955470731635,0.186912251655629,0.101717154559845
