"","HA","CD24","HAS2","ESRP1","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","TGFB","MIR34","MIR340","MIR190","MIR1199","GRHL2","CD44s"
"MIR129",0.191688741721854,0.191688741721854,0.190496491349276,0.190496491349276,0.0821354709033587,0.0264944152933547,-0.186620146453591,0.205661517054544,-0.190421322218732,0.00748560523421303,-0.0821354709033587,-0.190496491349276,-0.190496491349276,-0.190496491349276,-0.190496491349276,-0.191688741721854
"MIR340",0.0905193861028103,0.0905193861028103,0.0916238890764722,0.0916238890764722,0.0883805612321139,0.0611940837776316,0.0594366850447431,0.0594366850447431,-0.0914153695650036,0.00158711539609326,-0.0883805612321139,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0905193861028103
"CD44s",0.0905193861028103,0.0905193861028103,0.0916238890764722,0.0916238890764722,0.0883805612321139,0.0611940837776316,0.0594366850447431,0.0594366850447431,-0.0914153695650036,0.00158711539609326,-0.0883805612321139,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0905193861028103
"CD24",0.0905193861028103,0.0905193861028103,0.0916238890764722,0.0916238890764722,0.0883805612321139,0.0611940837776316,0.0594366850447431,0.0594366850447431,-0.0914153695650036,0.00158711539609326,-0.0883805612321139,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0916238890764722,-0.0905193861028103
"MIR200",0.0788560482662251,0.0788560482662251,0.0793117444687567,0.0793117444687567,0.003830882104682,0.0783934695307449,0.0636996698240476,0.0636996698240476,-0.0786264519015453,-0.00732385264154498,-0.003830882104682,-0.0793117444687567,-0.0793117444687567,-0.0793117444687567,-0.0793117444687567,-0.0788560482662251
"SNAIL1",0.0224300696525056,0.0224300696525056,0.0235040728892276,0.0235040728892276,-0.0337493749882137,-0.104853259458143,0.0271712751716714,0.0271712751716714,-0.0231504660999773,0.0642651349280196,0.0337493749882137,-0.0235040728892276,-0.0235040728892276,-0.0235040728892276,-0.0235040728892276,-0.0224300696525056
"MIR190",0.0243023596319529,0.0243023596319529,0.0238011064991208,0.0238011064991208,-0.032683390424905,-0.00433884061037301,0.025259373312856,0.025259373312856,-0.0224300696525056,-0.0348311206079701,0.032683390424905,-0.0238011064991208,-0.0238011064991208,-0.0238011064991208,-0.0238011064991208,-0.0243023596319529
"ZEB1",-0.0916238890764722,-0.0916238890764722,-0.0914153695650036,-0.0914153695650036,-0.0886912905320591,-0.0616173986587778,-0.0587199508596387,-0.0587199508596387,-0.00883929071817864,-0.00187979832292253,0.0886912905320591,0.0914153695650036,0.0914153695650036,0.0914153695650036,0.0914153695650036,0.0916238890764722
"GRHL2",-0.00563598395012008,-0.10563598395012,-0.0043620985998016,-0.0043620985998016,-0.00901330970645474,0.0552476327378432,0.056734023998669,0.056734023998669,0.00480321020103672,0.00243920253164326,0.00901330970645474,0.0043620985998016,0.0043620985998016,0.0043620985998016,0.0043620985998016,0.00563598395012008
"TGFB",-0.0238011064991208,-0.0238011064991208,-0.0224300696525056,-0.0224300696525056,0.0342806671989296,0.00401386382300068,-0.0278550618302339,-0.0278550618302339,0.0235040728892276,-0.0637938201222338,-0.0342806671989296,0.0224300696525056,0.0224300696525056,0.0224300696525056,0.0224300696525056,0.0238011064991208
"MIR34",-0.0238011064991208,-0.0238011064991208,-0.0224300696525056,-0.0224300696525056,0.0342806671989296,0.00401386382300068,-0.0278550618302339,-0.0278550618302339,0.0235040728892276,-0.0637938201222338,-0.0342806671989296,0.0224300696525056,0.0224300696525056,0.0224300696525056,0.0224300696525056,0.0238011064991208
"MIR1199",-0.0905193861028103,-0.0905193861028103,-0.0916238890764722,-0.0916238890764722,-0.0883805612321139,-0.0611940837776316,-0.0594366850447431,-0.0594366850447431,0.0914153695650036,-0.00158711539609326,0.0883805612321139,0.0916238890764722,0.0916238890764722,0.0916238890764722,0.0916238890764722,0.0905193861028103
"HA",-0.0905193861028103,-0.0905193861028103,-0.0916238890764722,-0.0916238890764722,-0.0883805612321139,-0.0611940837776316,-0.0594366850447431,-0.0594366850447431,0.0914153695650036,-0.00158711539609326,0.0883805612321139,0.0916238890764722,0.0916238890764722,0.0916238890764722,0.0916238890764722,0.0905193861028103
"HAS2",0.00769944341372913,-0.0923005565862709,-0.0905193861028103,-0.0905193861028103,-0.0881698130761603,-0.0623293723301387,-0.0595280092456563,-0.0595280092456563,0.0916238890764722,-0.00129726032362949,0.0881698130761603,0.0905193861028103,0.0905193861028103,0.0905193861028103,0.0905193861028103,0.0923005565862709
"ESRP1",-0.0923005565862709,-0.0923005565862709,-0.0905193861028103,-0.0905193861028103,-0.0881698130761603,-0.0623293723301387,-0.0595280092456563,-0.0595280092456563,0.0916238890764722,-0.00129726032362949,0.0881698130761603,0.0905193861028103,0.0905193861028103,0.0905193861028103,0.0905193861028103,-0.00769944341372913
"TWIST1",-0.190496491349276,-0.190496491349276,-0.190421322218732,-0.190421322218732,-0.081488720056423,-0.0260964463074895,0.0854172175832979,-0.206890918048528,0.190856256108781,-0.00695024316038942,0.081488720056423,0.190421322218732,0.190421322218732,0.190421322218732,0.190421322218732,0.190496491349276
