"","HA","MIR34","HAS2","GRHL2","ESRP1","TWIST1","MIR129","TGFB","ZEB1","MIR200","MIR340","MIR190","MIR1199","CD44s","CD24","SNAIL1"
"TWIST1",0.184188692373743,0.127435799053429,0.192532465864096,0.192532465864096,0.192532465864096,0.0782934065016024,-0.0244923436336919,0.108449688102096,-0.191105882704736,-0.0645322229478879,-0.192532465864096,-0.192532465864096,-0.192532465864096,-0.184188692373743,-0.184188692373743,-0.0737712907843595
"TGFB",0.0999561450827414,0.141052021711484,0.101327181929357,0.101327181929357,0.101327181929357,0.076549108618073,0.076549108618073,-0.020885107244585,-0.106785472351602,0.0427304696489317,-0.101327181929357,-0.101327181929357,-0.101327181929357,-0.0999561450827414,-0.0999561450827414,-0.0577028212728324
"MIR34",0.0999561450827414,0.141052021711484,0.101327181929357,0.101327181929357,0.101327181929357,0.076549108618073,0.076549108618073,-0.020885107244585,-0.106785472351602,0.0427304696489317,-0.101327181929357,-0.101327181929357,-0.101327181929357,-0.0999561450827414,-0.0999561450827414,-0.0577028212728324
"HAS2",0.152195423623995,0.100029989029115,0.0753506399089823,0.0753506399089823,0.0753506399089823,0.0883797614150555,0.0883797614150555,0.0372257447308157,-0.1060218378699,-0.0415983670106897,-0.0753506399089823,-0.0753506399089823,-0.0753506399089823,-0.0521954236239951,-0.0521954236239951,-0.104152551667284
"ESRP1",0.0521954236239951,0.100029989029115,0.0753506399089823,0.0753506399089823,0.0753506399089823,0.0883797614150555,0.0883797614150555,0.0372257447308157,-0.1060218378699,-0.0415983670106897,-0.0753506399089823,-0.0753506399089823,-0.0753506399089823,-0.152195423623995,-0.0521954236239951,-0.104152551667284
"MIR340",0.0753506399089823,0.1150984821798,0.1060218378699,0.1060218378699,0.1060218378699,0.0828089851593478,0.0828089851593478,0.054327194006178,-0.0902041434999267,-0.0645699160096359,-0.1060218378699,-0.1060218378699,-0.1060218378699,-0.0753506399089823,-0.0753506399089823,-0.102828048356026
"MIR1199",0.0753506399089823,0.1150984821798,0.1060218378699,0.1060218378699,0.1060218378699,0.0828089851593478,0.0828089851593478,0.054327194006178,-0.0902041434999267,-0.0645699160096359,-0.1060218378699,-0.1060218378699,-0.1060218378699,-0.0753506399089823,-0.0753506399089823,-0.102828048356026
"HA",0.0753506399089823,0.1150984821798,0.1060218378699,0.1060218378699,0.1060218378699,0.0828089851593478,0.0828089851593478,0.054327194006178,-0.0902041434999267,-0.0645699160096359,-0.1060218378699,-0.1060218378699,-0.1060218378699,-0.0753506399089823,-0.0753506399089823,-0.102828048356026
"CD24",0.0753506399089823,0.1150984821798,0.1060218378699,0.1060218378699,0.1060218378699,0.0828089851593478,0.0828089851593478,0.054327194006178,-0.0902041434999267,-0.0645699160096359,-0.1060218378699,-0.1060218378699,-0.1060218378699,-0.0753506399089823,-0.0753506399089823,-0.102828048356026
"MIR200",0.0414991277261489,-0.0158039502741761,0.0647396340552628,0.0647396340552628,0.0647396340552628,-0.0332992823447111,-0.0332992823447111,0.0440908259201857,-0.0548468208414164,-0.154903251324541,-0.0647396340552628,-0.0647396340552628,-0.0647396340552628,-0.0414991277261489,-0.0414991277261489,0.0400373119404232
"ZEB1",-0.1060218378699,-0.104880971669838,-0.0902041434999267,-0.0902041434999267,-0.0902041434999267,-0.0838373429031932,-0.0838373429031932,-0.0802458931931699,-0.0252486424835713,0.0553759843700819,0.0902041434999267,0.0902041434999267,0.0902041434999267,0.1060218378699,0.1060218378699,0.109829025236521
"CD44s",-0.0753506399089823,-0.1150984821798,-0.1060218378699,-0.1060218378699,-0.1060218378699,-0.0828089851593478,-0.0828089851593478,-0.054327194006178,0.0902041434999267,0.0645699160096359,0.1060218378699,0.1060218378699,0.1060218378699,0.0753506399089823,0.0753506399089823,0.102828048356026
"MIR190",-0.112236846837127,-0.126728900475558,-0.0999561450827414,-0.0999561450827414,-0.0999561450827414,-0.0385816647113418,-0.0385816647113418,-0.0791623085923045,0.101327181929357,-0.0300831797824745,0.0999561450827414,0.0999561450827414,0.0999561450827414,0.112236846837127,0.112236846837127,0.0861615027955808
"SNAIL1",-0.101327181929357,-0.133352787132465,-0.106785472351602,-0.106785472351602,-0.106785472351602,-0.0448062124016925,-0.0448062124016925,0.0282148650862882,0.106411659460109,-0.0283495601487066,0.106785472351602,0.106785472351602,0.106785472351602,0.101327181929357,0.101327181929357,-0.021232345407158
"GRHL2",-0.117388448859653,-0.182356899146999,-0.14617825777685,-0.14617825777685,-0.14617825777685,-0.104172131283852,-0.104172131283852,-0.107414857763843,0.142428809166352,0.120931029823418,0.14617825777685,0.14617825777685,0.14617825777685,0.117388448859653,0.017388448859653,0.128208837785637
"MIR129",-0.184486754966887,-0.113638447652135,-0.184188692373743,-0.184188692373743,-0.184188692373743,-0.151933573865619,0.0508329138664933,-0.101940812362451,0.192532465864096,0.0680739537763449,0.184188692373743,0.184188692373743,0.184188692373743,0.184486754966887,0.184486754966887,0.0942598320221803
