"","HA","MIR340","MIR190","GRHL2","TGFB","MIR34","TWIST1","MIR129","SNAIL1","ZEB1","MIR200","MIR1199","HAS2","ESRP1","CD44s","CD24"
"TWIST1",0.305841685501196,0.308823394346097,0.308823394346097,0.308823394346097,0.206378147936192,0.152574336873978,0.0499945853808342,-0.0582268991362554,-0.0384399489879691,-0.308666818145679,-0.152574336873978,-0.308823394346097,-0.308823394346097,-0.308823394346097,-0.305841685501196,-0.305841685501196
"MIR200",0.233841760623782,0.23672783657315,0.23672783657315,0.23672783657315,0.0102382545339375,0.0965832384709959,0.0672294950727312,0.0672294950727312,-0.083581741231373,-0.236921124220312,-0.0965832384709959,-0.23672783657315,-0.23672783657315,-0.23672783657315,-0.233841760623782,-0.233841760623782
"MIR340",0.232308440378233,0.236641490505676,0.236641490505676,0.236641490505676,0.218141644932367,0.205713879558903,0.045845935745694,0.045845935745694,-0.0348683721525038,-0.2361946629811,-0.205713879558903,-0.236641490505676,-0.236641490505676,-0.236641490505676,-0.232308440378233,-0.232308440378233
"HA",0.232308440378233,0.236641490505676,0.236641490505676,0.236641490505676,0.218141644932367,0.205713879558903,0.045845935745694,0.045845935745694,-0.0348683721525038,-0.2361946629811,-0.205713879558903,-0.236641490505676,-0.236641490505676,-0.236641490505676,-0.232308440378233,-0.232308440378233
"CD24",0.232308440378233,0.236641490505676,0.236641490505676,0.236641490505676,0.218141644932367,0.205713879558903,0.045845935745694,0.045845935745694,-0.0348683721525038,-0.2361946629811,-0.205713879558903,-0.236641490505676,-0.236641490505676,-0.236641490505676,-0.232308440378233,-0.232308440378233
"MIR34",0.159253849912298,0.160367817350173,0.160367817350173,0.160367817350173,0.0315689490013421,0.016552355994782,0.0437690175151228,0.0437690175151228,-0.0300261537868891,-0.160235405992221,-0.016552355994782,-0.160367817350173,-0.160367817350173,-0.160367817350173,-0.159253849912298,-0.159253849912298
"GRHL2",0.0575939201384228,0.0611607991193145,0.0611607991193145,0.0611607991193145,0.0521922499153077,0.0465968557301766,0.0494211143588294,0.0494211143588294,-0.0420487226417894,-0.0597051308352386,-0.0465968557301766,-0.0611607991193145,-0.0611607991193145,-0.0611607991193145,-0.0575939201384228,-0.157593920138423
"ZEB1",-0.236641490505676,-0.2361946629811,-0.2361946629811,-0.2361946629811,-0.220515628672205,-0.20690196217634,-0.0413273941439489,-0.0413273941439489,0.0375385121720414,0.137325354638429,0.20690196217634,0.2361946629811,0.2361946629811,0.2361946629811,0.236641490505676,0.236641490505676
"TGFB",-0.159253849912298,-0.160367817350173,-0.160367817350173,-0.160367817350173,-0.0315689490013421,-0.016552355994782,-0.0437690175151228,-0.0437690175151228,0.0300261537868891,0.160235405992221,0.016552355994782,0.160367817350173,0.160367817350173,0.160367817350173,0.159253849912298,0.159253849912298
"MIR190",-0.15850197021305,-0.159253849912298,-0.159253849912298,-0.159253849912298,0.0705647636586863,-0.0172593473537765,-0.0390615824073357,-0.0390615824073357,0.0318831640004452,0.160367817350173,0.0172593473537765,0.159253849912298,0.159253849912298,0.159253849912298,0.15850197021305,0.15850197021305
"SNAIL1",-0.160367817350173,-0.160235405992221,-0.160235405992221,-0.160235405992221,-0.0315526967666599,-0.0171917076381859,-0.0409275040673185,-0.0409275040673185,-0.0690545081365261,0.1609325165196,0.0171917076381859,0.160235405992221,0.160235405992221,0.160235405992221,0.160367817350173,0.160367817350173
"MIR1199",-0.232308440378233,-0.236641490505676,-0.236641490505676,-0.236641490505676,-0.218141644932367,-0.205713879558903,-0.045845935745694,-0.045845935745694,0.0348683721525038,0.2361946629811,0.205713879558903,0.236641490505676,0.236641490505676,0.236641490505676,0.232308440378233,0.232308440378233
"CD44s",-0.232308440378233,-0.236641490505676,-0.236641490505676,-0.236641490505676,-0.218141644932367,-0.205713879558903,-0.045845935745694,-0.045845935745694,0.0348683721525038,0.2361946629811,0.205713879558903,0.236641490505676,0.236641490505676,0.236641490505676,0.232308440378233,0.232308440378233
"HAS2",-0.333580705009276,-0.232308440378233,-0.232308440378233,-0.232308440378233,-0.217851789859903,-0.204554764701158,-0.0399098626863333,-0.0399098626863333,0.0386526673275275,0.236641490505676,0.204554764701158,0.232308440378233,0.232308440378233,0.232308440378233,0.233580705009276,0.233580705009276
"ESRP1",-0.233580705009276,-0.232308440378233,-0.232308440378233,-0.232308440378233,-0.217851789859903,-0.204554764701158,-0.0399098626863333,-0.0399098626863333,0.0386526673275275,0.236641490505676,0.204554764701158,0.232308440378233,0.232308440378233,0.232308440378233,0.333580705009276,0.233580705009276
"MIR129",-0.305394591611479,-0.305841685501196,-0.305841685501196,-0.305841685501196,-0.204321230494659,-0.152451146236467,-0.143875338518909,0.0643215891702601,0.0414727471216317,0.308823394346097,0.152451146236467,0.305841685501196,0.305841685501196,0.305841685501196,0.305394591611479,0.305394591611479
