"","TGFB","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR34","TWIST1","ZEB1","MIR129","SNAIL1","MIR340","HA","CD44s","CD24","MIR200"
"HAS2",0.139028922396062,0.104890547475062,0.104890547475062,0.104890547475062,0.104890547475062,0.104890547475062,0.094467127502145,0.02238467414938,-0.12502648630259,-0.02238467414938,-0.0595437051344377,-0.104890547475062,-0.228045763760049,-0.128045763760049,-0.128045763760049,-0.142264651459043
"TGFB",0.171108918812094,0.10433271768774,0.10433271768774,0.10433271768774,0.10433271768774,0.10433271768774,-0.0379311619467112,-0.0780875069906142,-0.122826170681708,0.0780875069906142,0.0503807551355856,-0.10433271768774,-0.125498099007363,-0.125498099007363,-0.125498099007363,-0.145015198708572
"MIR1199",0.132555492444372,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.121864387776118,0.0655810211813435,-0.107778943853975,-0.0655810211813435,-0.0258634780767272,-0.12502648630259,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.139841047665576
"CD44s",0.132555492444372,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.121864387776118,0.0655810211813435,-0.107778943853975,-0.0655810211813435,-0.0258634780767272,-0.12502648630259,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.139841047665576
"CD24",0.132555492444372,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.12502648630259,0.121864387776118,0.0655810211813435,-0.107778943853975,-0.0655810211813435,-0.0258634780767272,-0.12502648630259,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.139841047665576
"SNAIL1",0.164949321867514,0.122826170681708,0.122826170681708,0.122826170681708,0.122826170681708,0.122826170681708,-0.0129784379485122,-0.0396890872975584,-0.107115926187871,0.0396890872975584,-0.0192650998488256,-0.122826170681708,-0.10433271768774,-0.10433271768774,-0.10433271768774,-0.142700925858504
"MIR190",0.263190474051544,0.125498099007363,0.125498099007363,0.125498099007363,0.125498099007363,0.125498099007363,-0.00904925568852839,-0.0335208549888544,-0.10433271768774,0.0335208549888544,0.0855246734271362,-0.125498099007363,-0.0999341892329269,-0.0999341892329269,-0.0999341892329269,-0.142003939216558
"MIR129",0.00224278917994113,-0.00856118590091557,-0.00856118590091557,-0.00856118590091557,-0.00856118590091557,-0.00856118590091557,0.00677763286528257,0.130578950252501,-0.0132128055799163,0.0705732589341348,-0.0805389613822489,0.00856118590091557,-0.0176683222958057,-0.0176683222958057,-0.0176683222958057,0.00733166366028787
"TWIST1",-0.00567493412239756,0.0132128055799163,0.0132128055799163,0.0132128055799163,0.0132128055799163,0.0132128055799163,0.0365281718243217,0.0768655611311623,0.00581990144861536,0.0243006981180218,-0.044186552983731,-0.0132128055799163,0.00856118590091557,0.00856118590091557,0.00856118590091557,0.0103190366199429
"ZEB1",-0.138766874558193,-0.107778943853975,-0.107778943853975,-0.107778943853975,-0.107778943853975,-0.107778943853975,-0.0982672391743995,-0.0286536294705302,0.0227224092711085,0.0286536294705302,0.0547140153609994,0.107778943853975,0.12502648630259,0.12502648630259,0.12502648630259,0.142272047482794
"MIR340",-0.132555492444372,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.121864387776118,-0.0655810211813435,0.107778943853975,0.0655810211813435,0.0258634780767272,0.12502648630259,0.104890547475062,0.104890547475062,0.104890547475062,0.139841047665576
"HA",-0.132555492444372,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.12502648630259,-0.121864387776118,-0.0655810211813435,0.107778943853975,0.0655810211813435,0.0258634780767272,0.12502648630259,0.104890547475062,0.104890547475062,0.104890547475062,0.139841047665576
"MIR34",-0.171108918812094,-0.10433271768774,-0.10433271768774,-0.10433271768774,-0.10433271768774,-0.10433271768774,0.0379311619467112,0.0780875069906142,0.122826170681708,-0.0780875069906142,-0.0503807551355856,0.10433271768774,0.125498099007363,0.125498099007363,0.125498099007363,0.145015198708572
"ESRP1",-0.139028922396062,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.104890547475062,-0.094467127502145,-0.02238467414938,0.12502648630259,0.02238467414938,0.0595437051344377,0.104890547475062,0.128045763760049,0.0280457637600495,0.128045763760049,0.142264651459043
"MIR200",-0.345446093082082,-0.15339282943371,-0.15339282943371,-0.15339282943371,-0.15339282943371,-0.15339282943371,-0.0445839061918365,0.0341642827119483,0.134538498033253,-0.0341642827119483,-0.0790394943685614,0.15339282943371,0.13106371550966,0.13106371550966,0.13106371550966,0.244225611969585
"GRHL2",-0.254270644081506,-0.271989507894067,-0.271989507894067,-0.271989507894067,-0.271989507894067,-0.271989507894067,-0.264414117920563,-0.0697958376333128,0.264446499512946,0.0697958376333128,0.0560716468263912,0.271989507894067,0.262690144836742,0.262690144836742,0.162690144836742,0.245091783749311
