"","HA","CD24","MIR340","MIR190","HAS2","GRHL2","ESRP1","MIR34","TWIST1","MIR129","TGFB","SNAIL1","ZEB1","MIR200","MIR1199","CD44s"
"ESRP1",0.310204081632653,0.310204081632653,0.309440722854027,0.309440722854027,0.309440722854027,0.309440722854027,0.309440722854027,0.275459850775821,0.0872405006757948,0.0872405006757948,-0.0125904071137337,-0.130337749038464,-0.328387196940688,-0.233170787176231,-0.309440722854027,-0.410204081632653
"MIR340",0.309440722854027,0.309440722854027,0.328387196940688,0.328387196940688,0.328387196940688,0.328387196940688,0.328387196940688,0.29073909208246,0.0977427837808176,0.0977427837808176,-0.010947895036439,-0.127594135036572,-0.327404176386622,-0.241389965258423,-0.328387196940688,-0.309440722854027
"GRHL2",0.105654897749139,0.205654897749139,0.120049802207737,0.120049802207737,0.120049802207737,0.120049802207737,0.120049802207737,0.110413135461412,0.0794085452548477,0.0794085452548477,-0.00714487403788904,-0.0885200311995066,-0.114403573711928,-0.0765326354376504,-0.120049802207737,-0.105654897749139
"TGFB",0.112712501936684,0.112712501936684,0.112284052922117,0.112284052922117,0.112284052922117,0.112284052922117,0.112284052922117,0.125342140995149,0.041965977400342,0.041965977400342,-0.0780902155294882,-0.0340622087659877,-0.114270223291398,0.00721637037310201,-0.112284052922117,-0.112712501936684
"MIR34",0.112712501936684,0.112712501936684,0.112284052922117,0.112284052922117,0.112284052922117,0.112284052922117,0.112284052922117,0.125342140995149,0.041965977400342,0.041965977400342,-0.0780902155294882,-0.0340622087659877,-0.114270223291398,0.00721637037310201,-0.112284052922117,-0.112712501936684
"TWIST1",0.0841521788836141,0.0841521788836141,0.0921451630980967,0.0921451630980967,0.0921451630980967,0.0921451630980967,0.0921451630980967,0.0573422808166489,0.0981446473360651,-0.19470854766824,0.00268544228461002,0.00649482395654854,-0.0901966592706785,-0.0614286610397954,-0.0921451630980967,-0.0841521788836141
"MIR129",-0.088325055187638,-0.088325055187638,-0.0841521788836141,-0.0841521788836141,-0.0841521788836141,-0.0841521788836141,-0.0841521788836141,-0.0502588191597348,-0.191450086666609,0.201378701997301,-0.00102300216063144,-0.00401094856201033,0.0921451630980967,0.0586876693551634,0.0841521788836141,0.088325055187638
"MIR190",-0.108201223741196,-0.108201223741196,-0.112712501936684,-0.112712501936684,-0.112712501936684,-0.112712501936684,-0.112712501936684,-0.126520459926806,-0.0457055286541916,-0.0457055286541916,-0.023284843740308,0.0325766005951428,0.112284052922117,-0.00787099200180062,0.112712501936684,0.108201223741196
"SNAIL1",-0.112284052922117,-0.112284052922117,-0.114270223291398,-0.114270223291398,-0.114270223291398,-0.114270223291398,-0.114270223291398,-0.127134126587225,-0.044230071003138,-0.044230071003138,0.0775213873156087,-0.0663614861736557,0.113957028706633,-0.00657701872969814,0.114270223291398,0.112284052922117
"ZEB1",-0.328387196940688,-0.328387196940688,-0.327404176386622,-0.327404176386622,-0.327404176386622,-0.327404176386622,-0.327404176386622,-0.289075776418047,-0.0923516962145976,-0.0923516962145976,0.0131267568250569,0.131664470432209,0.236419150411273,0.241846920111283,0.327404176386622,0.328387196940688
"MIR200",-0.270673699980759,-0.270673699980759,-0.283787624031392,-0.283787624031392,-0.283787624031392,-0.283787624031392,-0.283787624031392,-0.33829423111036,-0.0941246677054125,-0.0941246677054125,0.00541803025808388,0.13224253848423,0.283032045047031,0.114198797676504,0.283787624031392,0.270673699980759
"MIR1199",-0.309440722854027,-0.309440722854027,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.29073909208246,-0.0977427837808176,-0.0977427837808176,0.010947895036439,0.127594135036572,0.327404176386622,0.241389965258423,0.328387196940688,0.309440722854027
"HA",-0.309440722854027,-0.309440722854027,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.29073909208246,-0.0977427837808176,-0.0977427837808176,0.010947895036439,0.127594135036572,0.327404176386622,0.241389965258423,0.328387196940688,0.309440722854027
"CD44s",-0.309440722854027,-0.309440722854027,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.29073909208246,-0.0977427837808176,-0.0977427837808176,0.010947895036439,0.127594135036572,0.327404176386622,0.241389965258423,0.328387196940688,0.309440722854027
"CD24",-0.309440722854027,-0.309440722854027,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.328387196940688,-0.29073909208246,-0.0977427837808176,-0.0977427837808176,0.010947895036439,0.127594135036572,0.327404176386622,0.241389965258423,0.328387196940688,0.309440722854027
"HAS2",-0.210204081632653,-0.310204081632653,-0.309440722854027,-0.309440722854027,-0.309440722854027,-0.309440722854027,-0.309440722854027,-0.275459850775821,-0.0872405006757948,-0.0872405006757948,0.0125904071137337,0.130337749038464,0.328387196940688,0.233170787176231,0.309440722854027,0.310204081632653
