"","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","MIR34","TGFB","ESRP1","HA","CD44s","CD24"
"GRHL2",0.213010927147253,0.213010927147253,0.213010927147253,0.213010927147253,0.213010927147253,0.215133753561601,0.0802339537401163,-0.211775814663795,-0.0546031648895029,-0.0802339537401163,-0.215133753561601,-0.210286369144567,-0.213010927147253,-0.211227487656807,-0.211227487656807,-0.311227487656807
"HAS2",0.106482648576433,0.106482648576433,0.106482648576433,0.106482648576433,0.106482648576433,0.0858946545894162,0.0563993575052399,-0.110475851635056,-0.0419420408049851,-0.0563993575052399,-0.0858946545894162,-0.100573530593815,-0.106482648576433,-0.211317254174397,-0.111317254174397,-0.111317254174397
"ESRP1",0.106482648576433,0.106482648576433,0.106482648576433,0.106482648576433,0.106482648576433,0.0858946545894162,0.0563993575052399,-0.110475851635056,-0.0419420408049851,-0.0563993575052399,-0.0858946545894162,-0.100573530593815,-0.106482648576433,-0.111317254174397,-0.011317254174397,-0.111317254174397
"MIR340",0.110475851635056,0.110475851635056,0.110475851635056,0.110475851635056,0.110475851635056,0.0951675734513761,0.0643445629846919,-0.107407635966304,-0.0281293634161487,-0.0643445629846919,-0.0951675734513761,-0.0912015499174861,-0.110475851635056,-0.106482648576433,-0.106482648576433,-0.106482648576433
"CD44s",0.110475851635056,0.110475851635056,0.110475851635056,0.110475851635056,0.110475851635056,0.0951675734513761,0.0643445629846919,-0.107407635966304,-0.0281293634161487,-0.0643445629846919,-0.0951675734513761,-0.0912015499174861,-0.110475851635056,-0.106482648576433,-0.106482648576433,-0.106482648576433
"MIR34",0.0752179564102256,0.0752179564102256,0.0752179564102256,0.0752179564102256,0.0752179564102256,-0.0525868620891186,-0.173510552903834,-0.0795875312226429,0.0627587891837778,0.173510552903834,0.0525868620891186,0.0326613740903913,-0.0752179564102256,-0.080959173205427,-0.080959173205427,-0.080959173205427
"SNAIL1",0.0795875312226429,0.0795875312226429,0.0795875312226429,0.0795875312226429,0.0795875312226429,-0.0423302209364846,-0.164864450487788,-0.0761726999435966,-0.021964210256625,0.164864450487788,0.0423302209364846,0.0432090743991838,-0.0795875312226429,-0.0752179564102256,-0.0752179564102256,-0.0752179564102256
"MIR190",0.080959173205427,0.080959173205427,0.080959173205427,0.080959173205427,0.080959173205427,-0.0391016565379271,-0.161499994170882,-0.0752179564102256,0.0823038216814566,0.161499994170882,0.0391016565379271,-0.0540147757436533,-0.080959173205427,-0.0736910027793618,-0.0736910027793618,-0.0736910027793618
"MIR129",0.0115137163075769,0.0115137163075769,0.0115137163075769,0.0115137163075769,0.0115137163075769,0.0202159009938213,0.310624247371709,-0.017201513852052,-0.0736198602301601,-0.274981513046137,-0.0202159009938213,-0.0292023828141569,-0.0115137163075769,-0.0186672185430464,-0.0186672185430464,-0.0186672185430464
"ZEB1",-0.107407635966304,-0.107407635966304,-0.107407635966304,-0.107407635966304,-0.107407635966304,-0.0879476867761796,-0.0579562800305006,0.00976069698290826,0.038744798127969,0.0579562800305006,0.0879476867761796,0.0984535824378113,0.107407635966304,0.110475851635056,0.110475851635056,0.110475851635056
"TWIST1",-0.017201513852052,-0.017201513852052,-0.017201513852052,-0.017201513852052,-0.017201513852052,-0.0335204898450686,-0.32252589529219,0.0128869696627687,0.0542566106075445,0.186906199238605,0.0335204898450686,0.0159873926760898,0.017201513852052,0.0115137163075769,0.0115137163075769,0.0115137163075769
"TGFB",-0.0752179564102256,-0.0752179564102256,-0.0752179564102256,-0.0752179564102256,-0.0752179564102256,0.0525868620891186,0.173510552903834,0.0795875312226429,-0.0627587891837778,-0.173510552903834,-0.0525868620891186,-0.0326613740903913,0.0752179564102256,0.080959173205427,0.080959173205427,0.080959173205427
"MIR200",-0.0982338631210223,-0.0982338631210223,-0.0982338631210223,-0.0982338631210223,-0.0982338631210223,-0.196386983483891,-0.151233056475322,0.0987785828539339,0.102630814221675,0.151233056475322,0.196386983483891,0.0978711317618044,0.0982338631210223,0.0987908251463387,0.0987908251463387,0.0987908251463387
"MIR1199",-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.0951675734513761,-0.0643445629846919,0.107407635966304,0.0281293634161487,0.0643445629846919,0.0951675734513761,0.0912015499174861,0.110475851635056,0.106482648576433,0.106482648576433,0.106482648576433
"HA",-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.0951675734513761,-0.0643445629846919,0.107407635966304,0.0281293634161487,0.0643445629846919,0.0951675734513761,0.0912015499174861,0.110475851635056,0.106482648576433,0.106482648576433,0.106482648576433
"CD24",-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.110475851635056,-0.0951675734513761,-0.0643445629846919,0.107407635966304,0.0281293634161487,0.0643445629846919,0.0951675734513761,0.0912015499174861,0.110475851635056,0.106482648576433,0.106482648576433,0.106482648576433
