"","SNAIL1","MIR200","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","CD24","MIR34","ZEB1","TGFB","HA","TWIST1","MIR129"
"MIR200",-0.0682467587486846,0.00469623543559102,0.0894945456391115,0.0894945456391115,0.0894945456391115,0.0894945456391115,0.0894945456391115,0.0894945456391115,0.0908616342467065,0.0908616342467065,0.176312196656945,-0.0885281074033006,0.00891386676984963,-0.0908616342467065,0.0475188202048513,0.0952344976162001
"TGFB",-0.125805512712727,-0.0744907099563345,0.0861679275282682,0.0861679275282682,0.0861679275282682,0.0861679275282682,0.0861679275282682,0.0861679275282682,0.0893384502360659,0.0893384502360659,0.155452147314513,-0.085035074799123,-0.111490378171702,-0.0893384502360659,0.0392423764150519,0.132915631546788
"HA",0.094039360110861,0.0927664378800736,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.0672213646041345,0.0672213646041345,0.0479337409689811,-0.065493378420735,0.0130149350115837,-0.0672213646041345,-0.0698714704580942,-0.115622214261699
"CD44s",0.094039360110861,0.0927664378800736,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.0672213646041345,0.0672213646041345,0.0479337409689811,-0.065493378420735,0.0130149350115837,-0.0672213646041345,-0.0698714704580942,-0.115622214261699
"CD24",0.094039360110861,0.0927664378800736,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.064927396889606,0.0672213646041345,0.0672213646041345,0.0479337409689811,-0.065493378420735,0.0130149350115837,-0.0672213646041345,-0.0698714704580942,-0.115622214261699
"ESRP1",0.0960261150777485,0.0940309268157954,0.0672213646041345,0.0672213646041345,0.0672213646041345,0.0672213646041345,0.0672213646041345,0.0672213646041345,0.169511440940012,0.0695114409400124,0.0495143521386334,-0.064927396889606,0.0113724229342891,-0.0695114409400124,-0.0725198722845782,-0.114069702846173
"ZEB1",-0.0930624796159083,-0.0923460394154419,-0.065493378420735,-0.065493378420735,-0.065493378420735,-0.065493378420735,-0.065493378420735,-0.065493378420735,-0.064927396889606,-0.064927396889606,-0.0490487108099608,-0.0332944386313175,-0.0131124959871935,0.064927396889606,0.068032891461522,0.113409686994637
"GRHL2",-0.0709159374754528,0.00700884508707627,0.0180603704150241,0.0180603704150241,0.0180603704150241,0.0180603704150241,0.0180603704150241,0.0180603704150241,0.0169138735997375,0.116913873599737,0.0297543197590874,-0.0170458137321833,-0.00634317187232533,-0.0169138735997375,0.0630948593313818,0.0904359141600482
"MIR129",-0.149010848576612,-0.0730623975326987,0.00880240358201492,0.00880240358201492,0.00880240358201492,0.00880240358201492,0.00880240358201492,0.00880240358201492,0.0089514348785872,0.0089514348785872,0.087173341481997,-0.00662249879624694,-0.0541870433994539,-0.0089514348785872,-0.0490862224606395,0.0512949651103994
"TWIST1",0.148091402988579,0.0729392068951872,-0.00662249879624694,-0.00662249879624694,-0.00662249879624694,-0.00662249879624694,-0.00662249879624694,-0.00662249879624694,-0.00880240358201492,-0.00880240358201492,-0.0843707544786093,0.00580482308295536,0.0540461586431845,0.00880240358201492,-0.048194112267394,-0.0475544471925338
"HAS2",-0.0960261150777485,-0.0940309268157954,-0.0672213646041345,-0.0672213646041345,-0.0672213646041345,-0.0672213646041345,-0.0672213646041345,-0.0672213646041345,-0.0695114409400124,-0.0695114409400124,-0.0495143521386334,0.064927396889606,-0.0113724229342891,-0.0304885590599876,0.0725198722845782,0.114069702846173
"MIR340",-0.094039360110861,-0.0927664378800736,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.0672213646041345,-0.0672213646041345,-0.0479337409689811,0.065493378420735,-0.0130149350115837,0.0672213646041345,0.0698714704580942,0.115622214261699
"MIR1199",-0.094039360110861,-0.0927664378800736,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.064927396889606,-0.0672213646041345,-0.0672213646041345,-0.0479337409689811,0.065493378420735,-0.0130149350115837,0.0672213646041345,0.0698714704580942,0.115622214261699
"MIR34",0.125805512712727,0.0744907099563345,-0.0861679275282682,-0.0861679275282682,-0.0861679275282682,-0.0861679275282682,-0.0861679275282682,-0.0861679275282682,-0.0893384502360659,-0.0893384502360659,-0.155452147314513,0.085035074799123,0.111490378171702,0.0893384502360659,-0.0392423764150519,-0.132915631546788
"SNAIL1",0.0273164248559836,0.0749139427343624,-0.085035074799123,-0.085035074799123,-0.085035074799123,-0.085035074799123,-0.085035074799123,-0.085035074799123,-0.0861679275282682,-0.0861679275282682,-0.154488617373045,0.085681670070895,0.110336469509261,0.0861679275282682,-0.0405643639549394,-0.131532862970584
"MIR190",0.12650189154281,0.0744121553608907,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.0893384502360659,-0.159248952760965,0.0861679275282682,0.0121067840512659,0.0893384502360659,-0.0419260543736968,-0.13806301386091
