"","MIR34","HA","CD24","MIR190","MIR1199","HAS2","ESRP1","TWIST1","MIR200","SNAIL1","TGFB","ZEB1","MIR129","MIR340","GRHL2","CD44s"
"MIR129",0.168411603569601,0.31326710816777,0.31326710816777,0.315800640209499,0.315800640209499,0.315800640209499,0.315800640209499,-0.233692877187214,0.170007761652858,-0.019776350292743,0.00300532403157701,-0.315725471078955,0.26469472733238,-0.315800640209499,-0.315800640209499,-0.31326710816777
"MIR190",0.0321734069601858,0.197153132047943,0.197153132047943,0.201163157110599,0.201163157110599,0.201163157110599,0.201163157110599,-0.143628413974429,0.178721687700617,-0.0553112748720425,-0.0113426505220064,-0.200306259081465,0.143628413974429,-0.201163157110599,-0.201163157110599,-0.197153132047943
"HAS2",0.162698805872591,0.26178107606679,0.16178107606679,0.158473188026078,0.158473188026078,0.158473188026078,0.158473188026078,0.144086799475035,0.130380593488028,0.120592632458509,-0.0114115093831118,-0.158558149793283,-0.144086799475035,-0.158473188026078,-0.158473188026078,-0.16178107606679
"MIR1199",0.167335265303571,0.158473188026078,0.158473188026078,0.158558149793283,0.158558149793283,0.158558149793283,0.158558149793283,0.150388169338048,0.125849508135025,0.112267183073457,-0.00783663015605868,-0.156919782203172,-0.150388169338048,-0.158558149793283,-0.158558149793283,-0.158473188026078
"HA",0.167335265303571,0.158473188026078,0.158473188026078,0.158558149793283,0.158558149793283,0.158558149793283,0.158558149793283,0.150388169338048,0.125849508135025,0.112267183073457,-0.00783663015605868,-0.156919782203172,-0.150388169338048,-0.158558149793283,-0.158558149793283,-0.158473188026078
"CD44s",0.167335265303571,0.158473188026078,0.158473188026078,0.158558149793283,0.158558149793283,0.158558149793283,0.158558149793283,0.150388169338048,0.125849508135025,0.112267183073457,-0.00783663015605868,-0.156919782203172,-0.150388169338048,-0.158558149793283,-0.158558149793283,-0.158473188026078
"CD24",0.167335265303571,0.158473188026078,0.158473188026078,0.158558149793283,0.158558149793283,0.158558149793283,0.158558149793283,0.150388169338048,0.125849508135025,0.112267183073457,-0.00783663015605868,-0.156919782203172,-0.150388169338048,-0.158558149793283,-0.158558149793283,-0.158473188026078
"MIR200",0.211465319492798,0.0896537198170347,0.0896537198170347,0.0880840995638701,0.0880840995638701,0.0880840995638701,0.0880840995638701,0.184645889888156,-0.0199289688397765,0.134606627608992,-0.0109509011470632,-0.0874690934138086,-0.184645889888156,-0.0880840995638701,-0.0880840995638701,-0.0896537198170347
"GRHL2",0.0423240580650015,0.0289625303918498,-0.0710374696081502,0.0298542501370727,0.0298542501370727,0.0298542501370727,0.0298542501370727,0.107766908806575,0.0115830544208892,0.0794577823245832,-0.0052060407922122,-0.0286191376536144,-0.107766908806575,-0.0298542501370727,-0.0298542501370727,-0.0289625303918498
"ZEB1",-0.16311300246314,-0.158558149793283,-0.158558149793283,-0.156919782203172,-0.156919782203172,-0.156919782203172,-0.156919782203172,-0.147053797259519,-0.12806116962287,-0.118291279458999,0.0106658984487416,0.057011459905118,0.147053797259519,0.156919782203172,0.156919782203172,0.158558149793283
"MIR340",-0.167335265303571,-0.158473188026078,-0.158473188026078,-0.158558149793283,-0.158558149793283,-0.158558149793283,-0.158558149793283,-0.150388169338048,-0.125849508135025,-0.112267183073457,0.00783663015605868,0.156919782203172,0.150388169338048,0.158558149793283,0.158558149793283,0.158473188026078
"ESRP1",-0.162698805872591,-0.16178107606679,-0.16178107606679,-0.158473188026078,-0.158473188026078,-0.158473188026078,-0.158473188026078,-0.144086799475035,-0.130380593488028,-0.120592632458509,0.0114115093831118,0.158558149793283,0.144086799475035,0.158473188026078,0.158473188026078,0.0617810760667904
"SNAIL1",-0.0311046919084628,-0.200306259081465,-0.200306259081465,-0.201586235541668,-0.201586235541668,-0.201586235541668,-0.201586235541668,0.144039093761385,-0.180309869920398,-0.0486054556854844,-0.0866119722215511,0.200767888400831,-0.144039093761385,0.201586235541668,0.201586235541668,0.200306259081465
"TGFB",-0.0255486360777559,-0.201163157110599,-0.201163157110599,-0.200306259081465,-0.200306259081465,-0.200306259081465,-0.200306259081465,0.149919659025023,-0.184299063977129,0.0430085822072328,-0.0828252015405825,0.201586235541668,-0.149919659025023,0.200306259081465,0.200306259081465,0.201163157110599
"MIR34",-0.0255486360777559,-0.201163157110599,-0.201163157110599,-0.200306259081465,-0.200306259081465,-0.200306259081465,-0.200306259081465,0.149919659025023,-0.184299063977129,0.0430085822072328,-0.0828252015405825,0.201586235541668,-0.149919659025023,0.200306259081465,0.200306259081465,0.201163157110599
"TWIST1",-0.165485825928702,-0.315800640209499,-0.315800640209499,-0.315725471078955,-0.315725471078955,-0.315725471078955,-0.315725471078955,0.13620333743826,-0.172841146315624,0.0133676773134649,0.000178671460110785,0.31629958381382,-0.267179686788305,0.315725471078955,0.315725471078955,0.315800640209499
