"","CD44s","CD24","MIR340","MIR190","MIR1199","ESRP1","MIR200","TWIST1","SNAIL1","MIR129","ZEB1","MIR34","TGFB","HAS2","GRHL2","HA"
"TWIST1",0.221373876096762,0.221373876096762,0.222802089577092,0.222802089577092,0.222802089577092,0.222802089577092,0.0986193275249701,0.0200463615886667,0.038312338886509,0.0114805236401121,-0.222488937176257,-0.123812602146678,-0.139323319793303,-0.222802089577092,-0.222802089577092,-0.221373876096762
"ESRP1",0.30139146567718,0.20139146567718,0.200119201046137,0.200119201046137,0.200119201046137,0.200119201046137,0.167583730858934,0.0584627686039451,0.0355630886771855,-0.0425123112181936,-0.202583092295075,-0.144191402844584,-0.184237443872332,-0.200119201046137,-0.200119201046137,-0.20139146567718
"MIR1199",0.200119201046137,0.200119201046137,0.202583092295075,0.202583092295075,0.202583092295075,0.202583092295075,0.171377197666099,0.05691025718842,0.0383067026790777,-0.0374894801679653,-0.201421340731178,-0.143453784298747,-0.181628748220158,-0.202583092295075,-0.202583092295075,-0.200119201046137
"CD44s",0.200119201046137,0.200119201046137,0.202583092295075,0.202583092295075,0.202583092295075,0.202583092295075,0.171377197666099,0.05691025718842,0.0383067026790777,-0.0374894801679653,-0.201421340731178,-0.143453784298747,-0.181628748220158,-0.202583092295075,-0.202583092295075,-0.200119201046137
"CD24",0.200119201046137,0.200119201046137,0.202583092295075,0.202583092295075,0.202583092295075,0.202583092295075,0.171377197666099,0.05691025718842,0.0383067026790777,-0.0374894801679653,-0.201421340731178,-0.143453784298747,-0.181628748220158,-0.202583092295075,-0.202583092295075,-0.200119201046137
"MIR200",0.135596666639452,0.135596666639452,0.137976413474895,0.137976413474895,0.137976413474895,0.137976413474895,0.225353108012353,-0.1016154515997,-0.074542151447456,0.0515200444820507,-0.136447683901885,-0.00473342723621025,-0.328147714184216,-0.137976413474895,-0.137976413474895,-0.135596666639452
"SNAIL1",0.110910194925216,0.110910194925216,0.110601235089995,0.110601235089995,0.110601235089995,0.110601235089995,-0.0368006246324672,0.12990510725473,-0.0102822116382882,-0.0421770064492573,-0.110682059498966,-0.152776981752439,0.0201700553713555,-0.110601235089995,-0.110601235089995,-0.110910194925216
"TGFB",0.108853639655293,0.108853639655293,0.110910194925216,0.110910194925216,0.110910194925216,0.110910194925216,-0.0363773918544393,0.130345769768026,0.0893100819103568,-0.0417971249722781,-0.110601235089995,-0.15273195698882,0.0224291159921909,-0.110910194925216,-0.110910194925216,-0.108853639655293
"GRHL2",0.0327939917364001,-0.0672060082635999,0.0349595968319415,0.0349595968319415,0.0349595968319415,0.0349595968319415,0.0234123412786349,0.0551126990654455,0.0455377310832065,-0.0423667908900093,-0.0334598173877421,-0.0217543206547413,-0.0259026763186115,-0.0349595968319415,-0.0349595968319415,-0.0327939917364001
"ZEB1",-0.202583092295075,-0.202583092295075,-0.201421340731178,-0.201421340731178,-0.201421340731178,-0.201421340731178,-0.169604212837,-0.0570037442560423,-0.0372972595009598,0.0398266568585231,0.102124203112761,0.143801069986921,0.184913301065687,0.201421340731178,0.201421340731178,0.202583092295075
"MIR34",-0.108853639655293,-0.108853639655293,-0.110910194925216,-0.110910194925216,-0.110910194925216,-0.110910194925216,0.0363773918544393,-0.130345769768026,-0.0893100819103568,0.0417971249722781,0.110601235089995,0.15273195698882,-0.0224291159921909,0.110910194925216,0.110910194925216,0.108853639655293
"MIR190",-0.111109278753038,-0.111109278753038,-0.108853639655293,-0.108853639655293,-0.108853639655293,-0.108853639655293,0.0387602145829022,-0.130301775047392,-0.0887065535909511,0.0442168346071219,0.110910194925216,0.15260103266308,-0.119062591573035,0.108853639655293,0.108853639655293,0.111109278753038
"MIR340",-0.200119201046137,-0.200119201046137,-0.202583092295075,-0.202583092295075,-0.202583092295075,-0.202583092295075,-0.171377197666099,-0.05691025718842,-0.0383067026790777,0.0374894801679653,0.201421340731178,0.143453784298747,0.181628748220158,0.202583092295075,0.202583092295075,0.200119201046137
"HA",-0.200119201046137,-0.200119201046137,-0.202583092295075,-0.202583092295075,-0.202583092295075,-0.202583092295075,-0.171377197666099,-0.05691025718842,-0.0383067026790777,0.0374894801679653,0.201421340731178,0.143453784298747,0.181628748220158,0.202583092295075,0.202583092295075,0.200119201046137
"HAS2",-0.20139146567718,-0.20139146567718,-0.200119201046137,-0.200119201046137,-0.200119201046137,-0.200119201046137,-0.167583730858934,-0.0584627686039451,-0.0355630886771855,0.0425123112181936,0.202583092295075,0.144191402844584,0.184237443872332,0.200119201046137,0.200119201046137,0.30139146567718
"MIR129",-0.223162251655629,-0.223162251655629,-0.221373876096762,-0.221373876096762,-0.221373876096762,-0.221373876096762,-0.0967714679622969,-0.120046361588667,-0.0378045853528189,-0.00946639860741528,0.222802089577092,0.123904995124812,0.142000130162421,0.221373876096762,0.221373876096762,0.223162251655629
