"","ZEB1","TWIST1","MIR129","HA","MIR340","MIR190","MIR1199","GRHL2","ESRP1","TGFB","HAS2","CD44s","CD24","MIR200","MIR34","SNAIL1"
"MIR129",-0.188383053793655,-0.137241261958117,0.0700541295696481,0.186793598233996,0.191264537131164,0.191264537131164,0.191264537131164,0.191264537131164,0.191264537131164,0.00763784346123248,-0.191264537131164,-0.186793598233996,-0.186793598233996,-0.101806082927443,-0.087721565878709,0.041438635187311
"ZEB1",-0.0898819768992392,-0.064901535111317,-0.064901535111317,-0.0119586411746951,-0.00829465547317594,-0.00829465547317594,-0.00829465547317594,-0.00829465547317594,-0.00829465547317594,0.00410588669138591,0.00829465547317594,0.0119586411746951,0.0119586411746951,0.0426763036965147,0.0548441992289499,0.0850777955359817
"TGFB",-0.0748121758252588,-0.0676082350360567,-0.0676082350360567,0.0762426673004661,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0854568585300718,-0.0705014505052647,-0.0762426673004661,-0.0762426673004661,-0.121444654853122,0.051421813194614,0.0549744679474554
"MIR34",-0.0748121758252588,-0.0676082350360567,-0.0676082350360567,0.0762426673004661,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0705014505052647,0.0854568585300718,-0.0705014505052647,-0.0762426673004661,-0.0762426673004661,-0.121444654853122,0.051421813194614,0.0549744679474554
"SNAIL1",-0.0713266231883625,-0.046471629656935,-0.046471629656935,0.0705014505052647,0.0748121758252588,0.0748121758252588,0.0748121758252588,0.0748121758252588,0.0748121758252588,0.09103137502609,-0.0748121758252588,-0.0705014505052647,-0.0705014505052647,-0.117149292403775,0.0418495484490039,-0.0313154033452138
"MIR200",-0.0434352249007275,0.0829777080233888,0.0829777080233888,0.0450140891522994,0.0432419372535653,0.0432419372535653,0.0432419372535653,0.0432419372535653,0.0432419372535653,-0.20836578144715,-0.0432419372535653,-0.0450140891522994,-0.0450140891522994,0.0446391607487365,-0.176978021881963,-0.123108728418369
"HAS2",-0.0119586411746951,0.0612116275880982,0.0612116275880982,-0.0868583797155226,0.00932482639134766,0.00932482639134766,0.00932482639134766,0.00932482639134766,0.00932482639134766,-0.00471953108869944,-0.00932482639134766,-0.0131416202844774,-0.0131416202844774,-0.0446731145464815,-0.0540772277138494,-0.0872383311043207
"MIR340",-0.00829465547317594,0.0764627691406096,0.0764627691406096,0.00932482639134766,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,-0.000951415146670458,-0.0119586411746951,-0.00932482639134766,-0.00932482639134766,-0.0411957699732466,-0.0608211687043657,-0.0775883784080103
"CD44s",-0.00829465547317594,0.0764627691406096,0.0764627691406096,0.00932482639134766,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,-0.000951415146670458,-0.0119586411746951,-0.00932482639134766,-0.00932482639134766,-0.0411957699732466,-0.0608211687043657,-0.0775883784080103
"CD24",-0.00829465547317594,0.0764627691406096,0.0764627691406096,0.00932482639134766,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,0.0119586411746951,-0.000951415146670458,-0.0119586411746951,-0.00932482639134766,-0.00932482639134766,-0.0411957699732466,-0.0608211687043657,-0.0775883784080103
"MIR1199",0.00829465547317594,-0.0764627691406096,-0.0764627691406096,-0.00932482639134766,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,0.000951415146670458,0.0119586411746951,0.00932482639134766,0.00932482639134766,0.0411957699732466,0.0608211687043657,0.0775883784080103
"HA",0.00829465547317594,-0.0764627691406096,-0.0764627691406096,-0.00932482639134766,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,-0.0119586411746951,0.000951415146670458,0.0119586411746951,0.00932482639134766,0.00932482639134766,0.0411957699732466,0.0608211687043657,0.0775883784080103
"ESRP1",0.0119586411746951,-0.0612116275880982,-0.0612116275880982,-0.0131416202844774,-0.00932482639134766,-0.00932482639134766,-0.00932482639134766,-0.00932482639134766,-0.00932482639134766,0.00471953108869944,0.00932482639134766,-0.0868583797155226,0.0131416202844774,0.0446731145464815,0.0540772277138494,0.0872383311043207
"GRHL2",0.030383539537553,0.0694700669633139,0.0694700669633139,-0.0299169165137751,-0.0269869802080427,-0.0269869802080427,-0.0269869802080427,-0.0269869802080427,-0.0269869802080427,-0.00171701910049424,0.0269869802080427,0.0299169165137751,-0.0700830834862248,0.0278966362095934,0.0078829779033992,-0.0615045364057637
"MIR190",0.0705014505052647,0.0402875135226383,0.0402875135226383,-0.0679719906087368,-0.0762426673004661,-0.0762426673004661,-0.0762426673004661,-0.0762426673004661,-0.0762426673004661,-0.192711481574169,0.0762426673004661,0.0679719906087368,0.0679719906087368,0.115972018037201,-0.0389316325190445,-0.0728481912529336
"TWIST1",0.190383749687879,0.0522517222091634,-0.0550659004302288,-0.191264537131164,-0.188383053793655,-0.188383053793655,-0.188383053793655,-0.188383053793655,-0.188383053793655,-0.0036648933344362,0.188383053793655,0.191264537131164,0.191264537131164,0.104855051205854,0.0811308667718411,-0.0317364257732861
