"","MIR200","CD44s","CD24","MIR1199","HAS2","ESRP1","SNAIL1","MIR34","ZEB1","TWIST1","MIR129","MIR340","MIR190","GRHL2","HA","TGFB"
"ESRP1",0.206286404505193,0.284013605442177,0.184013605442177,0.183250246663551,0.183250246663551,0.183250246663551,0.160579422925493,0.119155827649758,-0.186733679118946,-0.0978738751444634,-0.166993249887368,-0.183250246663551,-0.183250246663551,-0.183250246663551,-0.184013605442177,-0.197002006332635
"MIR340",0.208815382376637,0.183250246663551,0.183250246663551,0.186733679118946,0.186733679118946,0.186733679118946,0.161430889339873,0.120947186975364,-0.186406005600924,-0.0977825509435501,-0.16818046449924,-0.186733679118946,-0.186733679118946,-0.186733679118946,-0.183250246663551,-0.197291861405099
"MIR1199",0.208815382376637,0.183250246663551,0.183250246663551,0.186733679118946,0.186733679118946,0.186733679118946,0.161430889339873,0.120947186975364,-0.186406005600924,-0.0977825509435501,-0.16818046449924,-0.186733679118946,-0.186733679118946,-0.186733679118946,-0.183250246663551,-0.197291861405099
"HA",0.208815382376637,0.183250246663551,0.183250246663551,0.186733679118946,0.186733679118946,0.186733679118946,0.161430889339873,0.120947186975364,-0.186406005600924,-0.0977825509435501,-0.16818046449924,-0.186733679118946,-0.186733679118946,-0.186733679118946,-0.183250246663551,-0.197291861405099
"CD44s",0.208815382376637,0.183250246663551,0.183250246663551,0.186733679118946,0.186733679118946,0.186733679118946,0.161430889339873,0.120947186975364,-0.186406005600924,-0.0977825509435501,-0.16818046449924,-0.186733679118946,-0.186733679118946,-0.186733679118946,-0.183250246663551,-0.197291861405099
"MIR200",0.280916144413089,0.179168773539944,0.179168773539944,0.18225738113488,0.18225738113488,0.18225738113488,0.152108121015334,0.0364687343047721,-0.181818091027694,-0.0802803093585023,-0.161014648179918,-0.18225738113488,-0.18225738113488,-0.18225738113488,-0.179168773539944,-0.380346338042001
"MIR34",0.124768681274,0.1063596633184,0.1063596633184,0.105759834698005,0.105759834698005,0.105759834698005,0.0406277682405012,-0.0144880795886897,-0.106627864711247,-0.0271551635110472,-0.094875288524617,-0.105759834698005,-0.105759834698005,-0.105759834698005,-0.1063596633184,-0.152343708794464
"SNAIL1",0.12526395367382,0.105759834698005,0.105759834698005,0.106627864711247,0.106627864711247,0.106627864711247,-0.0591084217027397,-0.0139207675670778,-0.106355082330968,-0.026957625143018,-0.0950120458563295,-0.106627864711247,-0.106627864711247,-0.106627864711247,-0.105759834698005,-0.152067420804865
"TWIST1",0.0179306736560213,0.0132641267193704,0.0132641267193704,0.0142914381701347,0.0142914381701347,0.0142914381701347,0.0203849285805989,0.00241446111632808,-0.013839106924484,-0.0859510810045321,0.128374799456274,-0.0142914381701347,-0.0142914381701347,-0.0142914381701347,-0.0132641267193704,-0.0160463704995863
"MIR129",-0.0173763157872194,-0.014605408388521,-0.014605408388521,-0.0132641267193704,-0.0132641267193704,-0.0132641267193704,-0.0202065286903834,-0.00170611495063668,0.0142914381701347,-0.0136305089536269,-0.128400956924231,0.0132641267193704,0.0132641267193704,0.0132641267193704,0.014605408388521,0.0168071481834409
"GRHL2",-0.0587314088467888,-0.0418277621157202,-0.14182776211572,-0.0446303098864209,-0.0446303098864209,-0.0446303098864209,-0.106068903650903,-0.0144906636439985,0.0434834197232096,0.078702076303156,0.117877002877236,0.0446303098864209,0.0446303098864209,0.0446303098864209,0.0418277621157202,0.0506076964131861
"ZEB1",-0.208943329735438,-0.186733679118946,-0.186733679118946,-0.186406005600924,-0.186406005600924,-0.186406005600924,-0.161723953488359,-0.120417119346045,0.0875366972582531,0.0979383627229207,0.168710224549099,0.186406005600924,0.186406005600924,0.186406005600924,0.186733679118946,0.200186170348188
"MIR190",-0.124847235869444,-0.103853397654239,-0.103853397654239,-0.1063596633184,-0.1063596633184,-0.1063596633184,-0.040720618751179,0.0138334579599911,0.105759834698005,0.0265832321428114,0.0944793360389153,0.1063596633184,0.1063596633184,0.1063596633184,0.103853397654239,0.250399659481993
"TGFB",-0.124768681274,-0.1063596633184,-0.1063596633184,-0.105759834698005,-0.105759834698005,-0.105759834698005,-0.0406277682405012,0.0144880795886897,0.106627864711247,0.0271551635110472,0.094875288524617,0.105759834698005,0.105759834698005,0.105759834698005,0.1063596633184,0.152343708794464
"CD24",-0.208815382376637,-0.183250246663551,-0.183250246663551,-0.186733679118946,-0.186733679118946,-0.186733679118946,-0.161430889339873,-0.120947186975364,0.186406005600924,0.0977825509435501,0.16818046449924,0.186733679118946,0.186733679118946,0.186733679118946,0.183250246663551,0.197291861405099
"HAS2",-0.206286404505193,-0.184013605442177,-0.184013605442177,-0.183250246663551,-0.183250246663551,-0.183250246663551,-0.160579422925493,-0.119155827649758,0.186733679118946,0.0978738751444634,0.166993249887368,0.183250246663551,0.183250246663551,0.183250246663551,0.0840136054421769,0.197002006332635
