"","MIR200","MIR1199","GRHL2","ESRP1","HA","CD24","MIR34","ZEB1","TWIST1","MIR129","SNAIL1","CD44s","MIR340","MIR190","HAS2","TGFB"
"MIR200",0.166959745761134,0.0609415982552657,0.0609415982552657,0.0609415982552657,0.0614985602805821,0.0614985602805821,-0.0282236073815425,-0.0625054710368507,-0.0531134776739969,-0.0531134776739969,0.0603236852364233,-0.0614985602805821,-0.0609415982552657,-0.0609415982552657,-0.0609415982552657,-0.266570140738655
"MIR340",0.081181508047188,0.0588107143860872,0.0588107143860872,0.0588107143860872,0.0587257526188824,0.0587257526188824,0.0506148851992228,-0.0599128889467068,0.0337691740437913,0.0337691740437913,-0.0184079442083868,-0.0587257526188824,-0.0588107143860872,-0.0588107143860872,-0.0588107143860872,-0.0737540718191569
"CD44s",0.081181508047188,0.0588107143860872,0.0588107143860872,0.0588107143860872,0.0587257526188824,0.0587257526188824,0.0506148851992228,-0.0599128889467068,0.0337691740437913,0.0337691740437913,-0.0184079442083868,-0.0587257526188824,-0.0588107143860872,-0.0588107143860872,-0.0588107143860872,-0.0737540718191569
"CD24",0.081181508047188,0.0588107143860872,0.0588107143860872,0.0588107143860872,0.0587257526188824,0.0587257526188824,0.0506148851992228,-0.0599128889467068,0.0337691740437913,0.0337691740437913,-0.0184079442083868,-0.0587257526188824,-0.0588107143860872,-0.0588107143860872,-0.0588107143860872,-0.0737540718191569
"HAS2",0.0806546376573039,0.0587257526188824,0.0587257526188824,0.0587257526188824,-0.0359307359307359,0.0640692640692641,0.0510363815111301,-0.0588107143860872,0.0371481694775812,0.0371481694775812,-0.020678521313401,-0.0640692640692641,-0.0587257526188824,-0.0587257526188824,-0.0587257526188824,-0.0794545549109444
"TGFB",-0.0414139228544217,0.0573812861485447,0.0573812861485447,0.0573812861485447,0.0596092210242945,0.0596092210242945,0.0982588165753563,-0.0583964398928437,0.0469832803647616,0.0469832803647616,-0.0374582664048402,-0.0596092210242945,-0.0573812861485447,-0.0573812861485447,-0.0573812861485447,0.0389189329756284
"MIR34",-0.0414139228544217,0.0573812861485447,0.0573812861485447,0.0573812861485447,0.0596092210242945,0.0596092210242945,0.0982588165753563,-0.0583964398928437,0.0469832803647616,0.0469832803647616,-0.0374582664048402,-0.0596092210242945,-0.0573812861485447,-0.0573812861485447,-0.0573812861485447,0.0389189329756284
"MIR190",-0.0380360752503368,0.0596092210242945,0.0596092210242945,0.0596092210242945,0.0581054616257983,0.0581054616257983,0.0976041949466577,-0.0573812861485447,0.0432437291109121,0.0432437291109121,-0.0397331039164465,-0.0581054616257983,-0.0596092210242945,-0.0596092210242945,-0.0596092210242945,0.141431972330773
"ZEB1",-0.0827351545469138,-0.0599128889467068,-0.0599128889467068,-0.0599128889467068,-0.0588107143860872,-0.0588107143860872,-0.0504138250639642,-0.0406677364989487,-0.0334263881291761,-0.0334263881291761,0.0206222066636131,0.0588107143860872,0.0599128889467068,0.0599128889467068,0.0599128889467068,0.0741117953963927
"GRHL2",0.0186222909671208,0.0206276487142529,0.0206276487142529,0.0206276487142529,0.0220289225996032,0.122028922599603,0.0220866275723786,-0.0198336478320297,-0.0406542935338369,-0.0406542935338369,0.0339515960300564,-0.0220289225996032,-0.0206276487142529,-0.0206276487142529,-0.0206276487142529,-0.0206576888014914
"TWIST1",0.0209078681387406,0.00503309789437152,0.00503309789437152,0.00503309789437152,0.00375522267512822,0.00375522267512822,-0.0158661978296203,-0.00454597193751696,0.0778664792219703,-0.213750611947232,0.0403905485082847,-0.00375522267512822,-0.00503309789437152,-0.00503309789437152,-0.00503309789437152,-0.0133743521798108
"MIR129",-0.0187828296416664,-0.00375522267512822,-0.00375522267512822,-0.00375522267512822,-0.00554359823399559,-0.00554359823399559,0.0153118399608183,0.00503309789437152,-0.180533843238707,0.21105639274765,-0.0415570093289242,0.00554359823399559,0.00375522267512822,0.00375522267512822,0.00375522267512822,0.0157130391338824
"SNAIL1",0.039910095749514,-0.0583964398928437,-0.0583964398928437,-0.0583964398928437,-0.0573812861485447,-0.0573812861485447,-0.0979976729463604,0.0584065429439651,-0.044202547953274,-0.044202547953274,-0.0626616472573231,0.0573812861485447,0.0583964398928437,0.0583964398928437,0.0583964398928437,-0.0418605874531191
"ESRP1",-0.0806546376573039,-0.0587257526188824,-0.0587257526188824,-0.0587257526188824,-0.0640692640692641,-0.0640692640692641,-0.0510363815111301,0.0588107143860872,-0.0371481694775812,-0.0371481694775812,0.020678521313401,-0.0359307359307359,0.0587257526188824,0.0587257526188824,0.0587257526188824,0.0794545549109444
"MIR1199",-0.081181508047188,-0.0588107143860872,-0.0588107143860872,-0.0588107143860872,-0.0587257526188824,-0.0587257526188824,-0.0506148851992228,0.0599128889467068,-0.0337691740437913,-0.0337691740437913,0.0184079442083868,0.0587257526188824,0.0588107143860872,0.0588107143860872,0.0588107143860872,0.0737540718191569
"HA",-0.081181508047188,-0.0588107143860872,-0.0588107143860872,-0.0588107143860872,-0.0587257526188824,-0.0587257526188824,-0.0506148851992228,0.0599128889467068,-0.0337691740437913,-0.0337691740437913,0.0184079442083868,0.0587257526188824,0.0588107143860872,0.0588107143860872,0.0588107143860872,0.0737540718191569
