"","MIR340","MIR190","HAS2","CD44s","MIR200","SNAIL1","MIR34","TGFB","TWIST1","ZEB1","MIR129","HA","CD24","MIR1199","GRHL2","ESRP1"
"TWIST1",0.238277462976422,0.238277462976422,0.238277462976422,0.237450602540441,0.224013963732034,0.20506844247492,0.0207440487598267,-0.0672688242794111,-0.0706587050547632,-0.238938562489296,-0.0882651383606597,-0.237450602540441,-0.237450602540441,-0.238277462976422,-0.238277462976422,-0.238277462976422
"MIR340",0.219210474567745,0.219210474567745,0.219210474567745,0.21912551280054,0.208922415330213,0.145836443943096,0.130344739673056,-0.0232892247143945,-0.0897990608907611,-0.221206304177515,-0.154559571290917,-0.21912551280054,-0.21912551280054,-0.219210474567745,-0.219210474567745,-0.219210474567745
"MIR1199",0.219210474567745,0.219210474567745,0.219210474567745,0.21912551280054,0.208922415330213,0.145836443943096,0.130344739673056,-0.0232892247143945,-0.0897990608907611,-0.221206304177515,-0.154559571290917,-0.21912551280054,-0.21912551280054,-0.219210474567745,-0.219210474567745,-0.219210474567745
"CD44s",0.219210474567745,0.219210474567745,0.219210474567745,0.21912551280054,0.208922415330213,0.145836443943096,0.130344739673056,-0.0232892247143945,-0.0897990608907611,-0.221206304177515,-0.154559571290917,-0.21912551280054,-0.21912551280054,-0.219210474567745,-0.219210474567745,-0.219210474567745
"HAS2",0.21912551280054,0.21912551280054,0.21912551280054,0.216326530612245,0.208711667174259,0.144228118493711,0.130450113751033,-0.0231926063569066,-0.0904383302971538,-0.219210474567745,-0.155381489099136,-0.316326530612245,-0.216326530612245,-0.21912551280054,-0.21912551280054,-0.21912551280054
"MIR200",0.214443856888349,0.214443856888349,0.214443856888349,0.213583097394678,0.303807448530007,0.222342405921802,0.0300663764005435,-0.221680880773586,-0.10759489324167,-0.216394304964258,-0.215567958098359,-0.213583097394678,-0.213583097394678,-0.214443856888349,-0.214443856888349,-0.214443856888349
"SNAIL1",0.162870589893315,0.162870589893315,0.162870589893315,0.162414506327036,0.231808909764945,0.101345491612983,-0.0634711225110002,-0.131095609884945,-0.0671502546428866,-0.163173681426958,-0.188970542972782,-0.162414506327036,-0.162414506327036,-0.162870589893315,-0.162870589893315,-0.162870589893315
"MIR34",0.162414506327036,0.162414506327036,0.162414506327036,0.16052933066294,0.231313637365125,0.201433428298569,-0.0635341571800682,-0.130494277201701,-0.0675909171561824,-0.162870589893315,-0.187861289060003,-0.16052933066294,-0.16052933066294,-0.162414506327036,-0.162414506327036,-0.162414506327036
"GRHL2",0.0436140082354775,0.0436140082354775,0.0436140082354775,0.0442509509106368,0.0484027350378735,0.0981068134195511,0.00916354158817867,-0.0109142597012757,-0.0742061766431286,-0.0450696765195534,-0.110060954858949,-0.0442509509106368,0.0557490490893632,-0.0436140082354775,-0.0436140082354775,-0.0436140082354775
"ZEB1",-0.221206304177515,-0.221206304177515,-0.221206304177515,-0.219210474567745,-0.210768512935769,-0.146487697606398,-0.130947920078832,0.0233867856900042,0.0911390421933476,0.121990657849717,0.155400954899518,0.219210474567745,0.219210474567745,0.221206304177515,0.221206304177515,0.221206304177515
"MIR190",-0.16052933066294,-0.16052933066294,-0.16052933066294,-0.158524318131611,-0.229192663288141,-0.200876325234502,0.0637174512361038,0.230162366343474,0.0654351758451397,0.162414506327036,0.185529568866426,0.158524318131611,0.158524318131611,0.16052933066294,0.16052933066294,0.16052933066294
"TGFB",-0.162414506327036,-0.162414506327036,-0.162414506327036,-0.16052933066294,-0.231313637365125,-0.201433428298569,0.0635341571800682,0.130494277201701,0.0675909171561824,0.162870589893315,0.187861289060003,0.16052933066294,0.16052933066294,0.162414506327036,0.162414506327036,0.162414506327036
"ESRP1",-0.21912551280054,-0.21912551280054,-0.21912551280054,-0.316326530612245,-0.208711667174259,-0.144228118493711,-0.130450113751033,0.0231926063569066,0.0904383302971538,0.219210474567745,0.155381489099136,0.216326530612245,0.216326530612245,0.21912551280054,0.21912551280054,0.21912551280054
"HA",-0.219210474567745,-0.219210474567745,-0.219210474567745,-0.21912551280054,-0.208922415330213,-0.145836443943096,-0.130344739673056,0.0232892247143945,0.0897990608907611,0.221206304177515,0.154559571290917,0.21912551280054,0.21912551280054,0.219210474567745,0.219210474567745,0.219210474567745
"CD24",-0.219210474567745,-0.219210474567745,-0.219210474567745,-0.21912551280054,-0.208922415330213,-0.145836443943096,-0.130344739673056,0.0232892247143945,0.0897990608907611,0.221206304177515,0.154559571290917,0.21912551280054,0.21912551280054,0.219210474567745,0.219210474567745,0.219210474567745
"MIR129",-0.237450602540441,-0.237450602540441,-0.237450602540441,-0.235811258278146,-0.222843652675674,-0.204286227571668,-0.0208980370567161,0.0672406473281573,-0.0309626338573707,0.238277462976422,0.0870357373666759,0.235811258278146,0.235811258278146,0.237450602540441,0.237450602540441,0.237450602540441
