"","TWIST1","SNAIL1","MIR34","ZEB1","HA","CD24","MIR340","MIR1199","GRHL2","ESRP1","TGFB","MIR190","HAS2","CD44s","MIR200","MIR129"
"MIR129",-0.233097833767387,-0.0182332984325935,0.120349093451855,-0.220737445460229,0.220513245033113,0.220513245033113,0.220662276329685,0.220662276329685,0.220662276329685,0.220662276329685,0.00431664890694326,-0.220662276329685,-0.220662276329685,-0.220513245033113,-0.106028034386131,0.259104240804639
"TGFB",-0.12803809268645,-0.0290015353813772,0.132539996557824,-0.135105140285925,0.135002153674184,0.135002153674184,0.135002153674184,0.135002153674184,0.135002153674184,0.135002153674184,0.0766126029798113,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.00271808866640534,0.12803809268645
"MIR200",-0.077977948899756,-0.0277575658451191,0.190225255972735,-0.104001921253296,0.104004003154766,0.104004003154766,0.104054636066158,0.104054636066158,0.104054636066158,0.104054636066158,0.191974612946407,-0.104054636066158,-0.104054636066158,-0.104004003154766,-0.0206556139797336,0.077977948899756
"ZEB1",-0.107429229917306,-0.0741026279088567,-0.0612644739978849,-0.053523160380537,-0.04659676435836,-0.04659676435836,-0.0465073988534449,-0.0465073988534449,-0.0465073988534449,-0.0465073988534449,0.00305332758669075,0.0465073988534449,0.0465073988534449,0.04659676435836,0.0765151036065716,0.107429229917306
"HAS2",0.107427067050596,0.0739134131501055,0.061287047278709,-0.04659676435836,-0.0540816326530612,0.0459183673469388,0.0466817261255647,0.0466817261255647,0.0466817261255647,0.0466817261255647,-0.00286103348983673,-0.0466817261255647,-0.0466817261255647,-0.0459183673469388,-0.0767075735684108,-0.107427067050596
"ESRP1",0.107427067050596,0.0739134131501055,0.061287047278709,-0.04659676435836,0.0459183673469388,0.0459183673469388,0.0466817261255647,0.0466817261255647,0.0466817261255647,0.0466817261255647,-0.00286103348983673,-0.0466817261255647,-0.0466817261255647,-0.145918367346939,-0.0767075735684108,-0.107427067050596
"MIR1199",0.107335742849683,0.0741026279088567,0.0613924213566858,-0.0465073988534449,0.0466817261255647,0.0466817261255647,0.04659676435836,0.04659676435836,0.04659676435836,0.04659676435836,-0.0031508885623005,-0.04659676435836,-0.04659676435836,-0.0466817261255647,-0.0764968254124572,-0.107335742849683
"GRHL2",0.0838623505743918,0.0622366849282542,-0.0196106659808639,0.0188664961119312,-0.018567607881744,0.081432392118256,-0.0188223849518077,-0.0188223849518077,-0.0188223849518077,-0.0188223849518077,-0.00342972749122799,0.0188223849518077,0.0188223849518077,0.018567607881744,0.00557169340123882,-0.0838623505743918
"MIR340",-0.107335742849683,-0.0741026279088567,-0.0613924213566858,0.0465073988534449,-0.0466817261255647,-0.0466817261255647,-0.04659676435836,-0.04659676435836,-0.04659676435836,-0.04659676435836,0.0031508885623005,0.04659676435836,0.04659676435836,0.0466817261255647,0.0764968254124572,0.107335742849683
"HA",-0.107335742849683,-0.0741026279088567,-0.0613924213566858,0.0465073988534449,-0.0466817261255647,-0.0466817261255647,-0.04659676435836,-0.04659676435836,-0.04659676435836,-0.04659676435836,0.0031508885623005,0.04659676435836,0.04659676435836,0.0466817261255647,0.0764968254124572,0.107335742849683
"CD44s",-0.107335742849683,-0.0741026279088567,-0.0613924213566858,0.0465073988534449,-0.0466817261255647,-0.0466817261255647,-0.04659676435836,-0.04659676435836,-0.04659676435836,-0.04659676435836,0.0031508885623005,0.04659676435836,0.04659676435836,0.0466817261255647,0.0764968254124572,0.107335742849683
"CD24",-0.107335742849683,-0.0741026279088567,-0.0613924213566858,0.0465073988534449,-0.0466817261255647,-0.0466817261255647,-0.04659676435836,-0.04659676435836,-0.04659676435836,-0.04659676435836,0.0031508885623005,0.04659676435836,0.04659676435836,0.0466817261255647,0.0764968254124572,0.107335742849683
"MIR190",0.127818119083282,0.0292336616580717,-0.13246144196238,0.135002153674184,-0.134751527107768,-0.134751527107768,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.176470355469143,0.135002153674184,0.135002153674184,0.134751527107768,0.00279664326184917,-0.127818119083282
"SNAIL1",0.127962116391054,-0.0708785509564596,-0.132512981699652,0.135084934183682,-0.135002153674184,-0.135002153674184,-0.135105140285925,-0.135105140285925,-0.135105140285925,-0.135105140285925,-0.0766613596838581,0.135105140285925,0.135105140285925,0.135002153674184,0.00287117286271331,-0.127962116391054
"MIR34",0.12803809268645,0.0290015353813772,-0.132539996557824,0.135105140285925,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.135002153674184,-0.0766126029798113,0.135002153674184,0.135002153674184,0.135002153674184,0.00271808866640534,-0.12803809268645
"TWIST1",0.133254737533078,0.0181097908162905,-0.120410688770611,0.220789637527034,-0.220662276329685,-0.220662276329685,-0.220737445460229,-0.220737445460229,-0.220737445460229,-0.220737445460229,-0.00445753366321263,0.220737445460229,0.220737445460229,0.220662276329685,0.106058832045509,-0.259235028144425
