"","SNAIL1","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR200","ZEB1","MIR34","TGFB","TWIST1","HA","CD24","MIR129"
"GRHL2",0.255438436316528,0.273362255932937,0.272725313257777,0.272725313257777,0.272725313257777,0.272725313257777,0.272725313257777,0.272725313257777,0.183667253922235,-0.272592979777407,-0.183667253922235,-0.220982643362848,-0.153140595482408,-0.273362255932937,-0.373362255932937,-0.254758743738382
"MIR129",-0.0702948265987023,0.228429911699779,0.22783378651349,0.22783378651349,0.22783378651349,0.22783378651349,0.22783378651349,0.22783378651349,0.163148326600112,-0.227658391875555,-0.163148326600112,-0.18776122901819,-0.0779492892184431,-0.228429911699779,-0.228429911699779,-0.014912314581376
"TGFB",-0.0982739085128764,0.154708358986797,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.181540974847164,-0.154262613163403,-0.181540974847164,-0.207095360221269,0.030493201095065,-0.154708358986797,-0.154708358986797,0.110292913851091
"MIR34",-0.0982739085128764,0.154708358986797,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,0.181540974847164,-0.154262613163403,-0.181540974847164,-0.207095360221269,0.030493201095065,-0.154708358986797,-0.154708358986797,0.110292913851091
"ESRP1",0.231268850810963,0.24817563388992,0.146903369258876,0.146903369258876,0.146903369258876,0.146903369258876,0.146903369258876,0.146903369258876,0.0660550749553438,-0.146478560422853,-0.0660550749553438,-0.0990305615052065,-0.13145340150046,-0.14817563388992,-0.14817563388992,-0.231257260386672
"MIR1199",0.230606599155334,0.146903369258876,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.0660550749553438,-0.146448771921214,-0.0660550749553438,-0.0983542330027911,-0.131544725701374,-0.146903369258876,-0.146903369258876,-0.231165936185759
"HA",0.230606599155334,0.146903369258876,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.0660550749553438,-0.146448771921214,-0.0660550749553438,-0.0983542330027911,-0.131544725701374,-0.146903369258876,-0.146903369258876,-0.231165936185759
"CD44s",0.230606599155334,0.146903369258876,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.146478560422853,0.0660550749553438,-0.146448771921214,-0.0660550749553438,-0.0983542330027911,-0.131544725701374,-0.146903369258876,-0.146903369258876,-0.231165936185759
"MIR200",0.217625501602228,0.0969329488368495,0.0969835817482419,0.0969835817482419,0.0969835817482419,0.0969835817482419,0.0969835817482419,0.0969835817482419,-0.0369283601396965,-0.0971065829782542,0.0369283601396965,-0.0767032484875488,-0.106910616355516,-0.0969329488368495,-0.0969329488368495,-0.214424437252236
"ZEB1",-0.230248409640518,-0.146478560422853,-0.146448771921214,-0.146448771921214,-0.146448771921214,-0.146448771921214,-0.146448771921214,-0.146448771921214,-0.0662926914788313,0.0464997039778507,0.0662926914788313,0.0981916313767748,0.13113961507501,0.146478560422853,0.146478560422853,0.230760825559396
"MIR340",-0.230606599155334,-0.146903369258876,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.0660550749553438,0.146448771921214,0.0660550749553438,0.0983542330027911,0.131544725701374,0.146903369258876,0.146903369258876,0.231165936185759
"CD24",-0.230606599155334,-0.146903369258876,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.146478560422853,-0.0660550749553438,0.146448771921214,0.0660550749553438,0.0983542330027911,0.131544725701374,0.146903369258876,0.146903369258876,0.231165936185759
"HAS2",-0.231268850810963,-0.14817563388992,-0.146903369258876,-0.146903369258876,-0.146903369258876,-0.146903369258876,-0.146903369258876,-0.146903369258876,-0.0660550749553438,0.146478560422853,0.0660550749553438,0.0990305615052065,0.13145340150046,0.0481756338899196,0.14817563388992,0.231257260386672
"SNAIL1",-0.00136635050063386,-0.154365599775143,-0.154262613163403,-0.154262613163403,-0.154262613163403,-0.154262613163403,-0.154262613163403,-0.154262613163403,-0.181748088759816,0.154262613163403,0.181748088759816,0.206851576701035,-0.0311162067173109,0.154365599775143,0.154365599775143,-0.110885528955178
"MIR190",0.0975775296827928,-0.155460238686045,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.1817242689032,0.154365599775143,0.1817242689032,0.107901429448391,-0.0300972486093633,0.155460238686045,0.155460238686045,-0.110776855778059
"TWIST1",0.0710221492280422,-0.22783378651349,-0.227658391875555,-0.227658391875555,-0.227658391875555,-0.227658391875555,-0.227658391875555,-0.227658391875555,-0.163025135962601,0.227658391875555,0.163025135962601,0.187056805236843,-0.022521422078628,0.22783378651349,0.22783378651349,0.0157755110239604
