"","HA","CD44s","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","MIR129","MIR34","MIR200","SNAIL1","TGFB","ZEB1","TWIST1"
"TWIST1",0.300828011961982,0.300828011961982,0.300828011961982,0.301554646890572,0.301554646890572,0.301554646890572,0.301554646890572,0.301554646890572,0.301554646890572,-0.248088990730076,0.164092336133731,0.164092336133731,-0.00623407926650677,-0.00187615755451261,-0.301746017802193,0.122162724231652
"GRHL2",0.292138944824809,0.292138944824809,0.392138944824809,0.291502002149649,0.291502002149649,0.291502002149649,0.291502002149649,0.291502002149649,0.291502002149649,0.154555897892762,0.2388496958131,0.2388496958131,0.125975866910038,0.0163571812312656,-0.291060890548414,-0.154555897892762
"MIR200",0.200674964921152,0.200674964921152,0.200674964921152,0.200725597832544,0.200725597832544,0.200725597832544,0.200725597832544,0.200725597832544,0.200725597832544,-0.0616940950442305,0.245868227534774,0.245868227534774,-0.0105113242468616,-0.18836618454837,-0.200778312645407,0.0616940950442305
"HAS2",0.264965986394558,0.164965986394558,0.164965986394558,0.164711533468349,0.164711533468349,0.164711533468349,0.164711533468349,0.164711533468349,0.164711533468349,0.133977865271983,0.13416295912252,0.13416295912252,0.101232304991164,0.0078436100748474,-0.163946877563506,-0.133977865271983
"MIR1199",0.164711533468349,0.164711533468349,0.164711533468349,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.134617134678376,0.133741462810613,0.133741462810613,0.101610734508666,0.00813346514731117,-0.163619204045484,-0.134617134678376
"HA",0.164711533468349,0.164711533468349,0.164711533468349,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.134617134678376,0.133741462810613,0.133741462810613,0.101610734508666,0.00813346514731117,-0.163619204045484,-0.134617134678376
"CD24",0.164711533468349,0.164711533468349,0.164711533468349,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.163946877563506,0.134617134678376,0.133741462810613,0.133741462810613,0.101610734508666,0.00813346514731117,-0.163619204045484,-0.134617134678376
"ZEB1",-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163619204045484,-0.163619204045484,-0.163619204045484,-0.163619204045484,-0.163619204045484,-0.163619204045484,-0.135084570016487,-0.133394177122439,-0.133394177122439,-0.101513046459171,-0.00810094482210791,0.0632830524716838,0.135084570016487
"MIR340",-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.134617134678376,-0.133741462810613,-0.133741462810613,-0.101610734508666,-0.00813346514731117,0.163619204045484,0.134617134678376
"CD44s",-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.163946877563506,-0.134617134678376,-0.133741462810613,-0.133741462810613,-0.101610734508666,-0.00813346514731117,0.163619204045484,0.134617134678376
"ESRP1",-0.164965986394558,-0.0649659863945578,-0.164965986394558,-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.164711533468349,-0.133977865271983,-0.13416295912252,-0.13416295912252,-0.101232304991164,-0.0078436100748474,0.163946877563506,0.133977865271983
"MIR190",-0.177839495707658,-0.177839495707658,-0.177839495707658,-0.179092628539739,-0.179092628539739,-0.179092628539739,-0.179092628539739,-0.179092628539739,-0.179092628539739,0.123286489532238,-0.155796072004985,-0.155796072004985,0.0234311319319236,0.175381104245139,0.179692457160133,-0.123286489532238
"TGFB",-0.179092628539739,-0.179092628539739,-0.179092628539739,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,0.122714558164002,-0.155979366061021,-0.155979366061021,0.0231061551445513,0.0753336884082492,0.179942567502931,-0.122714558164002
"MIR34",-0.179092628539739,-0.179092628539739,-0.179092628539739,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179692457160133,0.122714558164002,-0.155979366061021,-0.155979366061021,0.0231061551445513,0.0753336884082492,0.179942567502931,-0.122714558164002
"SNAIL1",-0.179692457160133,-0.179692457160133,-0.179692457160133,-0.179942567502931,-0.179942567502931,-0.179942567502931,-0.179942567502931,-0.179942567502931,-0.179942567502931,0.122304286168864,-0.156006380919193,-0.156006380919193,-0.0769498045644583,0.0752199227654733,0.179962773605174,-0.122304286168864
"MIR129",-0.299635761589404,-0.299635761589404,-0.299635761589404,-0.300828011961982,-0.300828011961982,-0.300828011961982,-0.300828011961982,-0.300828011961982,-0.300828011961982,0.248952187172661,-0.163938347836842,-0.163938347836842,0.00654970984150333,0.00190433450576649,0.301554646890572,-0.222999544315334
